"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1987-08-19,43225,"Predator",NA,"19 août 1987","1h 47min","Action, Science Fiction","John McTiernan","Jim Thomas, John Thomas (III)","Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo","Le commando de forces spéciales mené par le major Dutch Schaeffer est engagé par la CIA pour sauver les survivants d’un crash d’hélicoptère au cœur d’une jungle d’Amérique Centrale. Sur place, Dutch et son équipe ne tardent pas à découvrir qu’ils sont pris en chasse par une mystérieuse créature invisible qui commence à les éliminer un par un. La traque commence.","U.S.A.","1987","Capricci Films","Long métrage","Anglais","15 000 000 USD",NA,"Couleur","66471",NA,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=43225.html"
1987-08-19,2636,"La Famille","La Famiglia","19 août 1987","2h 07min","Comédie dramatique","Ettore Scola","Ettore Scola, Ruggero Maccari","Vittorio Gassman, Fanny Ardant, Stefania Sandrelli","1906 en Italie. Le jour du baptême du petit Carlo, toute la famille se réunit dans le salon pour la photographie qui doit immortaliser l'événement. Le grand-père du bébé s'interroge : l'enfant deviendra-t-il un génie ou un imbécile ? Les années passent. La guerre déchire l'Europe. Le grand-père est mourant et les enfants en profitent pour dérober quelques pièces dans la poche du médecin. Plus tard, Carlo, étudiant, rencontre deux sœurs, s'éprend de l'aînée, Adriana, mais épouse la cadette, Béatrice. Longtemps, il restera tiraillé entre son attachement pour sa femme, simple et charmante, et sa fascination pour sa belle-sœur, une brillante pianiste...","France, Italie","1987","Les Acacias","Long métrage","Anglais, Italien","-",NA,"Couleur","62010",NA,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=2636.html"
1987-08-19,2633,"Agent trouble",NA,"19 août 1987","1h 30min","Policier","Jean-Pierre Mocky","Malcolm Bosse, Jean-Pierre Mocky","Richard Bohringer, Catherine Deneuve, Tom Novembre","Un beau matin d'hiver, un autocar transportant des vacanciers tombe dans un lac des Pyrénées. Bilan: cinquante morts. Il ne s'agit pas d'un banal accident de la route, c'est une affaire commandée ""d'en haut"" au nom de la sécurité nationale. Victorien, témoin de l'accident, en profite pour détrousser les cadavres. Il comprend vite qu'il est tombe sur une grosse affaire et tente de trouver les instigateurs pour les faire chanter. Mal lui en prend, il est aussitôt supprimé. Sa tante, Amanda Weber, la quarantaine fringante, décide d’enquêter sur la mort de son neveu...","France","1987","Les Acacias","Long métrage","Français","-",NA,"Couleur","65007",NA,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=2633.html"
1987-08-19,2637,"Raining in the mountain","Kong shan ling yu","19 août 1987","2h 00min","Aventure, Drame","King Hu","King Hu","Feng Hsu, Sun Yueh, Chun Shih","Au XVème siècle en Chine sous la dynastie Ming. Le temple de San Pao est alors un des monastères bouddhistes les plus renommés. Le bonze supérieur atteint par l'âge songe à se trouver un successeur. A cet effet, il invite des étrangers au monastère pour les consulter. Parmi eux, le seigneur Wen, riche fidèle au temple, le général Wang et Maitre Wu Wai, un erudit. Ces très honorables personnages rêvent, chacun pour leur compte, de dérober le manuscrit inestimable du Mahayana Soutra qui se trouve dans un coffret cache dans le monastère.","Taïwan, Hong-Kong","1979","Splendor Films","Long métrage","Mandarin","-",NA,"Couleur","-",NA,3.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=2637.html"
1987-08-19,58559,"Personal Services",NA,"19 août 1987","1h 45min","Drame","Terry Jones","David Leland","Julie Walters, Shirley Stelfox, Danny Schiller","Le procès d'une prostituée en Grande-Bretagne...","Grande-Bretagne","1987","-","Long métrage","Anglais","-",NA,"Couleur","65908",NA,2.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=58559.html"
1987-08-19,31464,"Les Fous de Bassan",NA,"19 août 1987","1h 45min","Comédie dramatique","Yves Simoneau","Yves Simoneau, Marcel Beaulieu","Charlotte Valandrey, Steve Banner, Laure Marsac","Suite à une dispute avec son père, Stevens a déserté son village du Québec. Le voilà de retour, cinq ans après...","France, Canada","1987","Artistes Auteurs Associés (A.A.A.)","Long métrage","-","-",NA,"Couleur","62289",NA,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=31464.html"
