"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1987-10-28,29584,"Le Sicilien","The Sicilian","28 octobre 1987","2h 26min","Action, Drame, Historique","Michael Cimino","Steve Shagan","Christophe Lambert, Terence Stamp, Joss Ackland","1943. Salvatore Giuliano veut faire de la Sicile un état libre...","U.S.A.","1987","Agence Méditerranéenne de Location de Films (A.M.L.F.)","Long métrage","Anglais","-",NA,"Couleur","64610",NA,2.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=29584.html"
1987-10-28,41125,"Superman IV","Superman IV: The Quest for Peace","28 octobre 1987","1h 30min","Action, Aventure, Science Fiction","Sidney J. Furie","Christopher Reeve, Lawrence Konner","Christopher Reeve, Gene Hackman, Jackie Cooper","Lex Luthor, toujours décidé à anéantir Superman, décide de créer son propre super-héros. Cet androïde, né d'une mèche de cheveux de Superman et alimenté par l'énergie solaire, est une arme destinée à tuer. Il permettra ainsi à Lex Luthor de réaliser en toute liberté ses plans les plus criminels.","Grande-Bretagne, U.S.A.","1987","-","Long métrage","Anglais","17 000 000 USD",NA,"Couleur","-",NA,1.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=41125.html"
1987-10-28,2800,"Le Cri du hibou",NA,"28 octobre 1987","1h 42min","Drame, Policier, Romance","Claude Chabrol","Odile Barski, Claude Chabrol","Christophe Malavoy, Mathilda May, Jacques Penot","Un homme tourne autour de la maison de Juliette, fasciné par sa beauté. C'est Robert, dessinateur industriel, vivant à Vichy depuis qu'il s'est séparé de sa femme Véronique. Juliette et Robert finissent par s'aimer, mais Juliette a un fiancé, Patrick, qui prend la chose très, très mal tandis que la femme de Robert n'arrête pas de le harceler. Le drame et la mort deviennent vite inévitables entre ces quatre personnages. Chabrol a choisit Patricia Highsmith pour fêter ses trente ans de cinéma depuis ""le Beau Serge"".","Italie, France","1987","UIP Netherlands","Long métrage","Français","-",NA,"Couleur","-",NA,2.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=2800.html"
1987-10-28,55661,"La Photo","Photographia","28 octobre 1987","1h 42min","Comédie dramatique","Nico Papatakis",NA,"Aris Retsos, Christos Tsagas, Despina Tomazani","En 1971, Ilyas, 26 ans, quitte la Grèce qui est alors sous le régime des Colonels. Il emporte avec lui la photographie d'une chanteuse, qu'il a ramassée dans la rue. A Paris, il retrouve un parent éloigné, Gerassimos, installé en France depuis 1950. Il lui demande de l'aider à trouver du travail. Un jour, Gerassimos découvre la photographie, ce qui entraîne une série de malentendus entre les deux hommes.","Grèce, France","1986","-","Long métrage","Grec","-",NA,"Couleur","-",NA,3.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=55661.html"
