"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1981-05-20,4829,"La Porte du paradis","Heaven's Gate","22 mai 1981","3h 39min","Aventure, Drame, Western","Michael Cimino","Michael Cimino","Kris Kristofferson, Christopher Walken, John Hurt","Deux anciens élèves de Harvard se retrouvent en 1890 dans le Wyoming. Averill est shérif fédéral tandis que Billy Irvine, rongé par l'alcool, est membre d'une association de gros éleveurs en lutte contre les petits immigrants venus pour la plupart d'Europe centrale. Averill s'oppose à l'intervention de l'association sur le district et tente de convaincre son amie Ella, une prostituée d'origine française, de quitter le pays.","U.S.A.","1980","-","Long métrage","Anglais","44 000 000 USD",NA,"Couleur","53385",4.9,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=4829.html"
1981-05-20,150,"Les Chariots de feu","Chariots of Fire","20 mai 1981","1h 59min","Drame, Historique","Hugh Hudson","Colin Welland","Nigel Havers, Ian Holm, John Gielgud","Dans les années vingt, deux athlètes britanniques prédisposés pour la course à pied se servent de leur don, l'un pour combattre les préjugés xénophobes, l'autre pour affirmer sa foi religieuse.","Grande-Bretagne, U.S.A.","1981","La Filmothèque Distribution (ex Ciné Sorbonne)","Long métrage","Anglais, Français","5 000 000 USD",NA,"Couleur","54126",NA,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=150.html"
1981-05-20,1755,"Fondu au noir","Fade To Black","20 mai 1981","1h 40min","Epouvante-horreur, Policier","Vernon Zimmerman","Vernon Zimmerman","Dennis Christopher, Linda Kerridge, Tim Thomerson","Le jeune Eric Binford vit chez sa tante paralysee. Cinephile passionne, il de couvre l'amour a travers le sosie de Marylin Monroe. Les caprices de la jeune fille et l'agressivite croissante de sa tante vont l'amener a s'identi fier aux heros de ses films preferes pour commettre des meurtres vengeurs...","U.S.A.","1981","Splendor Films","Long métrage","Anglais","-",NA,"Couleur","-",NA,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=1755.html"
1981-05-20,23,"Neige",NA,"20 mai 1981","1h 30min","Drame","Jean-Henri Roger, Juliet Berto","Marc Villard","Jean-François Stévenin, Juliet Berto, Robert Liensol","Anita, elle est barmaid à « La Vielleuse », elle a un grand cœur. Willy lui, Anita il l’aime et c’est pas tous les jours facile. Jocko est antillais, pour vivre son exil, son « truc » c’est l’église de la Sainte-Trinité dont il est le Pasteur. Tous les trois, ils vivent sur les 800 mètres de boulevard entre Barbès et Pigalle. Bobby c’est le môme du quartier, il fait profession de « dealer ». Anita l’a presque élevé et elle ferait tout pour le protéger. Anita et ses deux copains, ils vont vite apprendre le prix du gramme d’héroine.","France, Belgique","1981","JHR Films","Long métrage","Français","-",NA,"Couleur","53532",3.6,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=23.html"
1981-05-20,3412,"Quartet",NA,"25 mai 1981","1h 41min","Drame, Romance","James Ivory","Ruth Prawer Jhabvala","Isabelle Adjani, Suzanne Flon, Maggie Smith","A Paris, en 1927, jusqu'à son arrestation, Stephan Zelli forme avec Marya un couple insouciant, immergé dans la bohème artistique du quartier de Montparnasse. Mais lorsque Stephan est envoyé pour un an en prison pour vol et recel d'oeuvres d'art, Marya n'a plus un sou. Loïs et HJ Heidler, un couple d'Anglais fortunés, lui offrent un toit que Marya, d'abord hésitante, finit par accepter. Elle devient la maîtresse de HJ. Loïs le sait et ne s'en émeut guère. De plus en plus mal à l'aise, Marya comprend qu'une complicité beaucoup plus forte que le désir qui le pousse vers d'autres femmes unit le couple et décide de mettre fin à cette situation. Isabelle Adjani fut récompensée par le prix d'interprétation féminine à Cannes en 1981 pour son rôle dans «Quartet» et dans «Possession» de Zulawski.","France, Grande-Bretagne","1981","-","Long métrage","Anglais, Français","-",NA,"Couleur","53291",NA,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=3412.html"
1981-05-20,130565,"Don't answer the phone !",NA,"20 mai 1981","1h 34min","Epouvante-horreur","Robert Hammer","Robert Hammer","Nicholas Worth, Denise Galik, Ben Frank","Kirk Smith est un malade. Ce vétéran du Vietnam reconverti photographe agresse les jeunes filles sans défense, en sous-vêtement de préférence. Misogyne convaincu, il raconte ensuite ses ""exploits"" dans l'émission radio de la jeune psychologue Lindsay Gale. C'en est trop pour le lieutenant McCable, qui se lance à sa poursuite...","U.S.A.","1980","-","Long métrage","Anglais","-",NA,"Couleur","-",NA,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=130565.html"
