"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1981-03-04,214544,"Sois belle et tais-toi!",NA,"4 mars 1981","1h 52min","Documentaire","Delphine Seyrig",NA,"Jane Fonda, Louise Fletcher, Jenny Agutter","En 1976, Delphine Seyrig s'entretient avec 23 actrices sur leurs conditions de femmes dans l'industrie cinématographique, leurs rapports avec les producteurs et réalisateurs, les rôles qu'on leur proposent et les liens qu'elles entretiennent avec d'autres comédiennes. Un documentaire culte, qui permet de réaliser ce qui a changé (ou pas).

Actrices interviewées : Jane Fonda, Louise Fletcher, Barbara Steele, Juliet Berto, Anne Wiazemsky, Shirley MacLaine, Maria Schneider, Ellen Burstyn ...","France","1977","Splendor Films","Long métrage","Anglais, Français","-",NA,"N&B","157293",NA,4.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=214544.html"
1981-03-04,19089,"L'Emmurée vivante","Sette note in nero","4 mars 1981","1h 40min","Epouvante-horreur, Thriller","Lucio Fulci","Lucio Fulci, Roberto Gianviti","Jennifer O'Neill, Gabriele Ferzetti, Marc Porel","Virginia Ducci a des prémonitions. Elle sait que l'un des murs de la maison de son défunt mari abrite un cadavre. Avec l'aide d'un spécialiste en paranormal, elle explore la bâtisse en ruines et ne tarde pas à découvrir un squelette. Mettre au jour ce terrible secret va s'avérer un geste funeste pour Virginia.","Italie","1977","Les Films du Camelia","Long métrage","Italien","-",NA,"Couleur","49149",NA,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=19089.html"
