tmdb_id,imdb_id,titre,titre_original,langue_originale,date_sortie,synopsis,tagline,duree,budget,revenue,popularite,note_tmdb,nb_votes_tmdb,statut,homepage,poster,backdrop,genres,pays,langues,production
804,tt0046250,Vacances romaines,Roman Holiday,en,1953-08-26,"Les tendres amours, le temps d'une journée, d'une princesse fugueuse et d'un séduisant journaliste américain, dans la Ville éternelle, Rome.","",119,1500000,12000000,10.5576,7.891,2331,Released,"",/hXgUFgIcRh1PrMAzkZOULff3j2l.jpg,/gzRISGjiDMj4xqYE9ES2KNIXxpo.jpg,"Romance, Comédie, Drame",US,"en, it",Paramount Pictures
34689,tt0046754,La Comtesse aux pieds nus,The Barefoot Contessa,en,1954-09-29,"À l'enterrement de Maria Vargas, sous la pluie, Harry Dawes se souvient...Engagé par le producteur Kirk Edwards pour réaliser un film, ils découvrent leur vedette un soir dans un cabaret de Madrid: Maria Vargas. La danseuse devient alors Maria Vargas, une star hollywoodienne adulée. Mais celle-ci se sent terriblement seule et rêve de rencontrer son prince charmant. Elle finit par le trouver sous les traits du conte Vincenzo Torlano-Favrini, un séduisant milliardaire. Ils se marient, mais Vincenzo cache un terrible secret...","",128,0,6600000,2.988,6.7,285,Released,"",/plT4xK9FF0mtM6fXY0ldO5TsRL5.jpg,/2yK59yDiP4P5hsENbGYSPc3YA5I.jpg,Drame,"US, IT","es, en, it","Figaro Incorporated Production, Transoceanic Film, United Artists"
76772,tt0051172,Voici le temps des assassins...,Voici le temps des assassins...,fr,1956-04-13,"André Châtelin tient un restaurant aux Halles, à Paris. Il a pris sous son aile Gérard Delacroix, un orphelin, étudiant sans le sou. Leur vie tranquille est bouleversée quand apparaît Catherine, la fille de Gabrielle, l'ancienne femme de Châtelin, dont il est séparé depuis vingt ans. Catherine prétend que sa mère est morte et qu'elle n'a nulle part où aller. Malgré l'hostilité de madame Jules, la fidèle servante, et celle de la mère de Châtelin, Catherine s'installe au restaurant. Son visage angélique fait vaciller le brave restaurateur. Mais ses relations avec Gérard se dégradent. Petit à petit, Catherine met à exécution un plan diabolique…","",113,0,0,1.5024,7.2,70,Released,"",/jubAM5LGD9YEE1GZROLwkAjJCv9.jpg,/zxMvMuPUCzTxX2STwWRfe3YTPHz.jpg,"Drame, Thriller",FR,fr,"Société Nouvelle Pathé Cinéma, Les Films Agiman"
11706,tt0049934,Guerre et Paix,War and Peace,en,1956-08-21,"Moscou,1805. La jeune comtesse Natacha est fiancée au prince André et a pour meilleur ami le Prince Pierre. La guerre éclate, André et Pierre partent au front tandis que Natacha décide de s'occuper des malheureux. Mais André est tué au combat. À son retour, Pierre retrouve une jeune femme assagie par les épreuves et la dureté des temps…",Le plus grand roman jamais écrit… Maintenant magnifiquement vivant sur l'écran !,212,5000000,12000000,5.0468,6.6,281,Released,"",/boWmWxhNRZSR6rQDoYmPvvmPqaC.jpg,/wVNkaSBX3gHk1zGZ3XaI0ycoJvY.jpg,"Guerre, Romance, Drame, Histoire","IT, US","en, it, ru","Paramount Pictures, Ponti-De Laurentiis Cinematografica"
14698,tt0053318,Soudain l'été dernier,"Suddenly, Last Summer",en,1959-12-22,"A la Nouvelle-Orléans de 1937, une riche veuve, Violet Venable, propose de financer l'hôpital public Lyons View si l'un de ses praticiens, le docteur Cukrowicz, accepte de pratiquer une lobotomie sur sa nièce Catherine Holly. Celle-ci est internée depuis le décès mystérieux, durant un périple estival, de Sebastian Venable, poète et fils de Mrs Venable. La version que raconte Catherine du décès de Sebastian paraît tellement loufoque, que Violet la croit folle à lier. Avec l'aide du Dr Cukrowicz, Catherine va peu à peu recouvrer la mémoire jusqu'à révéler une vérité que certains auraient préféré rester enfouie...","Soudain, l'été dernier, Cathy a su qu'elle était utilisée pour quelque chose de mal!",114,3000000,9000000,2.6465,7.3,325,Released,"",/gvnPay4mSE4tbDzjv2e1sdcUJTD.jpg,/pMIIOovLyyCr8W5JFOqsSO8gK1r.jpg,"Thriller, Drame, Mystère","GB, US",en,"Horizon Pictures, Academy Pictures Corporation, Camp Films, Columbia Pictures"
1941,tt0053804,Exodus,Exodus,en,1960-12-15,"Le film suit la route de l'Exodus, le bateau qui amena les immigrants juifs en terre d'Israël après la guerre, ainsi que les négociations avec les autorités britanniques. Le nouvel État d'Israël se voit par la suite attaqué de toutes parts.","",208,4000000,20000000,2.0141,6.659,239,Released,"",/1JXFJRztd43gCf4TAodNUwkfZoi.jpg,/9Knw79HXoPpHIqa9TscDlwbuRJV.jpg,"Drame, Guerre",US,en,"Otto Preminger Films, United Artists, Carlyle-Alpina, S.A."
8095,tt0056937,Cléopâtre,Cleopatra,en,1963-06-12,"En 48 avant J.-C., Jules César, consul de Rome, poursuit Pompée jusqu'en Égypte où le jeune souverain, Ptolémée, fait exécuter le fugitif. Écartée du trône d'Égypte par son frère, Cléopâtre demande l'aide de César pour rétablir son pouvoir. Celui-ci accepte, succombe à ses charmes et lui donne un fils, Césarion. Deux ans plus tard, la sulfureuse jeune femme débarque à Rome en grande pompe. Sa joie de retrouver son mari est de bien courte durée, puisque César est victime d'une cabale montée par ses plus proches collaborateurs. C'est au tour de Marc Antoine de tomber amoureux fou de Cléopâtre.",Le film que le monde attendait !,251,36115000,57779280,7.2517,7.1,883,Released,"",/hW31E0l3l8uzCu8REOI4o4yOC1F.jpg,/q7fBDmVcU0MWkc8sWt9IKj6YbVd.jpg,"Drame, Histoire, Romance","GB, US",en,"MCL Films S.A., Walwa Films S.A., 20th Century Fox"
2661,tt0060153,Batman : Le film,Batman,en,1966-07-30,"Batman et Robin combattent le Joker, Catwoman, le Pingouin et l'Homme-Mystère, unis dans le vol d'une invention capable de déshydrater entièrement tout être vivant.","",105,1377800,3900000,5.0576,6.375,1090,Released,"",/dCtrHX3oYRwYMFXICMauNfReO9w.jpg,/nOWOU0bdX76iF9XA1YPlInLbI4Y.jpg,"Action, Comédie, Crime",US,en,"William Dozier Productions, 20th Century Fox, Greenlawn Productions"
871,tt0063442,La Planète des singes,Planet of the Apes,en,1968-02-07,"Égaré dans l'espace-temps, un engin spatial américain s'écrase en 3978 sur une planète inconnue. Les astronautes Taylor, Landon et Dodge découvrent que les hommes primitifs de cette planète mystérieuse sont placés sous le joug de singes très évolués.","Quelque part dans l'Univers, il doit y avoir mieux que l'Homme !",112,5800000,32589624,13.5689,7.657,4109,Released,"",/vh1LU9aCThFJncCfqyveX1SFtDW.jpg,/gmJOXle5QeOOVFEYOVBOkmIJUWV.jpg,"Science-Fiction, Aventure, Drame, Action",US,en,"APJAC Productions, 20th Century Fox"
33205,tt0065649,Dodes'kaden,どですかでん,ja,1970-10-31,"Rokuchan est un jeune garçon qui vit dans un bidonville. Pour s'évader d'un quotidien sinistre, il s'imagine être aux commandes d'un tramway et sillonne le dédale des bas-fonds, où il va faire d'étranges rencontres. Akira Kurosawa entrecroise ici les destins des déclassés, alcooliques et autres rêveurs solitaires dans un style résolument expérimental...","",140,0,0,2.1897,7.102,162,Released,"",/kaxCrZrG9NiUD9cioiJHGeq7sbI.jpg,/6CsuEnJUbrHb2xVLgkB4zxb1Kta.jpg,Drame,JP,ja,"Yonki-no-Kai Productions, TOHO"
