"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2006-01-18,59068,"Orgueil et préjugés","Pride and Prejudice","18 janvier 2006","2h 09min","Comédie, Romance","Joe Wright","Deborah Moggach, Emma Thompson","Keira Knightley, Matthew Macfadyen, Rosamund Pike","Dans un petit village d'Angleterre, sous le règne de George III, Mrs. Bennet veut marier ses filles afin de leur assurer un avenir serein. L'arrivée de nouveaux voisins, Mr. Bingley et son ami Mr. Darcy, plonge Jane et Elisabeth dans des affaires de coeur tumultueuses.

Cette dernière découvre l'amour en rencontrant le bel et aristocratique Darcy. Pourtant, tous deux devront passer outre leur orgueil et les mauvaises interprétations qui s'ensuivent avant de tomber dans les bras l'un de l'autre à la grande surprise des Bennet.","U.S.A., France, Grande-Bretagne","2005","Mars Distribution","Long métrage","Anglais","-","402 596 entrées","Couleur","114023",3.8,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=59068.html"
2006-01-18,54989,"Le Secret de Brokeback Mountain","Brokeback Mountain","18 janvier 2006","2h 14min","Drame, Romance","Ang Lee","Larry McMurtry, Diana Ossana","Heath Ledger, Jake Gyllenhaal, Michelle Williams","Eté 1963, Wyoming.

Deux jeunes cow-boys, Jack et Ennis, sont engagés pour garder ensembleun troupeau de moutons à Brokeback Mountain.

Isolés au milieu d'une nature sauvage, leur complicité se transforme lentementen une attirance aussi irrésistible qu'inattendue.

A la fin de la saison de transhumance, les deux hommes doivent se séparer.

Ennis se marie avec sa fiancée, Alma, tandis que Jack épouse Lureen.

Quand ils se revoient quatre ans plus tard,un seul regard suffit pour raviver l'amour né à Brokeback Mountain.","U.S.A.","2005","Pathé Films","Long métrage","Anglais","-","1 217 075 entrées","Couleur","-",4.4,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=54989.html"
2006-01-18,56148,"Chaos",NA,"18 janvier 2006","1h 40min","Action, Drame, Policier","Tony Giglio","Tony Giglio","Jason Statham, Ryan Phillippe, Wesley Snipes","Un matin à Seattle, cinq hommes cagoulés font irruption dans une banque et prennent employés et clients en otage.

Lorsque la police arrive sur place et boucle le quartier, Lorenz, chef du gang, exige de ne s'entretenir qu'avec une seule personne : l'inspecteur Quentin Conners, suspendu de ses fonctions suite à une sérieuse bavure...

C'est à contre-coeur que Conners accepte de reprendre du service, d'autant qu'il doit désormais faire équipe avec un tout jeune débutant dans la police, l'inspecteur Dekker...","U.S.A.","2005","TFM Distribution","Long métrage","Anglais","-","156 169 entrées","Couleur","114454",2.2,2.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=56148.html"
2006-01-18,32239,"Pompoko","Heisei tanuki gassen pompoko","18 janvier 2006","1h 54min","Animation, Comédie dramatique","Isao Takahata","Isao Takahata","Makoto Nonomura, Yuriko Ishida, Akira Kamiya","Espèce mi-raton laveur mi-blaireau, les Tanukis partageaient aisément leur espace vital avec les paysans. Entrecoupée de batailles entre tribus, leur vie insouciante leur faisait ignorer la présence toujours plus proche des hommes… Jusqu’au jour où ces derniers décident de s’approprier leur territoire et de faire de la montagne une ville. Capables de se métamorphoser à volonté, les Tanukis vont tenter d’effrayer les humains grâce à leurs pouvoirs extraordinaires. Cependant, il en faudra plus pour que les hommes renoncent à la destruction de la forêt. Face à la menace expansionniste, la riposte des Tanukis s’organise mais les animaux ne sont pas au bout de leurs peines !","Japon","1994","Wild Bunch Distribution","Long métrage","Japonais","-","130 461 entrées","Couleur","114467",4.4,3.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=32239.html"
2006-01-18,57421,"Bandidas",NA,"18 janvier 2006","1h 35min","Action, Comédie, Western","Joachim Rønning, Espen Sandberg","Luc Besson, Robert Mark Kamen","Salma Hayek, Penélope Cruz, Steve Zahn","Mexique, 1880. Sara Sandoval est la fille d'un riche banquier. Maria Alvarez est la fille d'un pauvre fermier. Ces deux jeunes femmes, qui n'ont apparemment rien en commun, excepté leur culture mexicaine, sont entraînées dans la même aventure par le destin et les circonstances.

Avec l'aide de Quentin Cooke, un jeune et idéaliste inspecteur de police originaire de New York, elles vont s'opposer à Tyler Jackson, le représentant de la New York Bank and Trust. Celui-ci a monté un complot visant à saisir illégalement les terres des Mexicains afin de faire passer le chemin de fer...","France, Mexique, U.S.A.","2004","20th Century Studios","Long métrage","Anglais, Espagnol","32 000 000 EUR","395 300 entrées","Couleur","111 015",2.7,2.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=57421.html"
2006-01-18,55467,"Un ticket pour l'espace",NA,"18 janvier 2006","1h 30min","Comédie","Eric Lartigau","Olivier Baroux, Kad Merad","Kad Merad, Olivier Baroux, Marina Foïs","Face à l'incompréhension de la population française quant au montant des crédits alloués à la recherche spatiale, le gouvernement lance une vaste opération de communication. En partenariat avec le Centre spatial français, un grand jeu est organisé.

""Le ticket pour l'espace"", un jeu à gratter, va permettre à deux civils de séjourner dans la station orbitale européenne, en compagnie d'un équipage professionnel. L'opération est un immense succès. Tout se passe bien, jusqu'à ce que l'un des deux gagnants prenne la station en otage...","France","2005","Gaumont Columbia Tristar Films","Long métrage","Français","-","396 807 entrées","Couleur","107906",3.3,2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=55467.html"
2006-01-18,59338,"La Fièvre du roller","Roll bounce","18 janvier 2006","1h 47min","Comédie","Malcolm D. Lee","Norman Vance Jr.","Shad Moss, Chi McBride, Wesley Jonathan","Au plus chaud de l'été 78, le disco est partout, et Xavier ""X"" Smith est sans conteste le plus doué des patineurs du Roller Rink du sud de Chicago. Au milieu de ses amis, X trouve l'équilibre et la reconnaissance qu'il est loin d'avoir chez lui.

Lorsque l'établissement ferme, X et les siens n'ont plus d'autre choix que d'aller au Roller Rink de Sweetwater, au nord. Là-bas, tout est plus beau, les jeunes sont plus riches... et Curtis règne en maître. Pour avoir une chance de se faire une place au soleil, X et les siens vont devoir surmonter les préjugés et montrer de quoi ils sont vraiment capables. La compétition annuelle approche et pour X, il n'est pas seulement question de gagner un trophée...","U.S.A.","2004","Twentieth Century Fox France","Long métrage","Anglais","-",NA,"Couleur","-",4,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=59338.html"
2006-01-18,58210,"Riviera",NA,"18 janvier 2006","1h 38min","Drame","Anne Villacèque","Anne Villacèque","Miou-Miou, Elie Semoun, Vahina Giocante","Stella, 17 ans, belle et blonde, vit avec sa mère, Antoinette, sur la Côte d'Azur. L'une est danseuse dans des clubs, l'autre femme de chambre dans un hôtel de luxe. L'une travaille la nuit, l'autre le jour, mais leur lien est permanent. Elles sont ensemble spectatrices d'un monde qui dépense et jouit, d'un monde comme à la télé qu'elles côtoient sans cesse sans jamais le toucher.

Arrive Romansky, agent immobilier en mission sur la Côte. Il croise la mère dans l'hôtel où il réside, puis désire la fille au club où il vient tuer son ennui.

Alors, l'improbable a lieu : une rencontre entre une trop belle fille et cet homme seul, peut-être le début d'une histoire d'amour.","France","2005","Bac Films","Long métrage","Français","3 020 000 EUR",NA,"Couleur","109 463",2.6,1.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=58210.html"
2006-01-18,123787,"Derniers chrysanthèmes","Bangiku","18 janvier 2006","1h 41min","Drame","Mikio Naruse",NA,"Haruko Sugimura, Ken Uehara, Sadako Sawamura","Trois anciennes geishas décident de gagner leur vie autrement: la première devient prêteuse d'argent, la deuxième servante dans une auberge, la troisième femme de ménage.","Japon","1954","Les Acacias","Long métrage","Japonais","-",NA,"N&B","-",NA,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=123787.html"
2006-01-18,56152,"Na cidade vazia",NA,"18 janvier 2006","1h 30min","Drame","Maria João Ganga","Maria João Ganga","João Roldan, Domingos Fernandes Fonseca, Júlia Botelho","Fuyant la guerre civile, un groupe d'enfants atterrit à l'aéroport de Luanda. Dès son arrivée, N'dala s'échappe et part à la découverte de la ville. Alors qu'une religieuse le cherche, l'orphelin découvre une ville à la dérive et rêve de repartir dans sa province pour y retrouver ses parents défunts.","Portugal, Angola","2004","Les Histoires Weba","Long métrage","Dialecte africain","-",NA,"Couleur","114 005",3,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=56152.html"
2006-01-18,57622,"C'est pas tout à fait la vie dont j'avais rêvé",NA,"18 janvier 2006","1h 15min","Comédie dramatique","Michel Piccoli","Michel Piccoli, Ludivine Clerc","Roger Jendly, Michele Gleizer, Elisabeth Margoni","Un homme, deux appartements identiques, une femme, une maîtresse, une domestique.

Un homme partage sa vie entre l'appartement qu'il habite avec sa femme, celui qu'il occupe avec son maîtresse, et son club.

Avec la complicité de sa domestique, il dépouille l'une pour faire des cadeaux à l'autre. A l'une, il n'offre que des parties de Scrabble jouées dans le silence, à l'autre, déclarations et bouquets de fleurs quotidiens...","France","2004","Gémini Films","Long métrage","Français","74 000 000 EUR",NA,"Couleur","110568",3.6,2.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=57622.html"
2006-01-18,110063,"D'une langue à l'autre","Misafa Lesafa","18 janvier 2006","1h 10min","Documentaire","Nurith Aviv","Nurith Aviv",NA,"A partir de leur propre histoire, neuf personnes - poètes, écrivains, chanteurs - évoquent leur vécu particulier du passage d'une langue à l'autre. Le film décrit ce lien intime, souvent ambivalent et conflictuel, tissé entre l'hébreu, langue apprise et adoptée, et la langue de l'enfance, celle qui est ""comme du lait maternel"".","France","2004","Swan Productions","Long métrage","Arabe, Hébreu","-",NA,"Couleur","-",3,3.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=110063.html"
2006-01-18,76626,"Seeing is believing",NA,"18 janvier 2006","0h 53min","Documentaire","Peter Wintonik, Katerina Cizek",NA,NA,"Ce sont des images de brutalités policières, de contrebandes mafieuses d¹immigrés illégaux, de mouvements de résistance au coeur de la jungle et d¹anthropologues médico-légaux ouvrant des fosses communes. Ce sont des vidéos tournées par quelques-uns des plus braves activistes au monde dans le domaine des droits de la personne qui documentent certaines des plus horribles violations de ces droits.

De quelle façon ces films sont-ils différents de ce que nous voyons aux actualités nationales chaque soir ?","Canada","2002","K Films","Moyen-métrage","Français","-",NA,"Couleur","-",3,NA,"https://www.allocine.fr/film/fichefilm_gen_cfilm=76626.html"
2006-01-18,94445,"Coca, la colombe de Tchétchénie","Coca: Die Taube von Tschetschenien","18 janvier 2006","1h 26min","Documentaire","Eric Bergkraut",NA,NA,"Les efforts incessants d'une femme, Zainap Gashaeva, pour dénoncer l'oppression et le massacre du peuple tchétchène par le gouvernement russe. Portrait de la fondatrice de l'association ""Echo de Guerre"", groupe de femmes activistes tchétchènes qui travaille en collaboration avec des femmes russes.","Suisse","2005","K Films","Long métrage","Français","-",NA,"Couleur","-",4,3.4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=94445.html"
