"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2009-05-20,130318,"La Nuit au musée 2","Night At The Museum : Battle of the Smithsonian","20 mai 2009","1h 45min","Aventure, Comédie, Famille","Shawn Levy","Thomas Lennon, Robert Ben Garant","Ben Stiller, Robin Williams, Hank Azaria","Le plus grand musée du monde vient d'accueillir de nouvelles expositions, et parmi elles, l'ancestrale tablette des pharaons aux pouvoirs magiques. Désormais la nuit, toutes les animations du musée prennent vie, y compris le maléfique pharaon Kahmunrah et ses acolytes Al Capone, Ivan le Terrible et Napoléon. Le gardien de musée Larry et ses vieux amis le Président Roosevelt, Attila, T-Rex, le romain Octavius et Jedediah le cowboy vont devoir livrer une bataille acharnée et délirante contre ces animations malintentionnées.","U.S.A.","2009","Twentieth Century Fox France","Long métrage","Anglais","150 000 000 USD","1 602 535 entrées","Couleur","123093",3,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=130318.html"
2009-05-20,4551,"Kes",NA,"1 mai 1970","1h 50min","Drame","Ken Loach","Ken Loach, Tony Garnett","David Bradley (II), Colin Welland, Freddie Fletcher","Billy Casper vit dans une petite ville minière du nord-est de l'Angleterre, à Barnsley, dans le Yorkshire. Il a une douzaine d'annéeset l'univers dans lequel il vit ne correspond pas à son attente. Sa mère ne s'occupe guère de lui son frère aîné Jude, le traite en souffre-douleur. Quelques petits travaux avant l'heure d'ouverture de l'école et de menus larcins lui procurent un peu d'argent de poche. A l'école, Billy est distrait indiscipliné, entouré de camarades et de professeurs plus hostiles qu'amicaux.. Un jour, Billy déniche un jeune rapace; il vole alors dans une librairie un traité de fauconnerie et entreprend de dresser l'oiseau. Il se donne tout entier à cette tâche et lorsqu'un professeur, attentif, lui demande d'exposer à la classe l'art de dresser un faucon, Billy réussit à intéresser tous ses camarades...Mais le gamin a détourné une petite somme d'argent que son frère lui avait confiée pour jouer aux courses : Jude se vengera en tuant l'oiseau, le seul ami de l'enfant.","Grande-Bretagne","1969","Les Films du Paradoxe","Long métrage","Anglais","-",NA,"Couleur","37305",5,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=4551.html"
2009-05-20,130604,"Confessions d'une accro du shopping","Confessions of a Shopaholic","20 mai 2009","1h 46min","Comédie","P.J. Hogan","Kayla Alpert, Tracey Jackson","Isla Fisher, Hugh Dancy, Krysten Ritter","Vive et charmante, Becky Bloomwood est une accro du shopping. Passionnée de mode, elle est incapable de résister au plaisir d'acheter tout ce qui est branché, tendance, trendy...

Obligée de trouver un job pour financer ses achats impulsifs, elle obtient un poste - ô ironie ! - dans un magazine financier. La voilà expliquant aux lecteurs comment gérer leur argent au quotidien, alors qu'elle passe son temps à dépenser le sien dans les boutiques !

Becky se retrouve vite dans une situation délicate qu'elle cherche à cacher à son patron, un homme très attirant...","U.S.A.","2009","The Walt Disney Company France","Long métrage","Anglais","-","439 283 entrées","Couleur","-",2.5,2.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=130604.html"
2009-05-20,133268,"Etreintes brisées","Los abrazos rotos","20 mai 2009","2h 09min","Drame","Pedro Almodóvar","Pedro Almodóvar","Penélope Cruz, Lluis Homar, Blanca Portillo","Dans l'obscurité, un homme écrit, vit et aime. Quatorze ans auparavant, il a eu un violent accident de voiture, dans lequel il n'a pas seulement perdu la vue mais où est morte Lena, la femme de sa vie.

Cet homme a deux noms : Harry Caine, pseudonyme ludique sous lequel il signe ses travaux littéraires, ses récits et scénarios ; et Mateo Blanco, qui est son nom de baptême, sous lequel il vit et signe les films qu'il dirige. Après l'accident, Mateo Blanco devient son pseudonyme, Harry Caine. Dans la mesure où il ne peut plus diriger de films, il préfère survivre avec l'idée que Mateo Blanco est mort avec Lena, la femme qu'il aimait, dans l'accident.

Désormais, Harry Caine vit grâce aux scénarios qu'il écrit et à l'aide de son ancienne et fidèle directrice de production, Judit García, et du fils de celle-ci, Diego. Depuis qu'il a décidé de vivre et de raconter des histoires, Harry est un aveugle très actif et attractif qui a développé tous ses autres sens pour jouir de la vie, sur fond d'ironie et dans une amnésie qu'il a volontairement choisie ou, plus exactement, qu'il s'est imposé. Il a effacé de sa biographie tout ce qui est arrivé quatorze ans auparavant. Il n'en parle plus, il ne pose plus de questions ; le monde a eu vite fait d'oublier Mateo Blanco et il est lui-même le premier à ne pas désirer le ressusciter...

Une histoire d'amour fou, dominée par la fatalité, la jalousie et la trahison. Une histoire dont l'image la plus éloquente est la photo de Mateo et Lena, déchirée en mille morceaux.","Espagne","2009","Pathé Films","Long métrage","Anglais, Espagnol","18 000 000 USD","874 166 entrées","Couleur","122644",4.3,3.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=133268.html"
2009-05-20,140284,"Vengeance","Fuk Sau","20 mai 2009","1h 48min","Action, Drame, Judiciaire, Thriller","Johnnie To","Wai Ka-Fai, Robert Mark Kamen","Johnny Hallyday, Sylvie Testud, Simon Yam","Un père vient à Hong Kong pour venger sa fille, victime de tueurs à gages. Sur son passeport est marqué ""cuisinier"". 20 ans plus tôt, il était un tueur professionnel.","Hong-Kong, France","2009","ARP Sélection","Long métrage","Cantonais, Anglais, Français","-","95 971 entrées","Couleur","123175",3.8,2.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=140284.html"
2009-05-20,61767,"Les Enfants invisibles","All the Invisible Children","20 mai 2009","2h 09min","Drame","Ridley Scott, John Woo, Jordan Scott","Stribor Kusturica, Cinqué Lee","Adama Bila, Elysée Rouamba, Rodrigue Ouattara","Les destins d'enfants issus des quatre coins du monde vus par les plus grands réalisateurs.

Sept vies contrariées, sept enfances mal aimées ou maltraitées comme autant de témoignages et de prises de conscience de la part des adultes.","France, Italie","2005","Acte Films","Long métrage","Anglais","-","4 085 entrées","Couleur","119982",3,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=61767.html"
2009-05-20,34591,"La Fille du désert","Colorado Territory","20 mai 2009","1h 32min","Western","Raoul Walsh","Edmund H. North, John Twist","Virginia Mayo, Joel McCrea, Dorothy Malone","En 1870, dans une Amérique en voie de pacification, le hors-la-loi Wes McQueen parvient à s'évader de prison. Il rejoint difficilement ses complices avec qui il projette de braquer un train et fait la rencontre de la belle et mystérieuse Colorado Carson. Mais avec ses deux acolytes, McQueen ne se sent pas à l'abri d'une trahison.","U.S.A.","1949","-","Long métrage","Anglais","-",NA,"N&B","9643",NA,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=34591.html"
2009-05-20,131255,"La Différence, c'est que c'est pas pareil",NA,"20 mai 2009","1h 25min","Comédie","Pascal Laëthier","Pascal Laëthier, Sandrine Martin","François Berléand, Clémentine Célarié, Audrey Dana","Sylvain s'est absenté pendant une quinzaine d'années et il revient en France à l'occasion d'une cérémonie familiale. Il renoue avec ses enfants et son ex-femme. Mais les réunions de famille ne se passent jamais comme on le souhaiterait, surtout quand votre arrivée n'est pas souhaitée par tous...","France","2008","Zelig Films Distribution","Long métrage","Français","-","8 449 entrées","Couleur","111805",2.6,1.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=131255.html"
2009-05-20,110491,"Les Saignantes",NA,"20 mai 2009","1h 34min","Action, Comédie, Epouvante-horreur","Jean-Pierre Bekolo",NA,"Adèle Ado, Dorylia Calmel, Joséphine Ndagou","C'est parce qu'elle brigue un marché public que Majolie couche avec le SGCC (Secrétaire Général du Cabinet Civil). Mais l'homme âgé meurt à la suite d'une partie de sexe acrobatique. Le plan de Majolie tombe à l'eau. Il y a un cadavre, il faut s'en débarrasser. Agir, c'est tout ce qui compte, peu importe si on n'est pas une professionnelle.

Pour Majolie et Chouchou, qui n'ont pour seules armes leur corps et leur bouche, les improvisations sont porteuses d'un espoir...","France, Cameroun","2007","Quartier Mozart Films","Long métrage","Français","-","382 entrées","Couleur","108 765",2.7,2.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=110491.html"
2009-05-20,123266,"Où est la main de l'homme sans tête",NA,"20 mai 2009","1h 44min","Thriller","Guillaume Malandrin, Stéphane Malandrin","Guillaume Malandrin, Stéphane Malandrin","Cécile de France, Ulrich Tukur, Bouli Lanners","Eva Sanders est une plongeuse de haut vol, habituée des premières places aux championnats internationaux. Athlète exemplaire, elle consacre sa vie aux ""dix mètres"", entraînée par Peter, un ancien infirmier.

Un jour, Eva rate son plongeon, heurte la plateforme et tombe dans le coma. Lorsqu'elle en sort quinze jours plus tard, Eva a une pensée pour son chaton confié à son frère avant l'accident. Mais son frère a disparu...

Eva part à leur recherche et commence à penser que son père n'est peut-être pas étranger à leur disparition...","Belgique, France","2007","Eurozoom","Long métrage","Français","-","1 542 entrées","Couleur","116 200",2.9,2.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=123266.html"
