semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2018-02-07,248039,Jusqu’à la Garde,,7 février 2018,1h 34min,"Drame, Thriller",Xavier Legrand,Xavier Legrand,"Léa Drucker, Denis Ménochet, Thomas Gioria","Le couple Besson divorce. Pour protéger son fils d’un père qu’elle accuse de violences, Miriam en demande la garde exclusive. La juge en charge du dossier accorde une garde partagée au père qu’elle considère bafoué. Pris en otage entre ses parents, Julien va tout faire pour empêcher que le pire n’arrive.",France,2017,Haut et Court,Long métrage,Français,-,401 447 entrées,Couleur,144409,4.2,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=248039.html
2018-02-07,244755,"Ni Juge, Ni Soumise",,7 février 2018,1h 39min,Documentaire,"Jean Libon, Yves Hinant","Jean Libon, Yves Hinant","Anne Gruwez, David Derumier, Serge Graide","Ni Juge ni soumise est le premier long-métrage StripTease, émission culte de la télévision belge. Pendant 3 ans les réalisateurs ont suivi à Bruxelles la juge Anne Gruwez au cours d'enquêtes criminelles, d’auditions, de visites de scènes de crime. Ce n'est pas du cinéma, c'est pire.","France, Belgique",2017,ARP Sélection,Long métrage,Français,-,203 259 entrées,Couleur,141655,3.3,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=244755.html
2018-02-07,254109,Revenge,,7 février 2018,1h 53min,"Action, Thriller",Coralie Fargeat,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe","Trois riches chefs d’entreprise quarantenaires, mariés et bons pères de famille se retrouvent pour leur partie de chasse annuelle dans une zone désertique de canyons. Un moyen pour eux d’évacuer leur stress et d’affirmer leur virilité armes à la main. Mais cette fois, l’un d’eux est venu avec sa jeune maîtresse, une lolita ultra sexy qui attise rapidement la convoitise des deux autres... Les choses dérapent... Dans l'enfer du désert, la jeune femme laissée pour morte reprend vie... Et la partie de chasse se transforme en une impitoyable chasse à l'homme...",France,2018,Rezo Films,Long métrage,"Anglais, Français",-,38 427 entrées,Couleur,146263,3.1,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=254109.html
2018-02-07,255721,Le 15h17 pour Paris,The 15:17 to Paris,7 février 2018,1h 34min,"Drame, Thriller",Clint Eastwood,Dorothy Blyskal,"Spencer Stone, Anthony Sadler, Alek Skarlatos","Dans la soirée du 21 août 2015, le monde, sidéré, apprend qu'un attentat a été déjoué à bord du Thalys 9364 à destination de Paris. Une attaque évitée de justesse grâce à trois Américains qui voyageaient en Europe. Le film s'attache à leur parcours et revient sur la série d'événements improbables qui les ont amenés à se retrouver à bord de ce train. Tout au long de cette terrible épreuve, leur amitié est restée inébranlable. Une amitié d'une force inouïe qui leur a permis de sauver la vie des 500 passagers …",U.S.A.,2018,Warner Bros. France,Long métrage,Anglais,-,402 662 entrées,Couleur,147931,2.6,2.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=255721.html
2018-02-07,230249,Stronger,,7 février 2018,1h 59min,"Biopic, Drame",David Gordon Green,John Pollono,"Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson","En ce 15 avril 2013, Jeff Bauman est venu encourager Erin qui court le marathon : il espère bien reconquérir celle qui fut sa petite amie. Il l’attend près de la ligne d’arrivée quand une bombe explose. Il va perdre ses deux jambes dans l’attentat. Il va alors devoir endurer des mois de lutte pour espérer une guérison physique, psychologique et émotionnelle.",U.S.A.,2017,Metropolitan FilmExport,Long métrage,Anglais,-,12 251 entrées,Couleur,148172,2.6,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=230249.html
2018-02-07,209894,Cinquante Nuances plus claires,Fifty Shades Freed,7 février 2018,1h 46min,"Drame, Erotique, Romance",James Foley,Niall Leonard,"Dakota Johnson, Jamie Dornan, Eric Johnson","Pensant avoir laissé derrière eux les ombres du passé, les jeunes mariés Christian et Ana profitent pleinement de leur relation tortueuse et partagent une vie de luxe. Mais alors qu’Anastasia commence tout juste à s’adapter à son nouveau rôle de Madame Grey et que Christian s’ouvre finalement à elle, de nouvelles menaces viennent mettre en péril leur vie commune avant même qu’elle n’ait débuté. ",U.S.A.,2018,Universal Pictures International France,Long métrage,Anglais,-,2 759 444 entrées,Couleur,147936,2.1,2.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=209894.html
2018-02-07,232214,Le Labyrinthe : le remède mortel,Maze Runner: The Death Cure,7 février 2018,2h 22min,"Aventure, Science Fiction",Wes Ball,T.S. Nowlin,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster","Dans ce dernier volet de l’épopée LE LABYRINTHE, Thomas et les Blocards s’engagent dans une ultime mission, plus dangereuse que jamais. Afin de sauver leurs amis, ils devront pénétrer dans la légendaire et sinueuse Dernière Ville contrôlée par la terrible organisation WICKED. Une cité qui pourrait s’avérer être le plus redoutable des labyrinthes. Seuls les Blocards qui parviendront à en sortir vivants auront une chance d’obtenir les réponses tant recherchées depuis leur réveil au cœur du Labyrinthe.",U.S.A.,2018,Twentieth Century Fox France,Long métrage,Anglais,-,2 842 864 entrées,Couleur,147892,2.9,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=232214.html
2018-02-07,257259,Rita et Crocodile,,7 février 2018,0h 40min,"Animation, Famille",Siri Melchior,"Anders Sparring, Jan Vierth",,"Rita, petite fille de quatre ans au caractère bien trempé, découvre le monde en compagnie de son fidèle ami, Crocodile qui vit dans une baignoire et qui ne pense qu’à manger comme tout bon crocodile qu’il est. Ensemble, ils apprennent à pêcher, ramassent des myrtilles dans la forêt, tentent d’apprivoiser un hérisson, partent camper dans la montagne et quand il neige, font des courses de luge ou encore du ski. Ils partent même sur la Lune !! En somme, une amitié entre aventuriers !!","Danemark, Grande-Bretagne",2015,Gebeka Films,Long métrage,Anglais,-,77 810 entrées,Couleur,148186,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=257259.html
2018-02-07,237796,Cro Man,Early Man,7 février 2018,1h 29min,"Animation, Comédie",Nick Park,"Mark Burton (IV), James Higginson","Pierre Niney, Eddie Redmayne, Kaycie Chase","Préhistoire, quand les dinosaures et les mammouths parcouraient encore la terre. L’histoire d'un homme des cavernes courageux, Doug, et de son meilleur ami Crochon, qui s’unissent pour sauver leur tribu d’un puissant ennemi.","Grande-Bretagne, U.S.A., France",2018,StudioCanal,Long métrage,Anglais,50 000 000 USD,864 793 entrées,Couleur,147969,3.3,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=237796.html
2018-02-07,44420,Roar,,7 février 2018,1h 34min,"Aventure, Epouvante-horreur, Thriller",Noel Marshall,Noel Marshall,"Tippi Hedren, Melanie Griffith, Noel Marshall","Dans le cadre de son étude portant sur les félins sauvages, Hank, scientifique américain, est parti s’installer en Afrique pour vivre parmi ces animaux à la réputation extrêmement dangereuse. Sa maison est un refuge pour plus d’une centaine de fauves que le chercheur élève en toute liberté. Restés aux États-Unis, sa femme Madelaine et ses enfants Melanie, John et Jerry décident de venir lui rendre visite. Mais à leur arrivée, Hank n’est pas là pour les accueillir. À la place, ils découvrent avec effroi les autres habitants qui, en l’absence du maître de maison, ont totalement pris le contrôle du lieu…",U.S.A.,1981,Carlotta Films,Long métrage,Anglais,17 000 000 USD,,Couleur,58 150,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=44420.html
