semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
1976-12-29,30415,Victoire à Entebbe,Victory at entebbe,18 septembre 2026,1h 59min,Drame,Marvin J. Chomsky,Ernest Kinoy,"Helmut Berger, Kirk Douglas, Anthony Hopkins","Un avion d'Air France est détourné par le PLO, à cause de ses nombreux passagers israeliens et juifs. Le traitement infligé aux otages est loin d'être de tout repos. L'Armée et le gouvernement israelien va mettre tout en ordre pour les sauvés.",U.S.A.,1976,-,Télefilm,Anglais,-,,Couleur,46774,,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=30415.html
1976-12-29,49850,Les Hors-la-loi,,29 décembre 1976,1h 35min,Drame,Tewfik Fares,Tewfik Fares,"Sid Ahmed Agoumi, Cheikh Nourredine, Mohamed Chouikh","En prison, peu après la fin de la Seconde Guerre mondiale, trois jeunes Algériens font connaissance. Une fois évadés, ils s'engagent dans la lutte pour l'indépendance...",Algérie,1969,Splendor Films,Long métrage,"Algérien, Français",-,,Couleur,44 817,,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=49850.html
1976-12-29,177371,La Bulle - L'Arrestation,,18 septembre 2026,1h 42min,"Drame, Romance",Raphael Rebibo,Raphael Rebibo,"Bernard Le Coq, Catherine Lachens, François Maistre","Un jeune écrivain vient d'achever un roman, dont le manuscrit est accepté par un éditeur. Au moment où il annonce la nouvelle à sa fiancée, trois individus viennent l'arrêter... Une émouvante histoire d'amour.",Suisse,1975,Splendor Films,Long métrage,Français,-,,Couleur,-,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=177371.html
