"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1999-10-13,20754,"Star Wars : Episode I - La Menace fantôme","Star Wars: Episode I - The Phantom Menace","13 octobre 1999","2h 13min","Aventure, Fantastique, Science Fiction","George Lucas","George Lucas","Liam Neeson, Ewan McGregor, Natalie Portman","Avant de devenir un célèbre chevalier Jedi, et bien avant de se révéler l’âme la plus noire de la galaxie, Anakin Skywalker est un jeune esclave sur la planète Tatooine. La Force est déjà puissante en lui et il est un remarquable pilote de Podracer. Le maître Jedi Qui-Gon Jinn le découvre et entrevoit alors son immense potentiel.

Pendant ce temps, l’armée de droïdes de l’insatiable Fédération du Commerce a envahi Naboo, une planète pacifique, dans le cadre d’un plan secret des Sith visant à accroître leur pouvoir. Pour défendre la reine de Naboo, Amidala, les chevaliers Jedi vont devoir affronter le redoutable Seigneur Sith, Dark Maul.","U.S.A.","1999","The Walt Disney Company France","Long métrage","Anglais","115 000 000 USD","601 594 entrées","Couleur","96533",3.1,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=20754.html"
1999-10-13,20496,"Extension du domaine de la lutte",NA,"13 octobre 1999","2h 00min","Comédie dramatique","Philippe Harel","Philippe Harel","José Garcia, Philippe Harel, Catherine Mouchet","Un technicien en informatique n'ayant plus aucune ambition doit effectuer une tournee en province avec un collegue de travail qui, malgre des echecs successifs, continue a chercher l'amour.","France","1999","Mars Distribution","Long métrage","Français","-",NA,"Couleur","95365",3.4,3.4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=20496.html"
1999-10-13,98876,"Eugénio","Ti voglio bene Eugenio","13 octobre 1999","0h 37min","Animation","Jean-Jacques Prunès","abonnement","Jacques Perrin","Ce clown célèbre pour son rire extraordinaire est la vedette du Cirque. Un soir, à la fin de son numéro, Eugenio ne revient pas malgré les cris des spectateurs. Son rire unique et irrésistible a disparu. Ses amis du cirque lui présentent leur plus beau numéro afin de l’aider à retrouver son rire. Mais ils n’y parviennent pas et réalisent qu’Eugenio a le coeur triste. Alors, le soir de Noël, ils lui font un merveilleux cadeau qui lui redonne la joie de vivre, et son rire magique éclate à nouveau.","France","1999","Gebeka Films","Film à sketches","Français","-",NA,"Couleur","98215",3.8,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=98876.html"
1999-10-13,18145,"Beyrouth fantôme","Ashbah Beyrouth","13 octobre 1999","1h 56min","Drame","Ghassan Salhab","Ghassan Salhab","Aouni Kawas, Darina El Joundi, Rabih Mroué","Après dix ans d'absence, Khalil retourne au Liban à la fin des années quatre-vingt. Son retour à Beyrouth sème l'émoi, le doute et la colère chez sa famille, ses amis et ses compagnons de lutte. Ce retour provoque également une réflexion sur la vie, la guerre, la mort, l'identité.","Liban, France","1998","Shellac","Long métrage","Arabe","-",NA,"Couleur","-",3.3,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=18145.html"
1999-10-13,20753,"Destinataire inconnu","The Love Letter","13 octobre 1999","1h 27min","Comédie dramatique, Romance","Peter Ho-Sun Chan",NA,"Kate Capshaw, Tom Everett Scott, Ellen DeGeneres","Une lettre dont le destinataire est inconnu va bouleverser les habitants de la paisible petite ville de Loblolly by the Sea. Cette lettre d'amour anonyme va susciter des vocations inattendues, lever des interdits, reveiller des passions endormies et changer bien des vies. Helen McFarquhar decouvre la premiere cette ardente declaration qu'elle prend d'emblee pour elle. Libraire a la vie rangee, trop rangee, la lecture de cette lettre la jette dans un trouble profond. Helen par a la recherche de la cle de cette enigme.","U.S.A.","1999","United International Pictures (UIP)","Long métrage","Anglais","-",NA,"Couleur","97866",2.4,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=20753.html"
1999-10-13,20758,"Vanaprastham, la dernière danse","Vaanaprastham","13 octobre 1999","2h 00min","Comédie dramatique","Shaji N. Karun",NA,"Mohanlal, Mattanoor Shankara Marar, Kukku Parameshwaram","Evocation de la vie difficile d'un artiste de kathakali en Inde du Sud dans les années trente. Après un mariage décevant, Kunhikuttan gagne une notoriété d'artiste. Il rencontre Subhadra, une aristocrate mariée et perdue dans un monde qu'elle s'est créé. Emportée par sa passion pour Arjuna, le heros du Mahabharata, elle ne tombe pas amoureuse de Kunhikuttan mais de l'Arjuna qu'il incarne sur scene.","Inde, France","1999","-","Long métrage","-","-",NA,"Couleur","-",2.5,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=20758.html"
