"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1999-12-01,21632,"Following, le suiveur","Following","1 décembre 1999","1h 10min","Thriller","Christopher Nolan","Christopher Nolan","Jeremy Theobald, Alex Haw, Lucy Russell","Un romancier en herbe est poursuivi par une obsession. Il file des inconnus jusqu'au jour où l'un d'eux, cambrioleur professionnel, l'entraîne dans ses combines.","Grande-Bretagne","1998","-","Long métrage","Anglais","6 000 USD",NA,"N&B","-",3.5,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=21632.html"
1999-12-01,21628,"Le Monde ne suffit pas","The World Is not Enough","1 décembre 1999","2h 08min","Action, Espionnage, Policier, Thriller","Michael Apted","Neal Purvis, Robert Wade","Pierce Brosnan, Sophie Marceau, Robert Carlyle","Le magnat du pétrole Sir Robert King est assassiné dans l’enceinte même du siège des services secrets britanniques. Après une course-poursuite acharnée sur la Tamise, l’auteure de l’attentat, une tueuse professionnelle travaillant pour un puissant anarchiste connu sous le nom de Renard, se donne elle-même la mort. Craignant que la fille et héritière de King, Elektra, puisse être la prochaine cible de Renard, James Bond se charge de la protéger. En Azerbaïdjan, où King avait commencé à exploiter un nouveau gisement pétrolier, 007 rencontre cette dernière et retrouve également son ancien ennemi du KGB devenu mafieux et homme d’affaires, Valentin Zukovsky. Mais entre trahisons et rachats, Bond va être amené à former les bonnes alliances et à savoir qui sont ses véritables ennemis…","Grande-Bretagne, U.S.A.","1999","United International Pictures (UIP)","Long métrage","Anglais","135 000 000 USD",NA,"Couleur","98 627",3,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=21628.html"
1999-12-01,8784,"Center Stage","Ruan Ling Yu","1 décembre 1999","2h 35min","Biopic, Drame, Romance","Stanley Kwan","Tai An-Ping Chiu, Peggy Chiao","Maggie Cheung, Chin Han (I), Tony Leung Ka Fai","Surnommée la « Greta Garbo chinoise », Ruan Lingyu fut une star du cinéma muet dans le Shanghai des années 1920-1930. Elle débuta sa carrière à l’âge de seize ans et tourna dans plus d’une vingtaine de films pour les grands studios de l’époque. Épinglée par la presse à scandale pour sa vie « dissolue », elle mettra fin à ses jours à seulement vingt-cinq ans. Bien des années plus tard, en 1991, une équipe de cinéma venue de Hong Kong et menée par le réalisateur Stanley Kwan est à Shanghai pour reconstituer la vie et la carrière éclair de Ruan Lingyu...","Hong-Kong","1991","Carlotta Films","Long métrage","Cantonais, Anglais, Mandarin","-",NA,"Couleur","98299",3.7,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=8784.html"
1999-12-01,21278,"Du bleu jusqu'en Amérique",NA,"1 décembre 1999","1h 40min","Drame","Sarah Lévy","Sarah Lévy","Albert Dupontel, Marion Cotillard, Samuel Jouy","Camille est condamné à passer de longs mois dans un centre de rééducation à la suite d'un grave accident. Il va découvrir un autre monde où l'amour, l'amitié, le pouvoir et la violence sont exacerbés.","France","1999","Noria Films","Long métrage","Français","-",NA,"Couleur","-",2.9,2.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=21278.html"
1999-12-01,20202,"Adieu, plancher des vaches !",NA,"1 décembre 1999","1h 57min","Comédie, Comédie dramatique, Drame","Otar Iosseliani","Otar Iosseliani","Nico Tarielashvili, Lily Lavina, Philippe Bas","Nicolas, fils aine d'une famille riche sous l'emprise d'une mère redoutable femme d'affaires, passe ses journées dans la grande ville voisine. Il y travaille, loin de son milieu d'origine, comme laveur de carreaux et plongeur dans un bistrot. Parfaitement lucide sur son cercle ferme de snobs cupides, il ne remarque pas du tout la bassesse de ses nouvelles relations: commerçants, petits-bourgeois, jeunes voyous. Comment cette ville va-t-elle accueillir ce fanfaron de Nicolas, nonchalant et crédule?","Suisse, Italie, France","1999","Les Films du Losange","Long métrage","Français","-",NA,"Couleur","-",3.8,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=20202.html"
1999-12-01,7291,"So Close to Paradise","Biandan, guniang","1 décembre 1999","1h 33min","Comédie dramatique","Wang Xiaoshuai, Sanping Han","Ming Pang, Wang Xiaoshuai","Wang Tong, Shi Yu, Guo Tao","La reforme économique des années 1980 a permis à un grand nombre de fermiers chinois de quitter leur province pour la ville. C'est ainsi que Gao Ping et son jeune frère Dong Zi quittent leur village natal pour Wuhan, ville de la Chine centrale, avec de grands rêves. Don Zi trouve une place de docker et Gao Ping vit de petites escroqueries. Fatty, membre de la puissante mafia locale, arnaque le jeune homme qui décide, avec l'aide de Don Zi, de kidnapper sa maitresse, Ruan Hong, danseuse dans un night-club. Les deux garçons tombent amoureux d'elle.","Chine","1999","Ad Vitam","Long métrage","Chinois","-",NA,"Couleur","98 557",3.8,3.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=7291.html"
