semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2016-04-06,224661,Demolition,,6 avril 2016,1h 41min,Drame,Jean-Marc Vallée,Bryan Sipe,"Jake Gyllenhaal, Naomi Watts, Chris Cooper","Banquier d'affaires ayant brillamment réussi, Davis a perdu le goût de vivre depuis que sa femme est décédée dans un tragique accident de voiture. Malgré son beau-père qui le pousse à se ressaisir, il sombre de plus en plus. Un jour, il envoie une lettre de réclamation à une société de distributeurs automatiques, puis lui adresse d'autres courriers où il livre des souvenirs personnels. Jusqu'au moment où sa correspondance attire l'attention de Karen, la responsable du service clients. Peu à peu, une relation se noue entre eux. Entre Karen et son fils de 15 ans, Davis se reconstruit, commençant d'abord par faire table rase de sa vie passée …",U.S.A.,2015,Twentieth Century Fox France,Long métrage,Anglais,-,102 917 entrées,Couleur,144145,2.7,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=224661.html
2016-04-06,45970,Ran,,20 septembre 1985,2h 42min,"Action, Drame",Akira Kurosawa,"Masato Ide, Hideo Oguni","Tatsuya Nakadai, Masayuki Yui, Mieko Harada","Dans le Japon du XVIe siècle, le seigneur Hidetora Ichimonji décide de se retirer et de partager son domaine entre ses trois fils, Taro, Jiro et Saburo. Mais la répartition de cet héritage va déchirer la famille.","Japon, France",1985,Les Acacias,Long métrage,Japonais,11 500 000 USD,,Couleur,58720,5,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=45970.html
2016-04-06,233500,L'Avenir,,6 avril 2016,1h 38min,Drame,Mia Hansen-Løve,Mia Hansen-Løve,"Isabelle Huppert, André Marcon, Roman Kolinka","Nathalie est professeur de philosophie dans un lycée parisien. Passionnée par son travail, elle aime par-dessus tout transmettre son goût de la pensée. Mariée, deux enfants, elle partage sa vie entre sa famille, ses anciens élèves et sa mère, très possessive. Un jour, son mari lui annonce qu’il part vivre avec une autre femme. Confrontée à une liberté nouvelle, elle va réinventer sa vie.","France, Allemagne",2016,Les Films du Losange,Long métrage,"Anglais, Français, Allemand",-,279 222 entrées,Couleur,139988,3.8,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=233500.html
2016-04-06,221713,Les Visiteurs - La Révolution,,6 avril 2016,1h 49min,"Comédie, Fantastique",Jean-Marie Poiré,"Jean-Marie Poiré, Christian Clavier","Jean Reno, Christian Clavier, Franck Dubosc","Bloqués dans les couloirs du temps, Godefroy de Montmirail et son fidèle serviteur Jacquouille sont projetés dans une époque de profonds bouleversements politiques et sociaux : la Révolution Française... Plus précisément, la Terreur, période de grands dangers pendant laquelle les descendants de Jacquouille La Fripouille, révolutionnaires convaincus, confisquent le château et tous les biens des descendants de Godefroy de Montmirail, aristocrates arrogants en fuite dont la vie ne tient qu'à un fil.","France, Belgique, République tchèque",2016,Gaumont Distribution,Long métrage,Français,-,2 188 217 entrées,Couleur,141919,2,1.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=221713.html
2016-04-06,231742,Le Fantôme De Canterville,,6 avril 2016,1h 36min,"Comédie, Fantastique",Canterville de Yann Samuell,"Yves Marmion, Yann Samuell","Audrey Fleurot, Michaël Youn, Michèle Laroque","Au fin fond d'une Bretagne de légendes, le fantôme d'Aliénor de Canterville est condamné à hanter le château de sa famille et à en faire fuir tout nouvel habitant. Elle remplit cette mission à merveille, aidée de Gwilherm, son fidèle serviteur. Mais lorsque les Otis, une famille fuyant la vie parisienne, achètent le château, Aliénor se désole car elle n'arrive pas à effrayer cette tribu du XXIe siècle... Pire : les enfants la ridiculisent et les parents l'ignorent ! Seule Virginia Otis, âgée de quinze ans, émue par le sort du fantôme de Canterville, cherchera à la délivrer de la malédiction qui pèse sur elle…","France, Belgique",2016,UGC Distribution,Long métrage,Français,-,352 729 entrées,Couleur,137955,2.8,1.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=231742.html
2016-04-06,207730,Gods Of Egypt,,6 avril 2016,2h 08min,"Action, Aventure, Fantastique",Alex Proyas,"Matt Sazama, Burk Sharpless","Nikolaj Coster-Waldau, Gerard Butler, Brenton Thwaites","Dans une époque ancestrale, durant laquelle les Dieux vivaient parmi les hommes, la paix règne en l’Egypte. Mais Seth, Dieu du désert, qui convoite le pouvoir, assassine le roi et condamne Horus à l’exil, plongeant le royaume d’Egypte dans le chaos. C’est l’intervention d’un jeune voleur, Bek, qui va sortir Horus de sa prison. Ensemble, ils se lancent dans une aventure épique qui va donner lieu à une guerre sans précédent. Jusqu’aux frontières de l’au-delà, monstres et armées des dieux se déchainent dans une lutte dévastatrice…",U.S.A.,2016,SND,Long métrage,Anglais,140 000 000 USD,428 236 entrées,Couleur,142892,1.8,2.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=207730.html
2016-04-06,223641,High-Rise,,6 avril 2016,1h 59min,"Drame, Science Fiction",Ben Wheatley,Amy Jump,"Tom Hiddleston, Jeremy Irons, Sienna Miller","1975. Le Dr Robert Laing, en quête d’anonymat, emménage près de Londres dans un nouvel appartement d’une tour à peine achevée; mais il va vite découvrir que ses voisins, obsédés par une étrange rivalité, n’ont pas l’intention de le laisser en paix…

Bientôt, il se prend à leur jeu.

Et alors qu’il se démène pour faire respecter sa position sociale; ses bonnes manières et sa santé mentale commencent à se détériorer en même temps que l’immeuble : les éclairages et l’ascenseur ne fonctionnent plus mais la fête continue! L’alcool est devenu la première monnaie d’échange et le sexe la panacée. Ce n’est que bien plus tard que le Dr Laing, assis sur son balcon en train de faire rôtir le chien de l’architecte du 40ème étage, se sent enfin chez lui.","Grande-Bretagne, Belgique",2015,The Jokers / Le Pacte,Long métrage,Anglais,-,29 886 entrées,Couleur,142107,2.6,2.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=223641.html
2016-04-06,3415,La Belle équipe,,17 septembre 1936,1h 35min,Comédie dramatique,Julien Duvivier,"Julien Duvivier, Charles Spaak","Jean Gabin, Charles Vanel, Raymond Aimos","Cinq ouvriers chômeurs parisiens, Jean, Charles, Raymond, Jacques et Mario, un étranger menacé d'expulsion, gagnent le gros lot de la loterie nationale. Jean a l'idée de placer cet argent en commun, dans l'achat d'un vieux lavoir de banlieue en ruine, qu'ils transformeront en riante guinguette dont ils seront les copropriétaires. Ils s'attellent à la besogne avec confiance. Mais la solidarité du groupe est fragile... Le destin s'acharne sur eux. Bientôt, il ne reste plus de la joyeuse équipe que Charles et Jean qui sont amoureux de la même femme, Gina….",France,1936,Pathé Films,Long métrage,Français,-,,N&B,-,,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=3415.html
2016-04-06,230634,A Bigger Splash,,6 avril 2016,2h 05min,"Drame, Policier",Luca Guadagnino,David Kajganich,"Tilda Swinton, Ralph Fiennes, Dakota Johnson","Lorsque la légende du rock Marianne Lane part sur l’île méditerranéenne de Pantelleria avec Paul, son compagnon, c’est pour se reposer. Mais quand Harry, un producteur de musique iconoclaste avec qui Marianne a eu autrefois une liaison, débarque avec sa fille Pénélope, la situation se complique. Le passé qui ressurgit et beaucoup de sentiments différents vont faire voler la quiétude des vacances en éclats. Personne n’échappera à ces vacances très rock’n’roll…","Italie, France",2015,StudioCanal,Long métrage,Anglais,-,28 686 entrées,Couleur,144227,2.3,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=230634.html
2016-04-06,1884,Soudain l'été dernier,Suddenly Last Summer,23 mars 1960,1h 54min,"Drame, Thriller",Joseph L. Mankiewicz,"Tennessee Williams, Gore Vidal","Elizabeth Taylor, Montgomery Clift, Katharine Hepburn","A la Nouvelle-Orléans de 1937, une riche veuve, Violet Venable, propose de financer l'hôpital public Lyons View si l'un de ses praticiens, le docteur Cukrowicz, accepte de pratiquer une lobotomie sur sa nièce Catherine Holly. Celle-ci est internée depuis le décès mystérieux, durant un périple estival, de Sebastian Venable, poète et fils de Mrs Venable. La version que raconte Catherine du décès de Sebastian paraît tellement loufoque, que Violet la croit folle à lier. Avec l'aide du Dr Cukrowicz, Catherine va peu à peu recouvrer la mémoire jusqu'à révéler une vérité que certains auraient préféré rester enfouie...",U.S.A.,1959,Park Circus France,Long métrage,Anglais,-,,N&B,22864,,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=1884.html
