"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2004-01-07,47395,"Lost in Translation",NA,"7 janvier 2004","1h 42min","Comédie dramatique, Romance","Sofia Coppola","Sofia Coppola","Bill Murray, Scarlett Johansson, Giovanni Ribisi","Bob Harris, acteur sur le déclin, se rend à Tokyo pour tourner un spot publicitaire. Il a conscience qu'il se trompe - il devrait être chez lui avec sa famille, jouer au théâtre ou encore chercher un rôle dans un film -, mais il a besoin d'argent. Du haut de son hôtel de luxe, il contemple la ville, mais ne voit rien. Il est ailleurs, détaché de tout, incapable de s'intégrer à la réalité qui l'entoure, incapable également de dormir à cause du décalage horaire. Dans ce même établissement, Charlotte, une jeune Américaine fraîchement diplômée, accompagne son mari, photographe de mode. Ce dernier semble s'intéresser davantage à son travail qu'à sa femme. Se sentant délaissée, Charlotte cherche un peu d'attention. Elle va en trouver auprès de Bob...","U.S.A., Japon","2003","Pathé Films","Long métrage","Anglais, Français, Allemand, Japonais","4 000 000 USD","1 002 207 entrées","Couleur","109407",4.5,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=47395.html"
2004-01-07,50709,"Gothika",NA,"7 janvier 2004","1h 40min","Fantastique, Thriller","Mathieu Kassovitz","Sebastian Gutierrez","Halle Berry, Robert Downey Jr., Charles S. Dutton","Le docteur Miranda Grey, psychologue pour criminels de renom, travaille au sein du pénitencier psychiatrique pour femmes que dirige son mari. Elle sait mieux que personne ce qui est rationnel... Jusqu'au jour où elle se réveille dans l'une des cellules de l'institution, accusée du meurtre de son mari. Un crime dont elle n'a aucun souvenir. Dans sa quête pour retrouver la mémoire, elle devra faire face à un esprit vengeur...","U.S.A.","2003","Columbia TriStar Films","Long métrage","Anglais","40 000 000 USD","1 245 986 entrées","Couleur","109386",2.7,2.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=50709.html"
2004-01-07,48230,"L'esquive",NA,"7 janvier 2004","1h 57min","Comédie dramatique","Abdellatif Kechiche","Ghalia Lacroix, Abdellatif Kechiche","Osman Elkharraz, Sara Forestier, Sabrina Ouazani","Abdelkrim, dit Krimo, quinze ans, vit dans une cité HLM de la banlieue parisienne. Il partage avec sa mère, employée dans un supermarché, et son père, en prison, un grand rêve fragile : partir sur un voilier au bout du monde.

En attendant, il traîne son ennui dans un quotidien banal de cité, en compagnie de son meilleur ami, Eric, et de leur bande de copains. C'est le printemps et Krimo tombe sous le charme de sa copine de classe Lydia, une pipelette vive et malicieuse...","France","2003","Rezo Films","Long métrage","Français","1 300 000 EUR","80 013 entrées","Couleur","106 265",4.7,2.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=48230.html"
2004-01-07,28691,"Nathalie...",NA,"7 janvier 2004","1h 45min","Drame, Romance","Anne Fontaine","Anne Fontaine, Jacques Fieschi","Fanny Ardant, Emmanuelle Béart, Gérard Depardieu","Deux femmes. L'une est mariée, bourgeoise, active. L'autre est entraîneuse dans un bar de nuit.

Catherine paie Marlène pour coucher avec son mari Bernard qui la trompe. Elle veut qu'elle lui dise tout, tous les détails...

Catherine a fait de Marlène Nathalie, celle qui ment. C'est leur secret, leur histoire.","France, Espagne","2003","Mars Distribution","Long métrage","Français","7 350 000 EUR","365 523 entrées","Couleur","99138",3.2,2.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=28691.html"
2004-01-07,42951,"Deux en un","Stuck on You","7 janvier 2004","1h 58min","Comédie","Bobby Farrelly, Peter Farrelly","Bobby Farrelly, Peter Farrelly","Matt Damon, Greg Kinnear, Meryl Streep","Bob et Walt Tenor sont deux frères siamois. Loin d'être un malheur, cette situation leur vaut un succès inespéré dans leur petite bourgade. Mais Walt rêve de faire du cinéma. Malgré sa réticence, Bob accepte.

Arrivé à Hollywood, Walt décroche son premier rôle mais dans un film porno... La diva Cher les engage dans sa nouvelle série. Alors qu'elle espérait torpiller le show pour se libérer de son contrat, l'émission fait un tabac...

Après trois ans de chat sur internet, Bob va rencontrer sa May qui ignore tout de la situation. Les deux frères sont confrontés à une décision qui changera leur vie à jamais...","U.S.A.","2003","UFD","Long métrage","Anglais","55 000 000 USD","87 082 entrées","Couleur","109400",4.1,2.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=42951.html"
2004-01-07,52697,"Kiss of life",NA,"7 janvier 2004","1h 26min","Drame","Emily Young","Emily Young","Ingeborga Dapkunaite, Peter Mullan, David Warner","Helen vit à Londres avec ses enfants et son père. John, son mari, travaille en Europe de l'Est pour une organisation humanitaire. Cela fait de longs mois qu'il est parti et Helen attend désespérément son retour. Un matin, en accompagnant ses enfants à l'école, elle décède dans un accident de voiture et devient prisonnière d'un espace indéfini entre la vie et la mort.

A des kilomètres de là, dans une Europe de l'Est déchirée par la guerre, John ignore la mort de son épouse. Helen, elle-même, ne sait pas encore qu'elle est décédée. Commence alors une odyssée de trois jours impliquant tous les membres de la famille : les enfants et leur grand-père confrontés au chagrin ; John traversant un pays dévasté, tandis qu'il tente de retrouver les siens ; et Helen, témoin impuissant de sa propre vie, qui observe le chagrin des siens et se laisse hanter par son passé.","France, Grande-Bretagne","2003","Haut et Court","Long métrage","Anglais","-",NA,"Couleur","106953",3,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=52697.html"
