semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2023-07-26,110204,Persepolis,,27 juin 2007,1h 35min,"Animation, Biopic","Marjane Satrapi, Vincent Paronnaud","Marjane Satrapi, Vincent Paronnaud","Chiara Mastroianni, Catherine Deneuve, Simon Abkarian","Téhéran 1978 : Marjane, huit ans, songe à l'avenir et se rêve en prophète sauvant le monde. Choyée par des parents modernes et cultivés, particulièrement liée à sa grand-mère, elle suit avec exaltation les évènements qui vont mener à la révolution et provoquer la chute du régime du Chah.

Avec l'instauration de la République islamique débute le temps des ""commissaires de la révolution"" qui contrôlent tenues et comportements. Marjane qui doit porter le voile, se rêve désormais en révolutionnaire.

Bientôt, la guerre contre l'Irak entraîne bombardements, privations, et disparitions de proches. La répression intérieure devient chaque jour plus sévère.

Dans un contexte de plus en plus pénible, sa langue bien pendue et ses positions rebelles deviennent problématiques. Ses parents décident alors de l'envoyer en Autriche pour la protéger.

A Vienne, Marjane vit à quatorze ans sa deuxième révolution : l'adolescence, la liberté, les vertiges de l'amour mais aussi l'exil, la solitude et la différence.","France, U.S.A.",2007,StudioCanal,Long métrage,"Anglais, Français, Allemand, Persan",8 000 000 EUR,1 118 603 entrées,N&B,112904,4.6,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=110204.html
2023-07-26,311203,La Main,Talk To Me,26 juillet 2023,1h 34min,"Epouvante-horreur, Thriller","Danny Philippou, Michael Philippou","Danny Philippou, Bill Hinzman","Ari McCarthy, Hamish Phillips, Sunny Johnson","Lorsqu'un groupe d'amis découvre comment conjurer les esprits à l'aide d'une mystérieuse main hantée, ils deviennent accros à ce nouveau frisson, et l’expérience fait le tour des réseaux sociaux. Une seule règle à respecter : ils ne doivent pas tenir la main plus de 90 secondes. Lorsque l’un d’entre eux l’enfreint, ils vont être rattrapés par les esprits, les obligeant à choisir : à qui se fier, aux morts ou aux vivants ?",Australie,2023,SND,Long métrage,Anglais,-,516 013 entrées,Couleur,160042,3.1,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=311203.html
2023-07-26,302134,Sur la branche,,26 juillet 2023,1h 31min,Comédie,Marie Garel-Weiss,"Marie Garel-Weiss, Salvatore Lista","Daphne Patakia, Benoît Poelvoorde, Agnès Jaoui","Mimi a presque trente ans et rêve toujours à ce qu'elle pourrait faire quand elle sera grande. Alors qu'elle se décide à chercher du travail, elle fait la connaissance de Paul, un avocat sur la touche. Ensemble ils vont tenter de défendre Christophe, un petit arnaqueur qui clame son innocence. Si Paul voit dans cette affaire un moyen de se refaire, Mimi y voit, elle, une mission, un chemin vers la justice et la vérité.","France, Belgique",2023,Pyramide Distribution,Long métrage,Français,-,79 801 entrées,Couleur,152897,3.3,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=302134.html
2023-07-26,183693,Le Manoir hanté,Haunted Mansion,26 juillet 2023,2h 02min,"Aventure, Comédie, Famille, Fantastique",Justin Simien,Katie Dippold,"Lakeith Stanfield, Tiffany Haddish, Owen Wilson","Inspiré de l’attraction mythique des parcs Disneyland, LE MANOIR HANTÉ raconte l’histoire d’une mère et son fils qui engagent une équipe de pseudo-experts pour les aider à chasser les différents spectres et fantômes qui hantent leur maison.",U.S.A.,2023,The Walt Disney Company France,Long métrage,Anglais,-,750 659 entrées,Couleur,159849,2.6,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=183693.html
2023-07-26,1323,Portier de nuit,Il Portiere di notte,3 avril 1974,1h 59min,Drame,Liliana Cavani,"Liliana Cavani, Barbara Alberti","Dirk Bogarde, Charlotte Rampling, Philippe Leroy","Vienne, 1957. Max travaille comme portier de nuit dans un grand hôtel. Un jour débarque Lucia, en voyage avec son mari chef d’orchestre. Lorsque leurs regards se croisent, les souvenirs remontent immédiatement à la surface : ancien officier S.S., Max a entretenu avec Lucia une relation sadomasochiste alors qu’elle était prisonnière dans un camp de concentration. Entre l’ancien bourreau et sa victime, la passion va bientôt ressurgir…","U.S.A., Italie",1974,Carlotta Films,Long métrage,"Anglais, Italien, Latin",-,,Couleur,42613,2.5,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1323.html
2023-07-26,45,"Affreux, sales et méchants","Brutti, Sporchi e Cattivi",15 décembre 1976,1h 55min,Comédie dramatique,Ettore Scola,"Ruggero Maccari, Ettore Scola","Nino Manfredi, Francesco Anniballi, Maria Bosco","Au cœur d’un bidonville romain, Giacinto règne en tyran sur toute sa famille. Lui et sa femme, leurs dix enfants, les conjoints, les maîtresses et la grand-mère sont logés sous le même toit, dans un taudis pouilleux. Tous acceptent l’autorité et l’infamie du patriarche, car celui-ci possède un magot d’un million de lires que chacun espère lui voler. Tandis que Giacinto passe ses journées à boire en attendant la recette des larcins quotidiennement perpétrés par les siens, on prépare en cachette son assassinat…",Italie,1976,Carlotta Films,Long métrage,Italien,-,,Couleur,46241,5,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=45.html
2023-07-26,306923,Sabotage,How To Blow Up A Pipeline,26 juillet 2023,1h 44min,"Drame, Thriller",Daniel Goldhaber,"Daniel Goldhaber, Ariela Barer","Ariela Barer, Kristine Frøseth, Lukas Gage","Face à l’urgence écologique, un groupe de jeunes activistes se fixe une mission périlleuse : saboter un pipeline qui achemine du pétrole dans tous les Etats-Unis. Car parfois, le seul moyen d’être entendu est de passer à l’action.",U.S.A.,2023,Tandem,Long métrage,Anglais,-,24 271 entrées,Couleur,159610,3.5,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=306923.html
2023-07-26,306133,The First Slam Dunk,,26 juillet 2023,2h 04min,"Animation, Comédie, Drame",Takehiko Inoue,Takehiko Inoue,"Shugo Nakamura, Subaru Kimura, Kenta Miyake","Le meneur de jeu de Shohoku, Ryota Miyagi, joue toujours intelligemment et à la vitesse de l'éclair, contournant ses adversaires tout en gardant son sang-froid. Né et élevé à Okinawa, Ryota avait un frère aîné de trois ans de plus. Sur les traces de ce dernier, joueur local célèbre dès son plus jeune âge, Ryota est également devenu accro au basket. En deuxième année de lycée, Ryota fait partie de l'équipe de basket-ball du lycée Shohoku, aux côtés de Sakuragi, Rukawa, Akagi et Mitsui, et participe au championnat national inter-lycées. À présent, ils sont sur le point de se mesurer aux champions en titre, les joueurs du lycée Sannoh Kogyo.",Japon,2022,Wild Bunch Distribution,Long métrage,Japonais,-,54 194 entrées,Couleur,159886,3.9,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=306133.html
2023-07-26,308779,Les Déguns 2,,26 juillet 2023,1h 28min,Comédie,"Cyrille Droux, Claude Zidi Jr.","Cyrille Droux, Claude Zidi Jr.","Karim Jebli, Nordine Salhi, Sofiane Zermani","Après leurs déboires et leurs aventures du premier opus, Nordine Salhi et Karim Jeb alias Karim et Nono reviennent plus en forme et plus déterminés que jamais et continuent leur quête de succès par tous les moyens. Après un premier échec cuisant dans l’univers de la télé-réalité, les deux acolytes décident de se lancer dans le rap. Dans sa recherche du succès musical, Karim, alias Nécrophile, aidé de son manager Nono, ne cesse d’accumuler des tentatives ratées. Une opportunité vers la célébrité est saisie, mais tout ne se passe pas comme prévu, et les mésaventures vont s'enchaîner pour les deux protagonistes.",France,2023,Apollo Films,Long métrage,Français,-,506 470 entrées,Couleur,155567,,1.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=308779.html
2023-07-26,6300,"Hier, aujourd'hui et demain","Ieri, Oggi, Domani",15 mai 1964,1h 58min,"Comédie, Romance",Sica,"Eduardo De Filippo, Cesare Zavattini","Sophia Loren, Marcello Mastroianni, Aldo Giuffre","Trois villes, trois récits sur le couple, la sexualité et le pouvoir.

A Naples, Adelina vend des cigarettes au marché noir car son mari est au chômage. Mais elle se fait arrêter par la police... À Milan, Anna, une riche femme, s'ennuie et parle de s'enfuir avec son amant, un écrivain. Jusqu'au jour où il a un accident avec la voiture de celle-ci... A Rome, Mara, une call-girl, fait tourner la tête d'un jeune séminariste...","Italie, France",1963,Carlotta Films,Long métrage,Italien,-,,Couleur,28146,5,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=6300.html
2023-07-26,291283,Juniors,,26 juillet 2023,1h 35min,Comédie,Hugo P. Thomas,"Hugo P. Thomas, Jules Lugan","Vanessa Paradis, Ewan Bourdelles, Noah Zandouche","Jordan, 14 ans, s’ennuie dans le petit village de Mornas. Sa mère infirmière étant souvent absente, il s’occupe avec son meilleur ami Patrick en jouant à leur console affectueusement nommée Jessica. Mais lorsque Jessica rend l’âme, Jordan décide de simuler une maladie et de monter une cagnotte en ligne pour s’en racheter une. Quand ce mensonge se propage dans la cour du collège, les regards se tournent enfin vers eux. Un début de popularité qui mettra leur amitié indéfectible à rude épreuve...",France,2023,The Jokers Films,Long métrage,Français,-,9 619 entrées,Couleur,153038,3.1,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=291283.html
2023-07-26,49554,Seule contre la mafia,La Moglie più bella,27 juin 1972,1h 50min,Drame,Damiano Damiani,"Damiano Damiani, Enrico Ribulsi","Ornella Muti, Alessio Orano, Tano Cimarosa","Sicile, années 1960. Don Antonino, parrain de la mafia locale, est sur le point d’être arrêté. Avant de se rendre, il adoube un jeune homme de vingt-deux ans à l’avenir très prometteur, Vito Iuvara. Seule condition : que celui-ci épouse une jeune fille vertueuse issue d’une famille pauvre. Vito jette son dévolu sur Francesca, âgée de quinze ans. D’abord flattée d’avoir été choisie, la jeune fiancée se sent vite piégée et refuse le mariage. Humilié par ce rejet, Vito décide de se venger...",Italie,1970,Carlotta Films,Long métrage,Italien,-,,Couleur,37639,,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=49554.html
2023-07-26,284499,Un hiver en été,,26 juillet 2023,1h 50min,Drame,Laetitia Masson,Laetitia Masson,"Benjamin Biolay, Élodie Bouchez, Judith Chemla","Dix personnages surpris par un froid glacial en plein été. Des rencontres, de la solitude, de l’espoir, de la peur, de l’amour, une chanson, la lutte des classes, et des rêves. Dix fragments d’humanité qui forment un tableau impressionniste de la France, aujourd’hui. Un hommage aux Nymphéas.",France,2022,Jour2fête,Long métrage,Français,-,2 469 entrées,Couleur,148117,1.9,1.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=284499.html
2023-07-26,2005,Nazarín,,30 novembre 1960,1h 35min,Drame,Luis Buñuel,"Luis Buñuel, Julio Alejandro","Francisco Rabal, Marga Lopez, Rita Macedo","Parce que sa générosité et sa charité n'ont pas de limites, le père Nazarin vit dans une misère profonde. Désavoué par l'Église pour avoir protégé une prostituée soupçonnée de meurtre, Nazarin doit fuir, condamné à une longue errance. Andara, la prostituée, et Beatriz, jeune femme délaissée par son amant, se joignent par une pitié hystérique au sort du prêtre persécuté. Nazarin poursuit son chemin de croix, mais toutes ses tentatives pour prêcher l'amour divin se retournent contre lui.",Mexique,1958,Splendor Films,Long métrage,Espagnol,-,,N&B,23551,4.6,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=2005.html
2023-07-26,306744,Les Damnés ne pleurent pas,,26 juillet 2023,1h 51min,Drame,Fyzal Boulifa,Fyzal Boulifa,"Aïcha Tebbae, Abdellah El Hajjouji, Antoine Reinartz","Fatima-Zahra traîne son fils de 17 ans, Selim, de ville en ville, fuyant les scandales qui éclatent sur sa route. Quand Selim découvre la vérité sur leur passé, Fatima-Zahra lui promet un nouveau départ. Ils arrivent alors à Tanger, où de nouvelles rencontres leur donnent l’espoir d’atteindre la légitimité qu’ils recherchent tant. Mais ces aspirations menacent la relation fusionnelle qui les lie depuis toujours.","France, Belgique, Maroc",2022,New Story,Long métrage,"Arabe, Français",-,6 442 entrées,Couleur,157654,3.1,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=306744.html
2023-07-26,307826,Rendez-vous à Tokyo,Just Remembering,26 juillet 2023,1h 55min,"Drame, Romance",Daigo Matsui,Daigo Matsui,"Sosuke Ikematsu, Sairi Itô, Yuumi Kawai","Les 26 juillet se suivent et ne se ressemblent pas… C’est le jour où ils se sont rencontrés, celui où ils se sont aimés, où ils se sont séparés. Sept rendez-vous entre un danseur professionnel et une conductrice de taxi dans le Tokyo d’aujourd’hui.",Japon,2021,Art House,Long métrage,Japonais,-,64 162 entrées,Couleur,159982,3.3,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=307826.html
2023-07-26,59992,L'Affaire Mori,Il Prefetto di ferro,26 avril 1978,1h 50min,"Policier, Thriller",Pasquale Squitieri,"Arrigo Petacco, Ugo Pirro","Giuliano Gemma, Claudia Cardinale, Stefano Satta Flores","Italie, 1925. Le préfet Cesare Mori est en route vers la Sicile pour y prendre ses fonctions. Cet homme d’État réputé incorruptible vient d’être nommé par le parti fasciste au pouvoir afin de s’attaquer à la mafia et au banditisme. Dans cet île frappée par la pauvreté, les habitants sont pris en tenaille par les criminels, qui font régner la terreur, et par l’État, totalement inactif face à la situation. Le préfet Mori est déterminé à changer la donne et va ordonner une série de rafles dans les villages…",Italie,1977,Carlotta Films,Long métrage,Italien,-,,Couleur,49087,,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=59992.html
2023-07-26,57357,Miracle à l'Italienne,Per grazia ricevuta,21 mai 1971,2h 00min,Comédie,Nino Manfredi,,,"Un homme est conduit en urgence à l’hôpital après avoir chuté du haut d’une falaise. Alors qu’il se trouve entre la vie et la mort, Benedetto Parisi se rappelle les moments clés de son existence, marquée par une éducation religieuse très stricte. Considéré comme un miraculé lorsque, le jour de sa première communion, il sortit indemne d’une chute spectaculaire, Benedetto serat-il à nouveau épargné par Dieu ?",Italie,1971,Carlotta Films,Long métrage,Italien,-,,Couleur,39141,,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=57357.html
2023-07-26,4381,La Légende du saint buveur,La leggenda del santo bevitore,5 avril 1989,2h 05min,Drame,Ermanno Olmi,"Tullio Kezich, Ermanno Olmi","Rutger Hauer, Anthony Quayle, Sandrine Dumas","Ancien mineur originaire de Silésie, Andreas Kartak vit désormais sous les ponts de Paris, une bouteille comme seul compagnon. Un jour, un riche inconnu lui remet une importante somme d’argent. Andreas s’engage à rembourser son bienfaiteur en rapportant l’argent à l’église Sainte-Marie des Batignolles. Désireux de tenir sa promesse, le marginal est toutefois tiraillé par la tentation de s’acheter à boire…","Italie, France",1988,Carlotta Films,Long métrage,"Anglais, Français, Italien",-,,Couleur,67870,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=4381.html
2023-07-26,306598,Blanquita,,26 juillet 2023,1h 34min,Drame,Fernando Guzzoni,Fernando Guzzoni,"Laura Lopez Campbell, Alejandro Goic, Amparo Noguera","Blanca (18 ans) vit à Santiago dans un foyer pour mineurs dirigé par le prêtre Manuel Cura (50 ans). Témoin clé d’une affaire de scandale sexuel impliquant des politiciens chiliens, Blanca se retrouve poussée par Manuel au centre de l’attention médiatique. Elle devient une héroïne féministe pour certains, mais plus l’enquête avance, moins le rôle de Blanca semble clair…","Chili, Mexique, France, Pologne, Luxembourg",2022,ASC Distribution,Long métrage,Espagnol,-,416 entrées,Couleur,156106,3,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=306598.html
2023-07-26,316692,Rocky Aur Rani Kii Prem Kahaani,,28 juillet 2023,2h 50min,"Comédie, Romance",Karan Johar,"Shashank Khaitan, Ishita Moitra","Ranveer Singh, Alia Bhatt, Dharmendra","Par le même réalisateur que Kuch Kuch Hota Hai et Kabhi Khushi Kabhie Gham ( la famille indienne ), Rocky Aur Rani Kii Prem Kahaani vous entraîne dans un voyage plein d’émotions. Une histoire d'amour à l’ancienne dans une ère nouvelle, relevant des questions sur l'amour, la famille et la rupture avec des traditions familiales de longue date au nom de l'amour.",Inde,2023,Friday Entertainment,Long métrage,Hindi,-,,Couleur,160205,,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=316692.html
2023-07-26,318352,LGM : Let’s get Married,,28 juillet 2023,2h 30min,"Comédie, Romance",Ramesh Tamilmani,,"Harish Kalyan, Ivana, Yogi Babu",Le film tourne autour d'un homme qui se débat entre sa petite amie qui lui demande de l'épouser et sa mère qui n'aime pas sa petite amie...,Inde,2023,Friday Entertainment,Long métrage,Tamoul,-,,Couleur,160252,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=318352.html
2023-07-26,299331,La Vache qui chantait le futur,La vaca que cantó una canción sobre el futuro,26 juillet 2023,1h 38min,Drame,Francisca Alegría,"Francisca Alegría, Manuela Infante","Léonor Varela, Mia Maestro, Alfredo Castro","Cecilia, chirurgienne à la ville, doit revenir précipitamment avec ses deux enfants à la ferme familiale où vivent son père et son frère dans le sud du Chili. Au même moment, des dizaines de vaches sont frappées d’un mal mortel et la mère de Cecilia, disparue depuis plusieurs années, réapparaît.","Chili, France, U.S.A., Allemagne",2022,Nour Films,Long métrage,Espagnol,-,1 044 entrées,Couleur,154544,2.9,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=299331.html
