"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2010-06-02,142555,"Sex and the City 2",NA,"2 juin 2010","2h 26min","Comédie","Michael Patrick King","Michael Patrick King","Sarah Jessica Parker, Kim Cattrall, Kristin Davis","Que passe-t-il après avoir dit « Oui » ? La vie est telle que ces dames l’ont toujours rêvée, mais ce ne serait pas “Sex and the City” si elle ne leur réservait pas quelques surprises… cette fois, sous la forme d’une aventure glamour, baignée de soleil, les entraînant loin de New York dans l’un des endroits les plus luxuriants, exotiques et vivifiants de la planète ; là où les fêtes ne s'arrêtent jamais et où le mystère est omniprésent. C’est une escapade qui arrive à point nommé pour les quatre amies, qui se retrouvent dans – et s’insurgent contre – leur rôles traditionnels d’épouse et de mère.","U.S.A.","2010","Warner Bros. France","Long métrage","Arabe, Anglais","100 000 000 USD","1 315 049 entrées","Couleur","126380",2.5,2.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=142555.html"
2010-06-02,170300,"La Tête en friche",NA,"2 juin 2010","1h 22min","Comédie, Drame","Jean Becker","Jean-Loup Dabadie, Jean Becker","Gérard Depardieu, Gisèle Casadesus, Maurane","Germain, 45 ans, quasi analphabète, vit sa petite vie tranquille entre ses potes de bistrot, sa copine Annette, le parc où il va compter les pigeons et le jardin potager qu'il a planté derrière sa caravane, elle-même installée au fond du jardin de sa mère, avec laquelle les rapports sont très conflictuels. Il n'a pas connu son père, sa mère s'est retrouvée enceinte de lui sans l'avoir voulu, et le lui a bien fait sentir depuis qu'il est petit, à l'école primaire son instituteur l'a vite pris en grippe, il n'a jamais été cultivé, il est resté "" en friche "".

Un jour, au parc, il fait la connaissance de Margueritte, une très vieille dame, ancienne chercheuse en agronomie, qui a voyagé dans le monde entier et qui a passé sa vie à lire.

Elle vit seule, à présent, en maison de retraite. Et elle aussi, elle compte les pigeons.

Entre Germain et Margueritte va naître une vraie tendresse, une histoire d'amour "" petit-filial "", et un véritable échange...","France","2010","StudioCanal","Long métrage","Flamand, Français","-","1 244 709 entrées","Couleur","123205",3.1,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=170300.html"
2010-06-02,144605,"Rabia",NA,"2 juin 2010","1h 35min","Thriller","Sebastián Cordero","Sebastián Cordero","Gustavo Sánchez Parra, Martina García, Icíar Bollaín","Madrid. Rosa et José-Maria, immigrés sud-américains viennent de se rencontrer lorsque ce dernier provoque la mort de son chef de chantier. Il doit alors se cacher et trouve refuge à l'insu de tous dans la grande maison bourgeoise où Rosa est employée comme domestique. Rosa malgré elle va devenir le centre de tous les fantasmes.","Espagne, Mexique, Colombie","2009","Haut et Court","Long métrage","Espagnol","-","26 327 entrées","Couleur","125 781",3.4,2.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=144605.html"
2010-06-02,138965,"Sweet Valentine",NA,"2 juin 2010","1h 25min","Comédie dramatique","Emma Luchini","Emma Luchini, Vanessa David","Vincent Elbaz, Vanessa David, Louise Bourgoin","Ivan, bandit sans envergure, croise le chemin de Sonia, jeune provinciale fraîchement arrivée à Paris. Dès le premier regard, il la déteste. Dès le premier regard, elle s'entiche follement de lui. C'est décidé : cet homme cruel sera son prince charmant, son héros, l'homme de sa vie. Et si Ivan a la haine tenace, Sonia a la patience d'un ange. Ou celle d'un démon.","France","2009","Mars Films","Long métrage","Français","-","8 263 entrées","Couleur","121 480",2.3,1.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=138965.html"
2010-06-02,173227,"Maniquerville",NA,"2 juin 2010","1h 23min","Documentaire","Pierre Creton","Pierre Creton, Cyril Neyrat","Françoise Lebrun, Clara Le Picard","La comédienne Françoise Lebrun vient régulièrement au centre de gérontologie de Maniquerville faire des lectures de Proust aux pensionnaires. C'est l'occasion pour eux d'évoquer ensemble la mémoire d'un temps perdu. Un lien fort s'instaure entre Françoise et Clara, animatrice au centre.","France","2009","Les Bookmakers / Capricci Films","Long métrage","Français","-","979 entrées","N&B","118 586",3.7,2.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=173227.html"
2010-06-02,138594,"Les Colts de l'or noir",NA,"2 juin 2010","1h 45min","Drame, Western","Pierre Romanello","Pierre Romanello, Fredéric Ferrer","Fredéric Ferrer, Romain Bertrand, Lionel Tavera","Fin du 19ème siècle, l’or noir est sur le point de transformer la ville de Fort River en un nouvel Eldorado.

En tant que premier riche homme d’affaires arrivé sur les lieux, M. Trevis, aussi vénal que peu scrupuleux, entend devenir le seul exploitant des alentours. Pour arriver à ses fins, il charge John, son « bras armé », de convaincre les fermiers de céder leurs terres dont leur sous-sol renferme d’énormes gisements.

Mike, alors simple fermier lorsque sa femme est tuée, s’est depuis reconverti en chasseur de prime. Sa poursuite l’amène à intégrer le groupe de cow-boys constitué par John.

Jack Mc Candle, légitime héritier de la ferme de son père qui fut le premier immigrant de la famille à avoir foulé le sol américain, reste attaché à ses terres. Ainsi , il refuse les offres récurrentes que lui propose M. Trevis.

Mais M. Trevis, aveuglé par sa soif de richesse, est prêt à tout pour obtenir ce qu’il veut.","France","2008","Les Films à Fleur de Peau","Long métrage","Français","-","97 entrées","Couleur","-",1.7,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=138594.html"
