"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1992-02-26,880,"Trust Me","Trust","26 février 1992","1h 45min","Comédie dramatique","Hal Hartley","Hal Hartley","Adrienne Shelly, Martin Donovan, Edie Falco","A travers les amours difficiles d'une adolescente rebelle et chippie et d'un électronicien violent et cynique, Trust Me se veut une comédie grinçante sur l'Amérique profonde des classes moyennes.","Grande-Bretagne, U.S.A.","1990","Les Films du Camelia","Long métrage","Anglais","700 000 USD",NA,"Couleur","79347",NA,4.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=880.html"
1992-02-26,794,"Ville à vendre",NA,"26 février 1992","1h 40min","Comédie, Policier","Jean-Pierre Mocky","Michèle Delmotte, Jean-Pierre Mocky","Michel Serrault, Richard Bohringer, Eddy Mitchell","Après avoir vendu sa société d'informatique, Orphée, intellectuel écologiste parisien, part a l'aventure. Il arrive dans une petite ville, Moussin. Il va assister, fasciné, à une série de meurtres spectaculaires parmi les notables de la ville.","France","1991","-","Long métrage","Français","-",NA,"Couleur","-",NA,2.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=794.html"
1992-02-26,32611,"Grand Canyon",NA,"26 février 1992","2h 15min","Comédie dramatique","Lawrence Kasdan","Meg Kasdan, Lawrence Kasdan","Randle Mell, Clifton Collins Jr., Danny Glover","Dans le Los Angeles actuel, le hasard règne en maître et décide de tout : romances, violences, amitiés, douleurs, morts, frustrations ou miracles. ""Grand Canyon"" entremêle les destins de six personnages qui tentent de donner un sens à leur existence dans le chaos grandissant de la ville...","U.S.A.","1991","-","Long métrage","Anglais","-",NA,"Couleur","-",NA,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=32611.html"
1992-02-26,777,"Au sud du sud",NA,"26 février 1992",NA,"Documentaire","Laurent Chevallier",NA,"Jean-Louis Etienne, Will Steger, Victor Boyarsky","Du 27 juillet 1989 au 3 mars 1990, six hommes de nationalite differentes avec leurs chiens et des traineaux traversent pendant six mille cinq cents kilometres le continent antarctique. Au sud du sud retrace cette epopee.","France","1991","-","Long métrage","-","-",NA,"Couleur","-",NA,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=777.html"
1992-02-26,795,"L'Affût",NA,"26 février 1992","1h 43min","Comédie dramatique","Yannick Bellon","Yannick Bellon, Michel Fessler","Tchéky Karyo, Dominique Blanc, Patrick Bouchitey","Une histoire d'amour difficile entre un instituteur ornithologue et une jeune femme de retour dans son pays sur fond de lutte entre chasseurs et defenseurs de la nature.","France","1991","-","Long métrage","Français","-",NA,"Couleur","-",NA,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=795.html"
