semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url,annee
1989-10-25,31357,La révolution française,,1792-08-10,5h 24min,"Drame, Historique","Robert Enrico, Richard T. Heffron",David Ambrose,"Klaus Maria Brandauer, François Cluzet, Jean-François Balmer","L'histoire de la Révolution française en deux parties : la première partie regroupe les évènements de 1789 au 10 août 1792, quand le roi Louis XVI est jeté en prison, tandis que la seconde partie nous emmène jusqu'à la fin de la Terreur en 1794, avec les exécutions de Louis XVI, Marie-Antoinette, Danton et Desmoulins...","Grande-Bretagne, Espagne, France, Italie, Allemagne, Canada",1989,-,Long métrage,Anglais,-,,Couleur,-,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=31357.html,1792
2023-11-01,131136,Ceux de chez nous,"",1915-11-22,0h 21min,Documentaire,Sacha Guitry,"","Sacha Guitry, Sarah Bernhardt, Anatole France","En réponse aux attaques des intellectuels allemands, Sacha Guitry filme les grandes figures culturelles françaises et répète leurs propos. Rodin, Rostand, Saint-Saëns, Degas, Sarah Bernhardt, maître Henri Robert ou Anatole France figurent parmis les quelques grands noms qui passent devant la caméra.",France,1915,Les Acacias,Long métrage,Silencieux,-,"",N&B,108245,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=131136.html,1915
2019-07-10,2255,Le Kid,The Kid,1921-02-06,0h 52min,Comédie,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance","Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...",U.S.A.,1921,MK2 Cinémas,Long métrage,Silencieux,250 000 USD,"",N&B,19209,4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2255.html,1921
2017-01-18,7362,Le Chemin d'Ernoa,"",1921-08-04,0h 50min,Comédie dramatique,Louis Delluc,"","Jacqueline de Marichalar, Eve Francis, Gaston Jaquet","Etchégor, un riche paysan basque est épris d'une belle Américaine, Majesty Parnell. Le mari de celle-ci semble favoriser ses avances car, sur le point d'être arrêté pour vol, il voudrait se forger un alibi avec sa complicité. Etchégor favorise la fuite de Parnell en Espagne et tente de prendre sa place dans le coeur de Majesty. Mais celle-ci, reprise par son premier amour, quitte Etchégor et part rejoindre son mari. Particulièrement attaché à la lumière, aux paysages et au folklore du Pays Basque, Delluc choisit ce lieu de tournage qui se prête magnifiquement à la volonté du réalisateur de sortir du studio pour tourner en décor naturel.",France,1921,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=7362.html,1921
2017-01-18,4846,Fièvre,"",1921-09-24,0h 43min,Romance,Louis Delluc,"","Edmond van Daele, Gaston Modot, Eve Francis","Dans un cabaret populaire du Vieux-Port de Marseille, le patron Topinelli et sa femme Sarah

remplissent les verres des matelots. Parmi ceux-ci se trouve Militis, l’amant qui avait autrefois

abandonné Sarah, avant qu’elle n’épouse Topinelli. Les filles de joie accourent, l’alcool coule à flot et la

fièvre monte. Les deux anciens amants « croient s'être oubliés, ils se retrouvent, calmes, mais la fièvre

d'un soir de désordre réveille tous les appétits, les rêves, les rancoeurs de leurs partenaires… » (Delluc)",France,1921,Les Documents Cinématographiques,Moyen-métrage,Silencieux,-,"",N&B,145804,,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=4846.html,1921
2014-12-03,2186,Le Cabinet du docteur Caligari,Das Cabinet des Dr. Caligari,1922-03-15,1h 17min,"Drame, Fantastique, Thriller",Robert Wiene,"Hans Janowitz, Carl Mayer","Werner Krauss, Conrad Veidt, Lil Dagover","Une fête foraine plante ses attractions dans la petite ville allemande d'Holstenwall. Un étrange vieillard, le docteur Caligari, entend y exhiber un jeune somnambule, Cesare, dont il monnaie les dons de voyant. Mais Caligari n'obtient pas de l'administration l'autorisation qu'il lui demandait. Le lendemain, le fonctionnaire responsable de cette humiliation est retrouvé mort. Le soir même, Cesare prédit à un jeune homme qu'il ne verra pas la fin de la nuit. Sa prédiction se réalise. Bouleversé, l'ami du défunt, Francis, se met à surveiller Caligari, qu'il suspecte du meurtre...",Allemagne,1920,MK2 Diffusion,Long métrage,Allemand,20 000,,N&B,31203,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=2186.html,1922
2019-05-01,6125,Les Trois Lumieres,Der mude Tod,1922-06-16,1h 38min,"Drame, Fantastique",Fritz Lang,"Thea von Harbou, Fritz Lang","Lil Dagover, Walter Janssen, Bernhard Goetzke","Un jeune couple fait halte dans une auberge. Un mystérieux voyageur, dont on murmure qu'il possède un terrain entouré d'un mur, aux abords d'un cimetière, emmène le jeune homme. Sa compagne désespérée tente de le suivre à l'intérieur de cet étrange enclos, mais ne peut y trouver une ouverture. La Mort lui apparaît alors et lui promet de lui rendre son fiancé si, transportée avec lui dans trois époques différentes, elle parvient à lui sauver la vie une fois. Voilà la jeune femme projetée à Bagdad, puis à Venise sous la Renaissance et enfin en Chine, dans le palais de l'Empereur. Mais la Mort est toujours victorieuse. La Faucheuse propose alors un second marché...",Allemagne,1921,Films sans Frontières,Long métrage,Silencieux,-,"",N&B,31208,,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=6125.html,1922
2017-01-18,4847,La Femme de nulle part,"",1922-09-08,1h 01min,Drame,Louis Delluc,Louis Delluc,"Eve Francis, Gine Avril, Noemie Scize","Non loin de Gênes, une jeune femme s’apprête à quitter mari et enfant pour suivre son amant. Une femme âgée, lasse et meurtrie, arrive dans cette propriété qu’elle a jadis occupée. Pèlerinage douloureux à la recherche du bonheur perdu car les souvenirs qui la submergent sont autant de déchirements.",France,1922,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,145805,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=4847.html,1922
2022-10-26,2342,Nosferatu le vampire,"Nosferatu, eine Symphonie des Grauens",1922-10-27,1h 34min,Epouvante-horreur,F.W. Murnau,Henrik Galeen,"Max Schreck, Greta Schroeder, Gustav von Wangenheim","En 1838, Thomas Hutter, commis d’agent immobilier, quitte sa jeune femme Ellen pour le château du comte Orlok dans les Carpates. Là-bas, Hutter découvre que le comte est en fait Nosferatu le vampire et est victime des morsures répétées du monstre. Celui-ci quitte son château dans un cercueil rempli de terre et, après un voyage en voilier au cours duquel il décime l'équipage terrorisé, va prendre livraison de sa nouvelle demeure, située face à celle de Hutter et Ellen…",Allemagne,1922,MK2 Films,Long métrage,Allemand,-,"",N&B,31210,,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2342.html,1922
2017-01-18,4848,L'Inondation,"",1924-05-09,1h 28min,Comédie dramatique,Louis Delluc,André Corthis,"Eve Francis, Ginette Maddie, Edmond van Daele","Dans un village en bord du Rhône, Alban, jeune fermier, s’apprête à épouser Margot. Monsieur Broc, employé de mairie, retrouve sa fille Germaine, éprise d’Alban. Lorsque celui-ci l’éconduit, elle s’effondre. La crue du fleuve inonde subitement le village. Un soir Margot disparaît… Ce drame paysan, adapté d'un roman d'André Corthis et tourné pendant une crue réelle du Rhône, sera le dernier film de Delluc. La folie des hommes fait ici écho à la fureur de la nature, dans des images émouvantes qui magnifient une Provence submergée d'eau et de brume.",France,1923,Les Documents Cinématographiques,Long métrage,Silencieux,-,"",N&B,111592,,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=4848.html,1924
2019-07-10,2258,L'Opinion publique,A Woman of Paris: A Drama of Fate,1924-05-09,1h 19min,"Drame, Romance",Charles Chaplin,Charles Chaplin,"Edna Purviance, Carl Miller, Clarence Gelder","Marie Saint-Clair et Jean Millet s’aiment contre l’avis de leurs parents. Ils ont décidé de fuir ensemble. Mais le père de Jean est victime d’une attaque, et Marie, croyant que Jean a changé d’avis, part seule…",U.S.A.,1923,Théâtre du Temple,Long métrage,Anglais,351 000 USD,"",N&B,-,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=2258.html,1924
2019-12-25,2426,Sherlock Junior,Sherlock Jr.,1924-10-28,0h 45min,"Action, Comédie, Romance",Buster Keaton,"Clyde Bruckman, Jean C. Havez","Buster Keaton, Kathryn McGaire, Joe Keaton","Projectionniste dans un modeste cinéma, amoureux de la fille de son patron, un homme rêve de devenir un grand détective. Un jour, tandis qu'il rend visite à la demoiselle de ses pensées pour lui offrir une bague, son rival dérobe la montre du père, la place chez un prêteur sur gages puis glisse le billet dans la poche du pauvre amoureux. Celui-ci se met à jouer les détectives amateurs. Confondu, il est chassé de la maison...",U.S.A.,1924,Splendor Films,Moyen-métrage,Silencieux,-,"",N&B,24026,,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2426.html,1924
2019-05-15,1540,Les Lois de l'hospitalité,Our Hospitality,1924-10-31,1h 05min,"Comédie, Romance, Thriller","Buster Keaton, John G. Blystone","Clyde Bruckman, Jean C. Havez","Buster Keaton, Natalie Talmadge, Buster Keaton Jr.","Une lutte ancestrale oppose les clans Canfield et McKay. Au cours d’une fusillade, les deux chefs de famille sont tués. La veuve McKay quitte sa campagne et emmène son bébé Willy à New York. 20 ans ont passé. Willy McKay est convoqué pour prendre possession de l’héritage familial…",U.S.A.,1923,Théâtre du Temple,Long métrage,Silencieux,-,"",N&B,-,,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=1540.html,1924
1986-10-22,2239,L'Inhumaine,,1924-12-12,2h 03min,Drame,Marcel L'Herbier,"Marcel L'Herbier, Pierre Mac Orlan","Jaque Catelain, Georgette Leblanc","Une grande cantatrice d'avant-garde très entourée est reputée pour son insensibilité vis-a-vis des hommes qui la comblent pourtant d'attentions. Un jeune ingénieur veut lui faire prendre conscience de son inhumanité. Cette splendeur du cinema muet sort de l'ombre totalement restaurée et sonorisée, les partitions musicales de Darius Milhaud ayant été égarées lors d'un naufrage pendant la dernière guerre mondiale.",France,1924,-,Long métrage,Silencieux,-,,N&B,-,,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=2239.html,1924
2022-12-14,2828,Paris qui dort,"",1925-02-06,0h 35min,"Fantastique, Science Fiction",René Clair,René Clair,"Albert Préjean, Marcel Vallee, Madeleine Rodrigue","Dans Paris qui dort, le gardien de la Tour Eiffel s'aperçoit un matin que Paris ne s'est pas réveillé. Seules cinq personnes ont échappé au sortilège et déambulent dans la ville endormie...",France,1925,Tamasa Distribution,Moyen-métrage,Silencieux,-,"",N&B,-,,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=2828.html,1925
2019-08-21,1498,La Croisière du Navigator,The Navigator,1925-03-13,0h 59min,Comédie,"Donald Crisp, Buster Keaton","Clyde Bruckman, Jean C. Havez","Buster Keaton, Kathryn McGuire, Frederick Vroom","Un couple loufoque composé de Rollo Treadway, un aristocrate fainéant, et de la roturière Betsy se retrouve seul à bord d’un navire à la dérive alors que la demoiselle a récemment écarté une demande en mariage du jeune homme. Dès lors, ils s’organisent pour survivre loin de leurs domestiques et du confort, enchaînant les situations rocambolesques jusqu’à jeter l'ancre près des côtes d'une île pas si déserte qu'elle n'y paraît.",U.S.A.,1924,Splendor Films,Long métrage,Silencieux,-,"",N&B,24028,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=1498.html,1925
2011-10-19,240,Metropolis,,1927-02-06,2h 33min,"Science Fiction, Thriller",Fritz Lang,"Fritz Lang, Thea von Harbou","Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge",Des ouvriers travaillent dans les souterrains d'une fabuleuse métropole de l'an 2026. Ils assurent le bonheur des nantis qui vivent dans les jardins suspendus de la ville. Un androïde mène les ouvriers vers la révolte.,Allemagne,1927,MK2 Diffusion,Long métrage,Allemand,6 000 000,,N&B,31207,4.8,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=240.html,1927
2017-08-09,108016,Le Mécano de la Générale,The General,1927-02-24,1h 29min,"Action, Comédie","Clyde Bruckman, Buster Keaton","Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender","Le cheminot Johnnie Gray partage sa vie entre sa fiancée Annabelle Lee et sa locomotive, la Générale. En pleine Guerre de Sécession, il souhaite s'engager dans l'armée sudiste, mais celle-ci estime qu'il se montrera plus utile en restant mécanicien. Pour prouver à Annabelle qu'il n'est pas lâche, il se lance seul à la poursuite d'espions nordistes qui se sont emparés d'elle et de sa locomotive...",U.S.A.,1926,Théâtre du Temple,Long métrage,Silencieux,-,"",N&B,-,5,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=108016.html,1927
2016-09-14,115,L'Aurore,Sunrise: A Song of Two Humans,1928-10-11,1h 37min,Drame,"F.W. Murnau, William Fox (II)",Carl Mayer,"George O'Brien, Janet Gaynor, Margaret Livingstone","Un pêcheur s'éprend d'une citadine aux allures de vamp. Sous l'influence de celle-ci, il décide de noyer son épouse, mais change d'avis une fois sur la barque. Effrayée, la femme fuit en ville. Elle est bientôt rejointe par son mari, désireux de se faire pardonner.",U.S.A.,1927,Théâtre du Temple,Long métrage,Silencieux,-,"",N&B,91990,5,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=115.html,1928
2014-11-05,7113,Les Ailes,Wings,1928-11-23,2h 24min,"Action, Drame, Guerre, Romance",William A. Wellman,"Hope Loring, Louis D. Lighton","Clara Bow, Charles Buddy Rogers, Richard Arlen","Jack Powell est un jeune Américain qui ne rêve que d’une chose : s’envoler dans les airs. Sa voisine Mary est follement amoureuse de lui, mais lui préfère la jolie Sylvia… laquelle n’a d’yeux que pour le séduisant David Armstrong. Lorsque la Première Guerre mondiale éclate, les deux garçons décident de s’enrôler dans l’Air Force. De son côté, Mary rejoint la Women’s Motor Corps, espérant retrouver son grand amour parti combattre sur le sol français. D’abord méfiants l’un envers l’autre, Jack et David deviennent bientôt inséparables, unis pour le meilleur comme pour le pire face aux atrocités de la guerre…",U.S.A.,1927,-,Long métrage,Anglais,2 000 000 USD,,N&B,140908,,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=7113.html,1928
2023-06-07,2037,Le Chanteur de jazz,The Jazz Singer,1929-10-04,1h 28min,"Drame, Musical, Romance",Alan Crosland,Al Cohn,"Al Jolson, May McAvoy, Warner Oland","Rabinowitz, chantre d'une synagogue, souhaite que son fils Jakie lui succede. Mais celui-ci prefere le jazz. Chasse par son pere, il devient celebre, maquille en noir, comme vedette de jazz, sous le nom de Jack Robin.",U.S.A.,1927,Warner Bros. France,Long métrage,Anglais,-,"",N&B,-,2.3,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=2037.html,1929
2022-12-14,4634,Sous les toits de Paris,"",1930-04-28,1h 36min,"Comédie musicale, Romance",René Clair,René Clair,"Albert Préjean, Pola Illéry, Bill Bocket","Alors qu'ils sont sur le point de se marier, Albert est jeté en prison pour un cambriolage qu'il n'a pas commis. Il faut dire que sa promise, une belle roumaine du nom de Pola, fait des envieux surtout chez Louis, le meilleur ami de ce dernier. Après une cour accrue, Pola lui tombe enfin dans les bras au moment même où Albert sort de prison. Cette situation ne manquera pas de causer bon nombre de rivalités entre les deux amis.","France, Roumanie",1930,Tamasa Distribution,Long métrage,"Anglais, Français, Roumain",-,"",N&B,-,,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4634.html,1930
2021-09-29,1362,A propos de Nice,"",1930-05-28,0h 24min,Documentaire,Jean Vigo,Jean Vigo,"ce court-métrage qu'il décrivait comme un «point de vue documenté», Jean Vigo se positionne en faveur d'un art engagé, il construit son film sur des contrastes, des associations d'images chocs et porte un regard satirique sur le monde fortuné des estivants.","Une promenade dans Nice où l'on voit le décor et son envers. Avec ce court-métrage qu'il décrivait comme un «point de vue documenté», Jean Vigo se positionne en faveur d'un art engagé, il construit son film sur des contrastes, des associations d'images chocs et porte un regard satirique sur le monde fortuné des estivants.",France,1930,Malavida Films,Long métrage,Silencieux,-,"",N&B,-,,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=1362.html,1930
2014-04-02,82,L'Ange bleu,Der Blaue Engel,1930-07-22,2h 04min,"Comédie musicale, Drame",Josef von Sternberg,"Carl Zuckmayer, Karl Vollmöller","Marlene Dietrich, Emil Jannings, Kurt Gerron","Dans l'Allemagne provinciale des années 20, un vieux professeur de lycée, qui règne sur ses élèves en despote, se retrouve un jour dans un cabaret mal famé, L'ange bleu. Sa rencontre avec la chanteuse vedette, Lola Lola, bouleverse son existence routinière, et l'entraîne dans un tourbillon passionnel et destructeur...",Allemagne,1930,Films sans Frontières,Long métrage,Allemand,-,,N&B,12127,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=82.html,1930
2021-09-29,132560,Taris ou la natation,"",1931-01-01,0h 11min,Documentaire,Jean Vigo,Jean Vigo,Jean Taris,"Trois semaines après la réalisation de ce qui devait constituer le premier volume d’une série sur le sport, et restera finalement prototype sans suite, Vigo le reniait déjà. Pourtant, le traitement que Vigo réserve à l’insu sans doute de son sujet, au champion de France de natation d’alors, tient du prodige d’ironie non méchante : nous saurons tout de la nage en piscine, et à la fois rien, bien sûr. L’effort humain est célébré, mais moquée est sa prétention à s’ériger en modèle.",France,1931,Malavida Films,Long métrage,Silencieux,-,"",N&B,-,,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=132560.html,1931
2019-07-10,2256,Les Lumières de la ville,City Lights,1931-04-07,1h 27min,"Comédie dramatique, Romance",Charles Chaplin,"Harry Carr ( I ), Charles Chaplin","Charles Chaplin, Virginia Cherrill, Harry Myers","Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...",U.S.A.,1931,Théâtre du Temple,Long métrage,Silencieux,1 500 000 USD,"",N&B,-,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2256.html,1931
2022-12-14,7200,Le Million,"",1931-04-15,1h 30min,"Comédie musicale, Romance",René Clair,René Clair,"Annabella, Paul Ollivier, René Lefèvre","Alors que les commerçants le pressent de régler ses dettes, un jeune peintre montmartrois apprend qu'il a gagné à la loterie et réalise qu'il a égaré le veston contenant le billet.",France,1931,Tamasa Distribution,Long métrage,Français,-,"",N&B,-,,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=7200.html,1931
2014-09-17,2595,La Chienne,,1931-11-19,1h 31min,Drame,Jean Renoir,Jean Renoir,"Janie Marèse, Michel Simon, Georges Flamant","Marié à une veuve acariâtre, M. Legrand a un violon d’Ingres : la peinture. Il tombe sous le charme de Lulu, une jeune femme exploitée par un souteneur. Celle-ci va abuser de sa crédulité et provoquer sa déchéance.",France,1931,Les Etablissements Braunberger-Richebé,Long métrage,Français,-,,N&B,-,,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=2595.html,1931
2022-12-14,4658,A nous la liberté,"",1931-12-18,1h 37min,"Comédie, Musical",René Clair,René Clair,"Raymond Cordy, Henri Marchand, Rolla France","Dans les années trente, Louis est devenu au fil des années un véritable chef d'entreprise, à la tête d'usines et de commerces florissants. Cette vie prospère n'a pourtant pas toujours été son quotidien : ancien détenu, il a réussi à s'évader grâce au sacrifice de son ami Emile. Ce dernier, libéré bien des années après, ne sait pas ce qu'est devenu Louis mais sa rencontre avec une jeune femme travaillant dans une de ses usines va le conduire droit vers son ancien compagnon de cellule pour des retrouvailles bien particulières...",France,1931,Tamasa Distribution,Long métrage,Français,-,"",N&B,-,,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=4658.html,1931
2019-10-30,7089,L'Atlantide (French version),"",1932-06-10,1h 29min,"Aventure, Fantastique, Science Fiction",Georg Wilhelm Pabst,"Alexandre Arnoux, Jacques Deval","Brigitte Helm, Jean Angelo, Pierre Blanchar","Au début des années vingt, deux officiers se rendent au Hoggar pour retrouver les traces du royaume englouti de l'Atlantide. Mais ils tombent dans une embuscade et sont retenus prisonniers par la belle et cruelle reine Antinea.","France, Allemagne",1929,Tamasa Distribution,Long métrage,Français,-,"",N&B,-,,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=7089.html,1932
2010-03-17,45978,"Tarzan, l'homme singe",Tarzan the Ape Man,1932-08-19,1h 39min,Aventure,W.S. Van Dyke,,"Johnny Weissmuller, Neil Hamilton, Maureen O'Sullivan","James Parker and Harry Holt partent dans la jungle africaine pour mettre au jour un cimetière d'éléphants. L'or ainsi récolté leur assurera la richesse. Jane, la fille de Parker, est de l'expédition. Elle ne tarde pas à rencontrer Tarzan, l'homme singe, dont elle en tombe amoureuse.",U.S.A.,1932,Metro Goldwyn Mayer (MGM) France,Long métrage,Anglais,-,,N&B,-,4,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=45978.html,1932
2020-07-01,50360,Forbidden Hollywood : Âmes libres,A Free Soul,1932-10-07,1h 29min,"Drame, Policier, Romance",Clarence Brown,"Phillip Dunning, Dorothy Farnum","Norma Shearer, Clark Gable, Lionel Barrymore","Stephen Ashe, brillant avocat malgré son penchant prononcé pour l'alcool, obtient l’acquittement du gangster Ace Wilfong. Sa fille Jan, d’esprit indépendant et libre, devient vite fascinée et séduite par Ace. Regrettant vite d’avoir cédé à ces avances, elle est secourue par son ex-fiancé, qui tue Ace. Les talents d’orateur d’Ashe seront-t-ils alors suffisant pour sauver la vie de Dwight devant les tribunaux ?",U.S.A.,1931,Warner Bros. France,Long métrage,Anglais,-,"",N&B,152575,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=50360.html,1932
2005-03-16,2143,Boudu sauvé des eaux,,1932-11-11,1h 33min,Comédie,Jean Renoir,"Albert Valentin, Jean Renoir","Charles Granval, Marcelle Hainia, Max Dalban","Boudu, clochard parisien, se jette à la Seine. Repêché par un libraire aux idées libérales, il sème l'anarchie dans la famille.",France,1932,Les Établissements Jacques Haïk,Long métrage,Français,-,,N&B,16 713,5,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=2143.html,1932
2022-12-14,4626,Quatorze Juillet,"",1933-01-13,1h 37min,"Comédie, Romance",René Clair,René Clair,"Annabella, Georges Rigaud, Pola Illéry","Le 14 juillet de l'année 1932 est pour Anna une journée morose. Son voisin, dont elle est éprise et qui partage ses sentiments, va pourtant céder aux avances de Pola, une étrangère. Pola se lasse vite du jeune homme et le laisse tomber pour une nouvelle proie. Brisé par la douleur, Jean sombre alors dans la délinquance avec une bande de truands.",France,1932,Tamasa Distribution,Long métrage,Français,-,"",N&B,-,,2.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=4626.html,1933
2014-04-16,296,Scarface,,1933-02-17,1h 30min,"Drame, Policier",Howard Hawks,"Ben Hecht, Seton I. Miller","Paul Muni, Ann Dvorak, Karen Morley","Chicago, au temps de la prohibition. Un petit malfrat, l'ambitieux Tony Camonte, tue son patron et devient le garde du corps de Lovo, chef du gang rival. Amoureux de Poppy, la petite amie de Lovo, il veille jalousement sur sa soeur Cesca, lui interdisant toute liaison sentimentale. Avec son complice Guido Rinaldo, Tony prend peu à peu le pouvoir au sein du gang de Lovo.",U.S.A.,1932,Moonriver Entertainment,Long métrage,Anglais,-,,N&B,3915,5,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=296.html,1933
2021-09-29,2304,Zéro de conduite,"",1933-04-07,0h 44min,Comédie dramatique,Jean Vigo,Jean Vigo,"Louis de Gonzague, Raphaël Diligent, Jean Dasté","C'est la rentrée scolaire dans un collège de province. La vie reprend avec les chahuts au dortoir, les punitions traditionnelles, les récréations, les études houleuses et les conflits avec l'administration. Un soir, les pensionnaires décident de se libérer de l'autorité des adultes et déclenchent une révolte. Une œuvre impertinence et iconoclaste, la plus autobiographique de Jean Vigo.",France,1933,Malavida Films,Long métrage,Français,-,"",N&B,1808,,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2304.html,1933
2019-04-17,2236,Le Testament du docteur Mabuse,Das Testament des Doktor Mabuse,1933-04-21,2h 01min,"Drame, Fantastique",Fritz Lang,"Thea von Harbou, Fritz Lang","Rudolf Klein-Rogge, Otto Wernicke, Oscar Beregi Sr.","Devenu fou, Mabuse, le célèbre criminel, est interné dans un hôpital psychiatrique. Grâce à l’hypnose, il tient en son pouvoir Baum, le directeur de l’asile. Ainsi, il parvient à remettre sur pied une inquiétante bande de malfaiteurs, qui sera confrontée au commissaire Lohmann...","Allemagne, France",1932,Tamasa Distribution,Long métrage,"Français, Allemand",-,"",N&B,44694,4.7,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=2236.html,1933
2020-07-01,49530,Forbidden Hollywood : La Belle de Saïgon,Red Dust,1933-04-28,1h 23min,"Drame, Romance",Victor Fleming,John Lee Mahin,"Clark Gable, Jean Harlow, Gene Raymond","Séduisante prostituée recherchée par la police de Saïgon, Vantine trouve refuge dans la plantation de Dennis Carson. Vantine et Dennis ne tardent pas à tomber dans les bras l’un de l’autre mais le bel aventurier s’éprend bientôt de l’élégante et inaccessible Barbara Willis, récemment arrivée sur la plantation avec son mari.",U.S.A.,1932,Warner Bros. France,Long métrage,Anglais,-,"",N&B,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=49530.html,1933
2020-07-01,50361,Forbidden Hollywood : L'Ange blanc,Night Nurse,1933-05-19,1h 14min,"Comédie, Drame, Policier",William A. Wellman,Oliver H.P. Garrett,"Barbara Stanwyck, Joan Blondell, Clark Gable","Lora Hart est un élève-infirmière ambitieuse. Après l'obtention de son diplôme, elle est affectée auprès de petites filles gravement malades qui, malgré leur environnement aisé, semblent souffrir de malnutrition. Elle découvre alors que leur mère est une alcoolique notoire et que leur médecin est un charlatan mondain. Lora se rend vite compte que le médecin essaie délibérément d'affamer ces enfants afin d'avoir accès à leur héritage, et que Mme Ritchey est sous l’influence de Nick, un gangster vêtu de noir se présentant comme le chauffeur de la famille…",U.S.A.,1931,Warner Bros. France,Long métrage,"Cantonais, Anglais",-,"",N&B,152579,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=50361.html,1933
2022-12-21,4,Haute pègre,Trouble in paradise,1933-06-02,1h 23min,Comédie,Ernst Lubitsch,"Grover Jones, Samson Raphaelson","Miriam Hopkins, Kay Francis, Herbert Marshall","Gaston et Lilly, deux escrocs tombés amoureux, décident de s’associer. Alors que l’Europe entière parle de leurs méfaits, ils jettent leur dévolu sur une nouvelle victime, la riche et belle Mariette Collet. Mais Gaston va vite tomber sous son charme…",U.S.A.,1932,Splendor Films,Long métrage,Anglais,-,"",N&B,36 251,4.5,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=4.html,1933
2015-02-04,15168,Amour défendu,Forbidden,1933-09-08,1h 23min,"Drame, Romance",Frank Capra,"Frank Capra, Jo Swerling","Robert Graves, Claude Kingston, Barbara Stanwyck","Lulu Smith est une jeune employée qui tombe amoureuse d'un avocat à bord d'un bateau. Mais, leur avenir ensemble s'obscurcit quand Bob lui annonce qu'il est marié. Se destinant à une carrière politique, il refuse de divorcer. Lulu se fait alors passer pour une domestique.",U.S.A.,1932,Park Circus France,Long métrage,Anglais,-,,N&B,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=15168.html,1933
