semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url,annee
2019-09-11,272312,The Bra,"",2019-09-11,1h 30min,Comédie dramatique,Veit Helmer,"Leonie Geisinger, Veit Helmer","Predrag 'Miki' Manojlovic, Denis Lavant, Paz Vega","Le conducteur de train Nurlan se rend à Bakou pour la dernière fois avant sa retraite. En contournant les quartiers de la ville, son train arrache un soutien-gorge bleu à une corde à linge. Pour échapper à son existence solitaire, Nurlan se lance dans la plus grande aventure de sa vie : retrouver la propriétaire de ce sous- vêtement … ",Allemagne,2018,Bodega Films,Long métrage,Allemand,-,2 390 entrées,Couleur,151323,2.8,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=272312.html,2019
2019-09-11,265810,L'Insensible,Podbrosy,2019-09-11,1h 27min,"Drame, Policier",Ivan I. Tverdovsky,Ivan I. Tverdovsky,"Denis Vlasenko, Anna Slyu, Danil Steklov","Denis a grandi dans l’orphelinat où sa mère l’a abandonné. C’est un garçon spécial qui est atteint d’une maladie rare le rendant insensible à la douleur. Un jour, sa mère débarque et l’emmène à Moscou, où celle-ci est associée à un gang de fonctionnaires corrompus qui extorquent de l’argent à des gens riches. Dès lors, il participe à leurs manigances...","Russie, Irlande, Lituanie, France",2018,Destiny Films,Long métrage,Russe,-,1 560 entrées,Couleur,147887,2.5,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=265810.html,2019
2019-09-11,275569,Ça marche!?,"",2019-09-11,1h 31min,Documentaire,Camille de Casabianca,Camille de Casabianca,"","Femmes et hommes, l'immense majorité d'entre eux s'engagent en politique pour la première fois de leur vie. Une plongée dans un mouvement de fond de la société française, la galaxie """" En marche """", avec le surgissement imprévu de la crise des gilets jaunes.",France,2019,Dean Medias,Long métrage,Français,-,92 entrées,Couleur,151208,2.2,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=275569.html,2019
2019-09-11,277050,Lettre à G,"",2019-09-11,1h 12min,Documentaire,"Victor Tortora, Julien Tortora (II), Charline Guillaume","Julien Tortora (II), Victor Tortora","","Manon, 26 ans, rejoint sa maison familiale à Vosnon, Se promenant dans le village elle apprend par hasard qu’un penseur majeur de l’écologie politique y a vécu vingt ans et passé ses derniers moments : André Gorz. Elle nous livre à travers ce film les pensées et les actes de A Gorz, en abordant la crise de sens, la norme du suffisant, le revenu universel etc.",France,2019,Association sur les pas de Gorz,Long métrage,Français,-,"",Couleur,-,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=277050.html,2019
2019-09-11,268286,"MJÓLK, La guerre du lait",Héraðið,2019-09-11,1h 32min,"Comédie, Drame",Grímur Hákonarson,Grímur Hákonarson,"Arndís Hrönn Egilsdóttir, Sveinn Ólafur Gunnarsson, Sigurður Sigurjónsson","Inga et son mari possèdent une exploitation laitière dans un petit village près de Reykjavik.

Mais à la mort de ce dernier, Inga reprend seule les rênes de l’entreprise familiale. Très vite elle découvre le monopole abusif que la coopérative impose aux agriculteurs locaux. Elle va alors entrer en guerre contre ce système mafieux pour imposer l’indépendance de sa communauté !","Islande, Danemark, Allemagne, France",2019,Haut et Court,Long métrage,Islandais,-,12 203 entrées,Couleur,148741,2.7,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=268286.html,2019
2019-09-11,268797,Tempo Comum,"",2019-09-11,1h 04min,Drame,Susana Nobre,Susana Nobre,"Marta Lança, Clara Castanheira, Pedro Castanheira","Dans un appartement de Lisbonne, Marta se consacre aux soins de sa fille qui vient de naître, tout en se remettant de l’accouchement. Au cours de ces premiers jours, mère et fille reçoivent des visites de leur famille et de leurs amis qui, plongés dans l’intimité de la maison, parlent de mariage, de naissances, de leurs attentes et de leurs projets futurs. Ces confidences se mêlent à la vie quotidienne de Marta, aux nouvelles habitudes qui s’installent, nous plongeant, scène après scène, dans le cycle de la vie.",Portugal,2018,Cinéma Saint-André des Arts,Long métrage,Portugais,-,30 entrées,Couleur,-,3.1,,https://www.allocine.fr/film/fichefilm_gen_cfilm=268797.html,2019
2019-09-11,281333,Overseas,"",2019-09-16,1h 30min,Documentaire,Sung-a Yoon,Sung-a Yoon,"","Aux Philippines, on déploie les femmes en masse à l’étranger comme aides ménagères ou nounous. Elles laissent souvent derrière elles leurs propres enfants, avant de se jeter dans l’inconnu. Dans un centre de formation au travail domestique, comme tant d’autres aux Philippines, un groupe de candidates au départ se préparent au mal du pays et aux maltraitances qui pourraient les atteindre. Lors d’exercices de jeux de rôles, les femmes se mettent tant dans la peau de l’employée que des employeu.r.se.s. Aux abords de la fiction, Overseas traite de la servitude moderne de notre monde globalisé, tout en révélant la détermination de ces femmes, leur sororité et les stratégies mises en place face aux épreuves que leur réserve l’avenir.","Belgique, France",2019,CAT & DOCS,Long métrage,"Anglais, Filipino",-,"",Couleur,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=281333.html,2019
2019-09-18,265621,Portrait de la jeune fille en feu,"",2019-09-18,2h 02min,"Drame, Historique",Céline Sciamma,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami","1770. Marianne est peintre et doit réaliser le portrait de mariage d’Héloïse, une jeune femme qui vient de quitter le couvent. Héloïse résiste à son destin d’épouse en refusant de poser. Marianne va devoir la peindre en secret. Introduite auprès d’elle en tant que dame de compagnie, elle la regarde.",France,2019,Pyramide Distribution,Long métrage,Français,-,312 481 entrées,Couleur,148604,4,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=265621.html,2019
2019-09-18,247520,Ad Astra,"",2019-09-18,2h 04min,"Drame, Science Fiction",James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga","L’astronaute Roy McBride s’aventure jusqu’aux confins du système solaire à la recherche de son père disparu et pour résoudre un mystère qui menace la survie de notre planète. Lors de son voyage, il sera confronté à des révélations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.",U.S.A.,2019,Twentieth Century Fox France,Long métrage,Anglais,-,1 039 973 entrées,Couleur,151420,4.4,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=247520.html,2019
2019-09-18,262748,Trois jours et une vie,"",2019-09-18,2h 00min,"Drame, Thriller",Nicolas Boukhrief,"Pierre Lemaitre, Perrine Margaine","Sandrine Bonnaire, Pablo Pauly, Jeremy Senez","1999 - Olloy - Les Ardennes belges.

Un enfant vient de disparaître. La suspicion qui touche tour à tour plusieurs villageois porte rapidement la communauté à incandescence. Mais un événement inattendu et dévastateur va soudain venir redistribuer les cartes du destin…",France,2018,Gaumont Distribution,Long métrage,Français,-,99 517 entrées,Couleur,145620,3.2,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=262748.html,2019
2019-09-18,230149,Le Chardonneret,The Goldfinch,2019-09-18,2h 30min,Drame,John Crowley,Peter Straughan,"Ansel Elgort, Oakes Fegley, Nicole Kidman","Theodore """"Theo"""" Decker n'a que 13 ans quand sa mère est tuée dans une explosion au Metropolitan Museum of Art. Cette tragédie va bouleverser sa vie : passant de la détresse à la culpabilité, il se reconstruit peu à peu et découvre même l'amour. Tout au long de son périple vers l'âge adulte, il conserve précieusement une relique de ce jour funeste qui lui permet de ne pas perdre espoir : un tableau d'un minuscule oiseau enchaîné à son perchoir. Le Chardonneret.",U.S.A.,2019,Warner Bros. France,Long métrage,Anglais,-,36 638 entrées,Couleur,151219,2.3,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=230149.html,2019
2019-09-18,258065,Un jour de pluie à New York,A Rainy Day in New York,2019-09-18,1h 33min,"Comédie, Romance",Woody Allen,Woody Allen,"Timothée Chalamet, Elle Fanning, Selena Gomez","Deux étudiants, Gatsby et Ashleigh, envisagent de passer un week-end en amoureux à New York. Mais leur projet tourne court, aussi vite que la pluie succède au beau temps… Bientôt séparés, chacun des deux tourtereaux enchaîne les rencontres fortuites et les situations insolites.",U.S.A.,2018,Mars Films,Long métrage,Anglais,-,585 417 entrées,Couleur,151555,4,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=258065.html,2019
2019-09-18,258347,Lucky Day,"",2019-09-18,1h 39min,"Action, Policier, Thriller",Roger Avary,Roger Avary,"Luke Bracey, Nina Dobrev, Crispin Glover","C’est le grand jour, Red sort de prison, après avoir purgé deux ans pour un braquage de banque qui s'est soldé par la mort de son complice. Il retrouve sa femme Chloé qui l’a attendu tout en élevant seule leur fille Beatrice. Le même jour, Luc, le frère de son ancien complice, tueur à gages et psychopathe notoire, débarque assoiffé de vengeance et avec la ferme intention de l'éliminer…","France, Canada",2019,Metropolitan FilmExport,Long métrage,"Anglais, Français",-,11 310 entrées,Couleur,150215,2.4,2.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=258347.html,2019
