allocine_id,titre,annee,acteur
52584,Les Invasions barbares,2003,Rémy Girard
52584,Les Invasions barbares,2003,Stéphane Rousseau
52584,Les Invasions barbares,2003,Dorothée Berryman
46404,La Blonde contre-attaque,2003,Reese Witherspoon
46404,La Blonde contre-attaque,2003,Regina King
46404,La Blonde contre-attaque,2003,Sally Field
48416,Lovely Rita Sainte Patronne des cas désespérés,2003,Christian Clavier
48416,Lovely Rita Sainte Patronne des cas désespérés,2003,Julie Gayet
48416,Lovely Rita Sainte Patronne des cas désespérés,2003,Eddy Mitchell
53324,Cops,2003,Fares Fares
53324,Cops,2003,Torkel Petersson
53324,Cops,2003,Sissela Kyle
53827,On n'est pas des marques de vélo,2003,Bouda
53827,On n'est pas des marques de vélo,2003,Sidney
53827,On n'est pas des marques de vélo,2003,Kool Shen
53326,Tatami,2003,David Douillet
53326,Tatami,2003,Stéphane Traineau
53326,Tatami,2003,Larbi Benboudaoud
47715,Elle est des nôtres,2003,Sasha Andres
47715,Elle est des nôtres,2003,Carlo Brandt
47715,Elle est des nôtres,2003,Daniel Ceccaldi
52963,Niki et Flo,2003,Victor Rebengiuc
52963,Niki et Flo,2003,Razvan Vasilescu
52963,Niki et Flo,2003,Dorina Chiriac
32884,Un Crocodile dans mon jardin,2003,quinze albums à son actif
32884,Un Crocodile dans mon jardin,2003,des millions de disques vendus et une participation à la comédie musicale Notre Dame de Paris
32884,Un Crocodile dans mon jardin,2003,il est l'un des artistes francophones les plus renommés.
52309,Cowboy Bebop,2003,Kôichi Yamadera
52309,Cowboy Bebop,2003,Unshô Ishizuka
52309,Cowboy Bebop,2003,Megumi Hayashibara
42391,La Ligue des Gentlemen Extraordinaires,2003,Sean Connery
42391,La Ligue des Gentlemen Extraordinaires,2003,Shane West
42391,La Ligue des Gentlemen Extraordinaires,2003,Peta Wilson
48391,Je reste !,2003,Sophie Marceau
48391,Je reste !,2003,Charles Berling
48391,Je reste !,2003,Vincent Perez
47594,Hollywood Homicide,2003,Lena Olin
47594,Hollywood Homicide,2003,Harrison Ford
47594,Hollywood Homicide,2003,Josh Hartnett
28777,Veronica Guerin,2003,Cate Blanchett
28777,Veronica Guerin,2003,Ciarán Hinds
28777,Veronica Guerin,2003,Gerard McSorley
28411,Hôtesse à tout prix,2003,Gwyneth Paltrow
28411,Hôtesse à tout prix,2003,Kelly Preston
28411,Hôtesse à tout prix,2003,Christina Applegate
43173,Confidence,2003,Edward Burns
43173,Confidence,2003,Dustin Hoffman
43173,Confidence,2003,Rachel Weisz
53126,Hic (de crimes en crimes),2003,Ferenc Bandi
53126,Hic (de crimes en crimes),2003,Józsefné Rácz
53126,Hic (de crimes en crimes),2003,Agi Margittay
28587,Mille mois,2003,Nezha Rahil
28587,Mille mois,2003,Mohamed Majd
28587,Mille mois,2003,Fouad Labied
53327,Blind shaft,2003,Li Yixiang
53327,Blind shaft,2003,Shuangbao Wang
53327,Blind shaft,2003,Sun Wei
51505,Alila,2003,Amos Lavi
51505,Alila,2003,Yaël Abecassis
51505,Alila,2003,Uri Klauzner
46926,Clandestino,2003,Rastko Jankovic
46926,Clandestino,2003,Julien Guiomar
46926,Clandestino,2003,Isabelle Pasco
47472,Ken Park,2003,James Ransone
47472,Ken Park,2003,Tiffany Limos
47472,Ken Park,2003,Stephen Jasso
47262,"Pur Sang, la légende de Seabiscuit",2003,Tobey Maguire
47262,"Pur Sang, la légende de Seabiscuit",2003,Jeff Bridges
47262,"Pur Sang, la légende de Seabiscuit",2003,Chris Cooper
42787,Le Divorce,2003,Kate Hudson
42787,Le Divorce,2003,Naomi Watts
42787,Le Divorce,2003,Melvil Poupaud
45652,Errance,2003,Laetitia Casta
45652,Errance,2003,Benoît Magimel
45652,Errance,2003,Mattéo Tardito
