allocine_id,titre,annee,acteur
28538,Master & Commander : de l'autre côté du monde,2003,Russell Crowe
28538,Master & Commander : de l'autre côté du monde,2003,Paul Bettany
28538,Master & Commander : de l'autre côté du monde,2003,Billy Boyd
33926,Calendar Girls,2003,Helen Mirren
33926,Calendar Girls,2003,Julie Walters
33926,Calendar Girls,2003,John Alderton
33580,"Dracula, pages tirées du journal d'une vierge",2003,Zhang Wei-Qiang
33580,"Dracula, pages tirées du journal d'une vierge",2003,Tara Birtwhistle
33580,"Dracula, pages tirées du journal d'une vierge",2003,David Moroni
52112,Comme si de rien n'était,2003,Laurent Bateau
52112,Comme si de rien n'était,2003,Alice Carel
52112,Comme si de rien n'était,2003,Pierre-Olivier Mornas
28620,Le Baiser de l'ours,2003,Rebecca Liljeberg
28620,Le Baiser de l'ours,2003,Sergei Bodrov Jr
28620,Le Baiser de l'ours,2003,Joachim Król
47395,Lost in Translation,2004,Bill Murray
47395,Lost in Translation,2004,Scarlett Johansson
47395,Lost in Translation,2004,Giovanni Ribisi
50709,Gothika,2004,Halle Berry
50709,Gothika,2004,Robert Downey Jr.
50709,Gothika,2004,Charles S. Dutton
48230,L'esquive,2004,Osman Elkharraz
48230,L'esquive,2004,Sara Forestier
