allocine_id,titre,titre_original,annee,tmdb_id,imdb_id,tmdb_titre,tmdb_titre_original,tmdb_annee,match_score,match_type
561,Autour du desir,La Condanna,1992,175956,tt0099296,La condanna,La condanna,1991,0.96,excellent
30615,"La Montre, la croix et la manière","The Favour, the Watch and the Very Big Fish",1992,,"","","",,,aucun
470,Le Festin nu,Naked Lunch,1992,2742,tt0102511,Le festin nu,Naked Lunch,1991,0.96,excellent
486,Promenades d'été,"",1992,205670,tt0105181,Promenades d'été,Promenades d'été,1992,1,excellent
462,Les Nerfs à vif,Cape Fear,1992,1598,tt0101540,Les Nerfs à vif,Cape Fear,1991,0.96,excellent
29615,La Belle histoire,"",1992,45777,tt0103790,La Belle Histoire,La Belle Histoire,1992,1,excellent
28357,Bugsy,"",1992,10337,tt0101516,Bugsy,Bugsy,1991,0.96,excellent
28224,Une lueur dans la nuit,Shining Through,1992,31962,tt0105391,Une lueur dans la nuit,Shining Through,1992,1,excellent
7260,Kafka,"",1992,502500,tt0168913,Kafka,Kafka,1992,1,excellent
60874,Par l'épée,By the sword,1992,42570,tt0101524,Par l'épée,By the Sword,1991,0.96,excellent
41152,Le Chef de gare,La Stazione,1992,72979,tt0100686,La stazione,La stazione,1990,0.9,bon
7280,Hook ou la revanche du Capitaine Crochet,Hook,1992,879,tt0102057,Hook ou la Revanche du capitaine Crochet,Hook,1991,0.96,excellent
7279,Celine,"",1992,123348,tt0103932,Céline,Céline,1992,1,excellent
40863,Sam suffit,"",1992,570624,tt0105308,Sam suffit,Sam suffit,1992,1,excellent
46546,La P'tite arnaqueuse,Curly Sue,1992,11894,tt0101635,La P'tite Arnaqueuse,Curly Sue,1991,0.96,excellent
7290,Sang chaud pour meurtre de sang-froid,Final analysis,1992,4823,tt0104265,Sang chaud pour meurtre de sang froid,Final Analysis,1992,1,excellent
42772,Johnny Stecchino,"",1992,12776,tt0102164,Johnny Stecchino,Johnny Stecchino,1991,0.96,excellent
28057,Toutes peines confondues,"",1992,217683,tt0105626,Toutes peines confondues,Toutes peines confondues,1992,1,excellent
26671,Marcellino,"",1992,103715,tt0102401,Marcellino,Marcellino pane e vino,1991,0.96,excellent
30249,Le Visionarium,From time to time,1992,1556306,tt0104307,Un voyage dans le temps,Un voyage dans le temps,1992,0.628,faible
26230,La Famille Addams,The Addams Family,1992,2907,tt0101272,La Famille Addams,The Addams Family,1991,0.96,excellent
7309,Indochine,"",1992,2731,tt0104507,Indochine,Indochine,1992,1,excellent
65339,Après l'amour,"",1992,171213,tt0103710,Après l'amour,Après l'amour,1992,1,excellent
7310,La Divine comédie,A Divina comedia,1992,,"","","",,,aucun
29575,Face à Face,Knight moves,1992,5765,tt0104627,Face à Face,Knight Moves,1992,1,excellent
34157,Johnny Suede,"",1992,45145,tt0104567,Johnny Suede,Johnny Suede,1991,0.96,excellent
43602,Rush,"",1992,20289,tt0102820,Rush,Rush,1991,0.96,excellent
50597,Trahie,Deceived,1992,28455,tt0101694,Trahie,Deceived,1991,0.96,excellent
28226,Hollywood mistress,Mistress,1992,71825,tt0104892,Hollywood Mistress,Mistress,1992,1,excellent
7342,Basic Instinct,"",1992,402,tt0103772,Basic Instinct,Basic Instinct,1992,1,excellent
7354,The Player,"",1992,10403,tt0105151,The Player,The Player,1992,1,excellent
7353,Retour à Howards End,Howards End,1992,8293,tt0104454,Retour à Howards End,Howards End,1992,1,excellent
109469,Faute de preuves,Under Suspicion,1992,26850,tt0105691,Faute de preuves,Under Suspicion,1991,0.96,excellent
54935,TimeBomb,"",1992,44192,tt0105597,TimeBomb,Timebomb,1991,0.96,excellent
30247,Freejack,"",1992,9278,tt0104299,Freejack,Freejack,1992,1,excellent
55981,Patrick Dewaere,"",1992,396131,tt0105111,Patrick Dewaere,Patrick Dewaere,1992,1,excellent
43227,Medicine Man,"",1992,9096,tt0104839,Medicine Man : Le Sorcier de l'Océan Vert,Medicine Man,1992,1,excellent
40170,Arrête ou ma mère va tirer,Stop! Or My Mom Will Shoot,1992,9876,tt0105477,Arrête ou ma mère va tirer !,Stop! Or My Mom Will Shoot,1992,1,excellent
7386,Les Mambo kings,The Mambo Kings,1992,40082,tt0104802,The Mambo Kings,The Mambo Kings,1992,1,excellent
7401,Twin Peaks - Fire Walk With Me,"",1992,1923,tt0105665,Twin Peaks : Les 7 derniers jours de Laura Palmer,Twin Peaks: Fire Walk with Me,1992,1,excellent
46207,Hearts of Darkness: A Filmmaker's Apocalypse,"",1992,4539,tt0102015,Aux cœurs des ténèbres : L'Apocalypse d'un metteur en scène,Hearts of Darkness: A Filmmaker's Apocalypse,1991,0.96,excellent
28056,Les Années campagne,"",1992,521328,tt0103703,Les années Campagne,Les années Campagne,1992,1,excellent
29562,Les Imposteurs,The Object of beauty,1992,,"","","",,,aucun
7404,Le Roi ébahi,El Rey pasmado,1992,,"","","",,,aucun
29392,La Nuit de l'océan,"",1992,518080,tt0095761,La nuit de l'océan,La nuit de l'océan,1992,1,excellent
29686,L'Homme de ma vie,"",1992,261604,tt0104435,L'Homme de ma vie,L'homme de ma vie,1992,1,excellent
7458,Bezness,"",1992,196934,tt0103806,Bezness,Bezness,1992,1,excellent
29745,"Golem, l'esprit de l'exil","",1992,261601,tt0104356,"Golem, l'esprit de l'exil","Golem, l'esprit de l'exil",1992,1,excellent
7420,Le Vent sombre,The Dark Wind,1992,91396,tt0101664,Le Vent sombre,The Dark Wind,1992,1,excellent
7453,IP5: L'île aux pachydermes,"",1992,70461,tt0104473,IP5 : L'Île aux pachydermes,IP5 : L'Île aux pachydermes,1992,1,excellent
1781,Blanc d'ébène,The Ebony White Man,1992,,"","","",,,aucun
30448,Le Père de la mariée,Father of the Bride,1992,11846,tt0101862,Le Père de la mariée,Father of the Bride,1991,0.96,excellent
6761,Carne,"",1992,1568,tt0218871,Carne,Carne,1991,0.96,excellent
32742,Le Zèbre,"",1992,164126,tt0105911,Le Zèbre,Le Zèbre,1992,1,excellent
7470,Beethoven,"",1992,11806,tt0103786,Beethoven,Beethoven,1992,1,excellent
7473,My Girl,"",1992,4032,tt0102492,My Girl,My Girl,1991,0.96,excellent
39133,Doc Hollywood,"",1992,11821,tt0101745,Doc Hollywood,Doc Hollywood,1991,0.96,excellent
33046,Room Service,"",1992,198059,tt0105278,Room Service,Room Service,1992,1,excellent
5593,Relache,"",1992,,"","","",,,aucun
42167,Sans remission,American Me,1992,13199,tt0103671,Sans rémission,American Me,1992,1,excellent
7570,"Batman, le défi",Batman Returns,1992,364,tt0103776,Batman : Le Défi,Batman Returns,1992,1,excellent
