semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2022-01-05,277530,En Attendant Bojangles,,5 janvier 2022,2h 05min,"Comédie, Comédie dramatique, Drame",Regis Roinsard,"Romain Compingt, Regis Roinsard","Virginie Efira, Romain Duris, Grégory Gadebois","Adaptation du roman éponyme signé Olivier Bourdeaut.

Camille et Georges dansent tout le temps sur leur chanson préférée Mr Bojangles. Chez eux, il n'y a de place que pour le plaisir, la fantaisie et les amis. Jusqu'au jour où la mère va trop loin, contraignant Georges et leur fils Gary à tout faire pour éviter l'inéluctable coûte que coûte.","France, Belgique",2021,StudioCanal,Long métrage,Français,-,557 018 entrées,Couleur,150831,2.9,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=277530.html
2022-01-05,299491,Tous les garçons et les filles,,5 janvier 2022,1h 04min,Comédie,"Charline Bourgeois-Tacquet, Elie Girard",,"Anaïs Demoustier, Sigrid Bouaziz, Raphaël Quenard","Programme de 2 courts métrages : Les Mauvais garçons d'Elie Girard et Pauline asservie de Charline Bourgeois-Tacquet.

LES MAUVAIS GARÇONS, Élie Girard : Frites, bières et récits de «dates» Tinder… Délaissés par leur meilleur ami en passe d’être papa, deux trentenaires tentent de réinventer leur amitié.

PAULINE ASSERVIE, Charline Bourgeois-Tacquet : Pauline n’a aucune nouvelle de Bruce, l’homme marié avec lequel elle a une histoire. En vacances à la campagne avec son amie Violette, elle va passer tout le séjour à attendre… un texto. En expérimentant les mille et une phases de l’obsession amoureuse.",France,2021,New Story,Long métrage,Français,-,,Couleur,151411,4.2,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=299491.html
2022-01-05,257754,Licorice Pizza,,5 janvier 2022,2h 14min,"Comédie, Drame, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Bradley Cooper","1973, dans la région de Los Angeles. Alana Kane et Gary Valentine font connaissance le jour de la photo de classe au lycée du garçon. Alana n’est plus lycéenne, mais tente de trouver sa voie tout en travaillant comme assistante du photographe. Gary, lui, a déjà une expérience d’acteur, ce qu’il s’empresse de dire à la jeune fille pour l’impressionner. Amusée et intriguée par son assurance hors normes, elle accepte de l’accompagner à New York pour une émission de télévision. Mais rien ne se passe comme prévu…",U.S.A.,2021,Universal Pictures International France,Long métrage,Anglais,-,364 796 entrées,Couleur,156124,4.5,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=257754.html
2022-01-05,264475,355,The 355,5 janvier 2022,2h 03min,"Action, Espionnage, Thriller",Simon Kinberg,"Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan",Une arme technologique capable de prendre le contrôle de réseaux informatiques tombe entre de mauvaises mains. Les agences de renseignements du monde entier envoient leurs agentes les plus redoutables là où l’arme destructrice a été localisée : à Paris. Leur mission : empêcher des organisations terroristes ou gouvernementales de s’en emparer pour déclencher un conflit mondial. Les espionnes vont devoir choisir entre se combattre ou s’allier…,U.S.A.,2021,SND,Long métrage,"Anglais, Français",-,229 708 entrées,Couleur,154138,2.8,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=264475.html
2022-01-05,292997,Rosy,,5 janvier 2022,1h 27min,Documentaire,Marine Barnérias,"Anne-Sophie Bion, Marine Barnérias",,"Marine, jeune étudiante de 21 ans, apprend qu’elle est atteinte d’une sclérose en plaques, une maladie auto-immune incurable. Le choc de l'annonce, l'urgence de la situation et le besoin de prendre une décision quant au traitement à suivre, la poussent à trouver une solution en elle... Elle décide de partir pour un long voyage initiatique dans 3 pays : la Nouvelle-Zélande pour redécouvrir son corps, la Birmanie pour apaiser son esprit et la Mongolie pour renouer avec son âme. À travers des expériences inoubliables, Marine part à la rencontre d'elle-même et d'un nouvel équilibre avec cette sclérose qu’elle surnomme Rosy.",France,2021,Gaumont Distribution,Long métrage,Français,-,38 803 entrées,Couleur,152075,3.1,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=292997.html
2022-01-05,283587,Mes frères et moi,,5 janvier 2022,1h 48min,Drame,Yohan Manca,Yohan Manca,"Maël Rouin Berrandou, Judith Chemla, Dali Benssalah","Librement inspiré de la pièce de théâtre Pourquoi mes frères et moi on est parti… de Hédi Tillette de Clermont-Tonnerre.

Nour a 14 ans. Il vit dans un quartier populaire au bord de la mer. Il s'apprête à passer un été rythmé par les mésaventures de ses grands frères, la maladie de sa mère et des travaux d'intérêt général. Alors qu’il doit repeindre un couloir de son collège, il rencontre Sarah, une chanteuse lyrique qui anime un cours d’été. Une rencontre qui va lui ouvrir de nouveaux horizons...",France,2021,Ad Vitam,Long métrage,Français,-,116 865 entrées,Couleur,152097,3.7,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=283587.html
2022-01-05,288926,Luzzu,,5 janvier 2022,1h 34min,Drame,Alex Camilleri,Alex Camilleri,"Jesmark Scicluna, Michela Farrugia, David Scicluna","De générations en générations la famille de Jesmark pêche à bord du Luzzu, bateau en bois traditionnel maltais. Mais Jesmark voit son avenir menacé par la raréfaction des récoltes et l’ascension d’une pêche industrielle impitoyable. Pour subvenir aux besoins de sa femme et de son fils, le jeune homme va peu à peu se compromettre dans le marché noir de la pêche.",Malte,2021,Epicentre Films,Long métrage,"Anglais, Autre",-,4 930 entrées,Couleur,155902,3.1,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=288926.html
2022-01-05,876,Le Messager,The Go-Between,15 mai 1971,1h 56min,Drame,Joseph Losey,Harold Pinter,"Julie Christie, Alan Bates, Dominic Guard",Un jeune garcon de milieu modeste est invite par son camarade de classe dans une famille de l'aristocratie britannique. Il va servir de messager a la jeune fille de la maison qui vit des amours impossibles.,Grande-Bretagne,1971,Les Acacias,Long métrage,Anglais,-,,Couleur,-,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=876.html
2022-01-05,23,Neige,,20 mai 1981,1h 30min,Drame,"Jean-Henri Roger, Juliet Berto",Marc Villard,"Jean-François Stévenin, Juliet Berto, Robert Liensol","Anita, elle est barmaid à « La Vielleuse », elle a un grand cœur. Willy lui, Anita il l’aime et c’est pas tous les jours facile. Jocko est antillais, pour vivre son exil, son « truc » c’est l’église de la Sainte-Trinité dont il est le Pasteur. Tous les trois, ils vivent sur les 800 mètres de boulevard entre Barbès et Pigalle. Bobby c’est le môme du quartier, il fait profession de « dealer ». Anita l’a presque élevé et elle ferait tout pour le protéger. Anita et ses deux copains, ils vont vite apprendre le prix du gramme d’héroine.","France, Belgique",1981,JHR Films,Long métrage,Français,-,,Couleur,53532,3.6,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=23.html
2022-01-05,280201,Twist À Bamako,,5 janvier 2022,2h 09min,"Drame, Historique",Robert Guédiguian,"Robert Guédiguian, Gilles Taurand","Stéphane Bak, Alice Da Luz Gomes, Saabo Balde","1962. Le Mali goûte son indépendance fraîchement acquise et la jeunesse de Bamako danse des nuits entières sur le twist venu de France et d'Amérique. Samba, le fils d'un riche commerçant, vit corps et âme l'idéal révolutionnaire : il parcourt le pays pour expliquer aux paysans les vertus du socialisme. C'est là, en pays bambara, que surgit Lara, une jeune fille mariée de force, dont la beauté et la détermination bouleversent Samba. Samba et Lara savent leur amour menacé. Mais ils espèrent que, pour eux comme pour le Mali, le ciel s'éclaircira...","France, Canada, Sénégal",2021,Diaphana Distribution,Long métrage,Français,-,127 118 entrées,Couleur,152160,3.6,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=280201.html
