semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2022-03-09,281976,Goliath,,9 mars 2022,2h 02min,Thriller,Frédéric Tellier,"Frédéric Tellier, Simon Moutaïrou","Gilles Lellouche, Pierre Niney, Emmanuelle Bercot","France, professeure de sport le jour, ouvrière la nuit, milite activement contre l’usage des pesticides. Patrick, obscur et solitaire avocat parisien, est spécialiste en droit environnemental. Mathias, lobbyiste brillant et homme pressé, défend les intérêts d’un géant de l’agrochimie. Suite à l’acte radical d’une anonyme, ces trois destins, qui n’auraient jamais dû se croiser, vont se bousculer, s’entrechoquer et s’embraser.",France,2021,StudioCanal,Long métrage,Français,-,779 707 entrées,Couleur,144264,3.6,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=281976.html
2022-03-09,284817,Kung-Fu Zohra,,9 mars 2022,1h 38min,"Action, Arts Martiaux, Comédie",Mabrouk el Mechri,Mabrouk el Mechri,"Sabrina Ouazani, Ramzy Bedia, Eye Haïdara","Persuadée qu’une rupture briserait le cœur de sa petite fille, Zohra n’arrive pas à quitter son mari Omar malgré les violences qu’elle subit. C’est alors qu’elle rencontre un maître de Kung-Fu qui va lui apprendre à se défendre et à rendre désormais coup pour coup !",France,2020,Gaumont Distribution,Long métrage,Français,-,43 501 entrées,Couleur,152078,2.9,1.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=284817.html
2022-03-09,42303,Permis de construire,,9 mars 2022,1h 33min,Comédie,Eric Fraticelli,Eric Fraticelli,"Didier Bourdon, Eric Fraticelli, Anne Consigny","Dentiste à Paris, Romain vient de perdre son père qu'il n'a pas vu depuis des années. A sa grande surprise, ce dernier lui a laissé un terrain en héritage, ainsi qu'une dernière volonté : y faire construire la maison où il aurait aimé finir ses jours. Seul problème: ce terrain se situe en Corse.",France,2020,Warner Bros. France,Long métrage,Français,-,562 816 entrées,Couleur,-,1.8,2.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=42303.html
2022-03-09,282220,A demain mon amour,,9 mars 2022,1h 32min,Documentaire,Basile Carré-Agostini,Basile Carré-Agostini,leur livre Le Président des rich Lire plus,"Monique et Michel Pinçon-Charlot, sociologues de la grande bourgeoisie, passent beaucoup de temps dans leur pavillon fleuri de banlieue parisienne. Ils s’aiment depuis plus de 50 ans, ont une retraite confortable dont ils pourraient profiter paisiblement. Mais, comme ils sont un peu dingues et sensibles à l’injustice, ils ont décidé d’accélérer leur combat contre le système capitaliste planétaire.",France,2022,Jour2fête,Long métrage,Français,-,13 480 entrées,Couleur,152906,3.5,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=282220.html
2022-03-09,276329,Petite Nature,,9 mars 2022,1h 35min,"Comédie, Drame",Samuel Theis,Samuel Theis,"Aliocha Reinert, Antoine Reinartz, Mélissa Olexa","Johnny a dix ans. Mais à son âge, il ne s’intéresse qu’aux histoires des adultes. Dans sa cité HLM en Lorraine, il observe avec curiosité la vie sentimentale agitée de sa jeune mère. Cette année, il intègre la classe de Monsieur Adamski, un jeune titulaire qui croit en lui et avec lequel il pousse la porte d’un nouveau monde.",France,2021,Ad Vitam,Long métrage,Français,-,80 181 entrées,Couleur,149783,4.1,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=276329.html
2022-03-09,290397,La Mif,,9 mars 2022,1h 50min,Drame,Frédéric Baillif,Frédéric Baillif,"Claudia Grob, Anaïs Uldry, Kassia da Costa","Au cœur d’un foyer d’accueil, une bande d’adolescentes vivent avec leurs éducateurs. Comme une famille, elle ne se sont pas choisies et elles vivent sous le même toit. Lorsqu’un fait divers met le feu aux poudres, c’est tout un système sclérosé et rétrograde qui se révèle au grand jour.",Suisse,2021,L'Atelier Distribution,Long métrage,Français,-,2 622 entrées,Couleur,156473,3.4,2.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=290397.html
2022-03-09,283722,Murder Party,,9 mars 2022,1h 43min,"Comédie, Policier",Nicolas Pleskof,"Nicolas Pleskof, Elsa Marpeau","Alice Pol, Miou-Miou, Eddy Mitchell","Jeanne Chardon-Spitzer, brillante architecte, se voit confier la réhabilitation du somptueux manoir des Daguerre, étrange famille à la tête d’un empire du jeu de société. Quand César, le patriarche, est retrouvé assassiné en pleine Murder Party, Jeanne est entraînée dans un jeu d’enquête grandeur nature pour démasquer le meurtrier.",France,2021,Bac Films,Long métrage,Français,3 500 000,72 584 entrées,Couleur,147214,2.9,2,https://www.allocine.fr/film/fichefilm_gen_cfilm=283722.html
2022-03-09,278096,Sans Frapper,,9 mars 2022,1h 25min,Documentaire,Alexe Poukine,Alexe Poukine,,"Ada a dix-neuf ans. Elle accepte d’aller dîner chez un garçon qu’elle connaît. Tout va très vite, elle ne se défend pas. Son corps est meurtri, son esprit diffracté. Le récit d’Ada se mélange à ceux d’autres, tous différents et pourtant semblables. La même sale histoire, insensée et banale, vue sous différents angles.","France, Belgique",2019,La Vingt-Cinquième Heure,Long métrage,Français,-,739 entrées,Couleur,152384,4,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=278096.html
2022-03-09,281303,Bergen,,14 mars 2022,2h 26min,"Biopic, Drame","Mehmet Binay, Caner Alper",Sema Kaygusuz,"Farah Zeynep Abdullah, Erdal Beşikçioğlu, Tilbe Saran","",Turquie,2022,-,Long métrage,Turc,-,,Couleur,-,,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=281303.html
2022-03-09,294782,Ma nuit,,9 mars 2022,1h 27min,Drame,Antoinette Boulat,Antoinette Boulat,"Lou Lampros, Tom Mercier, Carmen Kassovitz","Marion, dix-huit ans, vit avec le souvenir d’une sœur trop tôt disparue. Une nuit, elle croise le chemin d’Alex, un jeune homme spontané et libre. Ils unissent leur solitude et traversent Paris jusqu’au petit matin.","France, Belgique",2021,Epicentre Films,Long métrage,Français,-,2 303 entrées,Couleur,152961,3.2,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=294782.html
