semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2017-12-27,110096,"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",No Country For Old Men,23 janvier 2008,2h 02min,"Drame, Policier, Thriller, Western","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin","A la frontière qui sépare le Texas du Mexique, les trafiquants de drogue ont depuis longtemps remplacé les voleurs de bétail. Lorsque Llewelyn Moss tombe sur une camionnette abandonnée, cernée de cadavres ensanglantés, il ne sait rien de ce qui a conduit à ce drame. Et quand il prend les deux millions de dollars qu'il découvre à l'intérieur du véhicule, il n'a pas la moindre idée de ce que cela va provoquer...

Moss a déclenché une réaction en chaîne d'une violence inouïe que le shérif Bell, un homme vieillissant et sans illusions, ne parviendra pas à contenir...",U.S.A.,2007,Mary-X Distribution,Long métrage,"Anglais, Espagnol",30 000 000 USD,925 055 entrées,Couleur,-,4.6,4.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=110096.html
2017-12-27,254521,Tout l'argent du monde,All The Money In The World,27 décembre 2017,2h 13min,"Drame, Thriller",Ridley Scott,David Scarpa,"Michelle Williams, Christopher Plummer, Mark Wahlberg","Rome, 1973. Des hommes masqués kidnappent Paul, le petit-fils de J. Paul Getty, un magnat du pétrole connu pour son avarice, mais aussi l'homme le plus riche du monde. Pour le milliardaire, l'enlèvement de son petit-fils préféré n'est pas une raison suffisante pour qu’il se sépare d’une partie de sa fortune. 

Gail, la mère de Paul, femme forte et dévouée, va tout faire pour obtenir la libération de son fils. Elle s’allie à Fletcher Chace, le mystérieux chef de la sécurité du milliardaire et tous deux se lancent dans une course contre la montre face à des ravisseurs déterminés, instables et brutaux. ",U.S.A.,2017,Metropolitan FilmExport,Long métrage,Anglais,-,279 738 entrées,Couleur,147912,2.9,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=254521.html
2017-12-27,250465,Momo,,27 décembre 2017,1h 26min,Comédie,"Sébastien Thiery, Vincent Lobelle",Sébastien Thiery,"Christian Clavier, Catherine Frot, Sébastien Thiery","Un soir, en rentrant chez eux, Monsieur et Madame Prioux découvrent avec stupéfaction qu’un certain Patrick s’est installé chez eux. Cet étrange garçon est revenu chez ses parents pour leur présenter sa femme. Les Prioux, qui n’ont jamais eu d’enfant, tombent des nues… D’autant que tout semble prouver que Patrick est bien leur fils. Patrick est-il un mythomane ? Un manipulateur ? Les Prioux ont-ils oublié qu’ils avaient un enfant ? Madame Prioux, qui souffre de ne pas être mère, s’invente-t-elle un fils ?",France,2017,Mars Films,Long métrage,Français,-,626 989 entrées,Couleur,145785,2.3,1.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=250465.html
2017-12-27,255768,L'Echange des Princesses,,27 décembre 2017,1h 44min,"Drame, Historique",Marc Dugain,"Marc Dugain, Chantal Thomas","Lambert Wilson, Anamaria Vartolomei, Olivier Gourmet","1721. Une idée audacieuse germe dans la tête de Philippe d’Orléans, Régent de France… Louis XV, 11 ans, va bientôt devenir Roi et un échange de princesses permettrait de consolider la paix avec l’Espagne, après des années de guerre qui ont laissé les deux royaumes exsangues.

Il marie donc sa fille, Mlle de Montpensier, 12 ans, à l’héritier du trône d’Espagne, et Louis XV doit épouser l’Infante d’Espagne, Anna Maria Victoria, âgée de 4 ans.

Mais l’entrée précipitée dans la cour des Grands de ces jeunes princesses, sacrifiées sur l’autel des jeux de pouvoirs, aura raison de leur insouciance…","France, Belgique",2017,Ad Vitam,Long métrage,Français,-,368 862 entrées,Couleur,144327,3.6,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=255768.html
2017-12-27,246624,Heartstone - Un été islandais,Hjartasteinn,27 décembre 2017,2h 09min,Drame,Gudmundur Arnar Gudmundsson,Gudmundur Arnar Gudmundsson,"Baldur Einarsson, Blær Hinriksson, Diljá Valsdóttir","Un village isolé de pêcheurs en Islande. Deux adolescents, Thor et Christian, vivent un été mouvementé. Tandis que l’un tente de conquérir le coeur d’une fille, l’autre se découvre éprouver des sentiments pour son meilleur ami. À la fin de l’été, lorsque la nature sauvage reprend ses droits sur l’île, il est temps de quitter le terrain de jeu et de devenir adulte…",Islande,2016,Outplay Films,Long métrage,Islandais,-,12 093 entrées,Couleur,147973,3.3,4,https://www.allocine.fr/film/fichefilm_gen_cfilm=246624.html
2017-12-27,236998,Pitch Perfect 3,,27 décembre 2017,1h 36min,"Comédie, Musical",Trish Sie,"Kay Cannon, Mike White","Anna Kendrick, Rebel Wilson, Hailee Steinfeld","Après avoir remporté les championnats du monde, les Bellas se retrouvent séparées et réalisent qu’il n’existe pas de perspective de travail qui permette de faire de la musique avec sa bouche. Mais lorsqu’on leur offre la chance de se retrouver une nouvelle fois sur scène pour une tournée à l’étranger, ce groupe de nerds se réunit pour une dernière nouvelle aventure musicale.",U.S.A.,2017,Universal Pictures International France,Long métrage,Anglais,-,196 236 entrées,Couleur,147865,2.1,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=236998.html
2017-12-27,244948,Kedi - Des chats et des hommes,Kedi,27 décembre 2017,1h 20min,Documentaire,Ceyda Torun,,,"Depuis des siècles, des centaines de milliers de chats vagabondent dans les rues d’Istanbul. Sans maîtres, ils vivent entre deux mondes, mi sauvages, mi domestiqués – et apportent joie et raison d’être aux habitants. KEDI raconte l’histoire de sept d’entre eux.","Turquie, U.S.A.",2016,Epicentre Films,Long métrage,Turc,-,79 046 entrées,Couleur,147803,3.3,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=244948.html
2017-12-27,255619,I Am Not a Witch,,27 décembre 2017,1h 34min,Drame,Rungano Nyoni,Rungano Nyoni,"Margaret Mulubwa, Henry B.J. Phiri, Nancy Mulilo","Shula, 9 ans, est accusée de sorcellerie par les habitants de son village et envoyée dans un camp de sorcières. Entourée de femmes bienveillantes, condamnées comme elle par la superstition des hommes, la fillette se croit frappée d’un sortilège : si elle s’enfuit, elle sera maudite et se transformera en chèvre... Mais la petite Shula préfèrera-t-elle vivre prisonnière comme une sorcière ou libre comme une chèvre ?","Grande-Bretagne, France, Zambie",2017,Pyramide Distribution,Long métrage,Dialecte africain,-,39 620 entrées,Couleur,147885,3.6,3.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=255619.html
2017-12-27,249609,The Wedding Plan,Laavor et Hakir,27 décembre 2017,1h 50min,"Comédie, Romance",Rama Burshtein-Shay,Rama Burshtein-Shay,"Noa Koler, Amos Tamam, Oz Zehavi","À 32 ans, Michal est enfin heureuse : tout est prêt pour qu’elle s’unisse à l’homme de sa vie. Un mois avant le jour J, quand il lui avoue qu’il ne l’aime pas, Michal est au bord de la crise de nerfs. Bien décidée à abandonner son statut de célibataire qui lui colle à la peau, Michal continue ses préparatifs comme si de rien n’était. Elle le sait, car Dieu l’a prévu : elle se mariera le huitième soir de Hanouka. Elle a la robe, le traiteur, le lieu de la fête… après tout, il lui reste 30 jours pour trouver un mari !",Israël,2016,Mag Distribution,Long métrage,Hébreu,-,15 421 entrées,Couleur,147355,3.1,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=249609.html
2017-12-27,255684,Le Rire de madame Lin,Last Laugh,27 décembre 2017,1h 22min,Drame,Zhang Tao,Zhang Tao,"Yu Fengyuan, Li Fengyun, Chen Shilan","Dans un village du Shandong, une vieille paysanne fait une chute. Immédiatement, ses enfants en profitent pour la déclarer inapte et l’inscrivent malgré elle dans un hospice. En attendant qu’une place se libère, la doyenne séjourne chez chacun de ses enfants, alors qu’aucun ne veut la prendre en charge. Elle voyage ainsi de famille en famille, tandis que son état de santé et ses rapports familiaux se dégradent. Un rire désespéré et maladif finit par poindre chez cette vieille femme délaissée.","Hong-Kong, France, Chine",2017,Dulac Distribution,Long métrage,Chinois,-,16 472 entrées,Couleur,147387,3.3,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=255684.html
