"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2014-08-06,186452,"Lucy",NA,"6 août 2014","1h 29min","Action, Science Fiction","Luc Besson","Luc Besson","Scarlett Johansson, Morgan Freeman, Min-sik Choi","A la suite de circonstances indépendantes de sa volonté, une jeune étudiante voit ses capacités intellectuelles se développer à l’infini. Elle « colonise » son cerveau, et acquiert des pouvoirs illimités.","France","2014","EuropaCorp Distribution","Long métrage","Anglais","40 000 000 USD","5 191 692 entrées","Couleur","138493",2.7,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=186452.html"
2014-08-06,220032,"Winter Sleep","Kış Uykusu","6 août 2014","3h 16min","Drame","Nuri Bilge Ceylan","Nuri Bilge Ceylan, Ebru Ceylan","Haluk Bilginer, Melisa Sözen, Demet Akbağ","Aydin, comédien à la retraite, tient un petit hôtel en Anatolie centrale avec sa jeune épouse Nihal, dont il s’est éloigné sentimentalement, et sa sœur Necla qui souffre encore de son récent divorce. En hiver, à mesure que la neige recouvre la steppe, l’hôtel devient leur refuge mais aussi le théâtre de leurs déchirements...","Turquie, France, Allemagne","2013","Memento","Long métrage","Anglais, Turc","-","360 028 entrées","Couleur","136774",3.8,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=220032.html"
2014-08-06,5140,"L'Homme qui tua Liberty Valance","The Man Who Shot Liberty Valance","3 octobre 1962","2h 03min","Western","John Ford","James Warner Bellah, Willis Goldbeck","John Wayne, James Stewart, Lee Marvin","Un homme politique reconnu, Ransom Stoddad, assiste à l'enterrement de son ami Tom Doniphon avec sa femme. C'est pour lui l'occasion de revenir avec un journaliste sur les moments importants de sa vie, notamment son arrivée dans l'Ouest, l'arrestation de sa diligeance par le célèbre bandit Liberty Valance, sa volonté de se venger de celui-ci. Jadis, Donophon était devenu son allié...","U.S.A.","1962","Swashbuckler Films","Long métrage","Anglais","3 200 000 USD",NA,"N&B","-",4.9,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=5140.html"
2014-08-06,117,"Autopsie d'un meurtre","Anatomy of a Murder","14 octobre 1959","2h 40min","Drame, Policier, Thriller","Otto Preminger","Wendell Mayes","James Stewart, Lee Remick, Ben Gazzara","L'avocat Paul Biegler reçoit un coup de téléphone de Laura Manion lui demandant d'assurer la défense de son mari. Le lieutenant Frederik Manion a tué un propriétaire de bar qui avait violé sa femme. Biegler accepte de le défendre. Le procès commence et la vérité a du mal à émerger, d'ailleurs les avocats et les juges, s'affrontant dans des batailles juridiques, en sont en réalité peu soucieux.","U.S.A.","1959","Park Circus France","Long métrage","Anglais","-",NA,"N&B","-",4,4.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=117.html"
2014-08-06,196199,"Nos pires voisins","Neighbors","6 août 2014","1h 37min","Comédie","Nicholas Stoller","Andrew Jay Cohen, Brendan O'Brien","Seth Rogen, Rose Byrne, Zac Efron","À première vue, les jeunes parents que sont Mac et Kelly Radner vivent le parfait rêve américain,avec leur adorable petite Stella et une maison fraîchement (et difficilement) acquise dans un charmant quartier résidentiel. Ce qui n’empêche pas les jeunes trentenaires de se considérer toujours aussi hype et cool. Pourtant, cette nouvelle étape, dans la vie de ces fêtards pas tout à fait repentis, va s’avérer délicate à gérer et les obliger à négocier leur entrée dans un âge adulte pleinement assumé. Quand ils découvrent que leurs nouveaux voisins ne sont autres que les membres fervents et débridés d’une confrérie étudiante, menés par le charismatique Teddy, ils essaient d’abord de s’assurer leur sympathie et leur respect, en tirant le meilleur de cette situation quelque peu inconfortable. Mais la fiesta et les frasques incessantes des étudiants poussent le couple à se montrer plus virulent pour protéger leur territoire et leur tranquillité, et ce qui n’était que des enfantillages dégénère rapidement en un conflit épique de générations.","U.S.A.","2014","Universal Pictures International France","Long métrage","Anglais","18 000 000 USD","723 290 entrées","Couleur","139915",2.2,2.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=196199.html"
2014-08-06,2147,"Bunny Lake a disparu","Bunny Lake Is Missing","9 mars 1966","1h 47min","Drame, Policier, Thriller","Otto Preminger","John Mortimer, Penelope Mortimer","Carol Lynley, Keir Dullea, Martita Hunt","Ann Lake vient d'emménager à Londres avec sa fille Bunny. Alors qu’elle va la chercher à l'école, la jeune fille est introuvable et personne ne semble se souvenir d'elle. Chargé de l'enquête, le lieutenant Newhouse découvre qu'Ann avait une amie imaginaire prénommée Bunny. Il se met alors à sérieusement douter de l’existence de la fillette...","U.S.A., Grande-Bretagne","1965","Park Circus France","Long métrage","Anglais","-",NA,"N&B","-",NA,4.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=2147.html"
2014-08-06,224370,"Opération Casse-noisette","The Nut Job","6 août 2014","1h 22min","Animation, Comédie, Famille","Peter Lepeniotis","Peter Lepeniotis, Lorne Cameron","Will Arnett, Brendan Fraser, Liam Neeson","Surly est un écureuil malin et ingénieux. A peine débarqué en ville, il repère un magasin de noix avec un stock suffisant pour nourrir tous les animaux de la forêt pendant l’hiver. Mais pour pénétrer cette forteresse, il va avoir besoin d’aide. Assisté de ses amis, il va mettre au point un plan rocambolesque pour organiser le vol du siècle. Evidemment, rien ne va se passer comme prévu…","Canada, Corée du Sud, U.S.A.","2014","SND","Long métrage","Anglais","-","1 192 627 entrées","Couleur","139833",2.6,2.7,"https://www.allocine.fr/film/fichefilm_gen_cfilm=224370.html"
2014-08-06,5368,"Sacco et Vanzetti","Sacco e Vanzetti","31 mai 1971","2h 00min","Drame, Historique","Giuliano Montaldo","Fabrizio Onofri, Giuliano Montaldo","Gian Maria Volontè, Riccardo Cucciolla, Cyril Cusack","New York, 1920. Deux Italiens, Nicolas Sacco, cordonnier, et Bartolomeo Vanzetti, marchand de poissons anarchiste, sont arrêtés et accusés du meurtre de deux hommes commis au cours d'un hold-up. Fred Moore, leur avocat, démontre leur innocence mais le procureur et le juge développent une argumentation imprégnée de xénophobie et de paranoïa antibolchevique. Le jury condamne à mort les deux Italiens.","France, Italie","1971","-","Long métrage","Anglais, Italien","-",NA,"Couleur et N&B","37936",NA,4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=5368.html"
2014-08-06,200756,"Colt 45",NA,"6 août 2014","1h 27min","Thriller","Fabrice Du Welz","Fathi Beddiar, Fabrice Du Welz","Gérard Lanvin, JoeyStarr, Alice Taglioni","Armurier et instructeur de tir à la Police Nationale, Vincent Milès est expert en tir de combat. À seulement 25 ans, ses compétences sont enviées par les élites du monde entier mais dans la plus grande incompréhension de la part de ses collègues, Vincent refuse obstinément d’intégrer une brigade de terrain. Son destin bascule le jour où il fait la connaissance de Milo Cardena, un flic trouble, qui va l’entraîner dans une incontrôlable spirale de violence, plaçant Vincent au centre d’une série d’attaques à main armée, de meurtres et d’une féroce guerre des polices opposant son parrain, le commandant Chavez de la BRB, à son mentor, le commandant Denard de la BRI. Pris au piège d’une véritable poudrière, Vincent n’aura pas d’autre choix qu’embrasser son côté obscur pour survivre…","France, Belgique","2014","Warner Bros. France","Long métrage","Anglais, Français","-","65 387 entrées","Couleur","131971",2,2.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=200756.html"
2014-08-06,221661,"Détective Dee II : La Légende du Dragon des Mers","Di Renjie: Shen du long wang","6 août 2014","2h 14min","Action, Arts Martiaux, Aventure","Tsui Hark","Kuo-fu Chen, Chia-Lu Chang","Mark Chao, Feng Shaofeng, Carina Lau","L’impératrice Wu règne sur la dynastie Tang aux côtés de l’empereur Gaozong. Elle envoie sa flotte vers l’empire Baekje afin de soutenir cet allié de longue date, envahi par le belliqueux empire Buyeo. Mais, juste après leur départ, les navires sont attaqués par une mystérieuse et gigantesque créature surgie du fond des mers. Les habitants de Luoyang, la capitale orientale, pensent qu’il s’agit d’un dragon des mers.","Hong-Kong","2013","The Jokers / Le Pacte","Long métrage","Chinois","-","103 582 entrées","Couleur","139992",3.9,3.4,"https://www.allocine.fr/film/fichefilm_gen_cfilm=221661.html"
