semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
1971-09-15,52931,Charlie et la chocolaterie,Willy Wonka & the Chocolate Factory,15 septembre 1971,1h 40min,"Comédie, Famille, Fantastique",Mel Stuart,Roald Dahl,"Gene Wilder, Jack Albertson, Peter Ostrum","Charlie, enfant issu d'une famille pauvre. Travaillant pour subvenir aux besoins des siens, il doit économiser chaque penny, et ne peut s'offrir les friandises dont raffolent les enfants de son âge. Pour obtenir son comptant de sucreries, il participe à un concours organisé par l'inquiétant Willy Wonka, le propriétaire de la fabrique de chocolat de la ville. Celui qui découvrira l'un des cinq tickets d'or que Wonka a caché dans les barres de chocolat de sa fabrication gagnera une vie de sucreries.",U.S.A.,1971,Warner Bros. France,Long métrage,Anglais,3 000 000 USD,,Couleur,-,3,3.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=52931.html
1971-09-15,34986,La Veuve Couderc,,15 septembre 1971,1h 29min,"Drame, Romance",Pierre Granier-Deferre,,"Alain Delon, Simone Signoret, Ottavia Piccolo","Jean vient de passer cinq années en prison pour meurtre. Désormais, il est libre et sans aucune attache. Il trouve refuge chez la veuve Couderc, dite Tati, une vieille paysanne qui vit dans une ferme et qu'il a croisée dans un bus de campagne. Jean travaille pour elle et ils entretiennent une relation purement sexuelle. Cette vie calme et sans passion est troublée par la rencontre avec une jeune voisine très séduisante, Félicie, qui provoque le désir de Jean et la jalousie de Tati.","France, Italie",1971,-,Long métrage,Français,-,,Couleur,38402,,3.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=34986.html
1971-09-15,44211,Soleil Rouge,,15 septembre 1971,2h 10min,"Action, Western",Terence Young,"Laird Koenig, William Roberts","Charles Bronson, Ursula Andress, Toshirô Mifune","En 1871, un ambassadeur de l'Empereur japonais et ses deux gardes du corps, Kuroda et Namuro, traversent l'Ouest américain à bord d'un train qui les ménèra à la rencontre du Président des Etats-Unis. L'ambassadeur a pour mission d'offrir à son hôte un objet d'une valeur inestimable : un sabre de samouraï. Malheureusement, le convoi transporte également de l'or et est la cible de deux bandits sans foi ni loi, Gotch et Link. Ceux-ci parviennent à subtiliser la cargaison et dérobent par la même occasion le précieux cadeau... Gotch, réalisant le montant du larcin, n'hésite d'ailleurs pas une seconde à trahir Link et à s'enfuir avec le butin. Link va alors joindre ses forces avec Kuroda afin de retrouver le sabre et l'or.","France, Espagne, Italie",1971,-,Long métrage,"Anglais, Japonais",-,,Couleur,-,,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=44211.html
1971-09-15,60799,La Grande maffia,,17 septembre 1971,1h 30min,Comédie,Philippe Clair,Philippe Clair,"Francis Blanche, Aldo Maccione, Michel Galabru",Un directeur de banque est victime d'une crise cardiaque à l'instant où le gangster qui fait un hold-up dans son établissement est abattu. On greffe le coeur du second au premier.,"France, Italie",1971,-,Long métrage,Français,-,,Couleur,-,,1.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=60799.html
1971-09-15,210195,Si tu crois fillette,Pretty Maids All in a Row,17 septembre 1971,,"Comédie, Policier, Thriller",Roger Vadim,Gene Roddenberry,"Rock Hudson, Angie Dickinson, Telly Savalas","Un étudiant est obsédé par le sexe. Heureusement, il rencontre beaucoup de femmes. Malheureusement, elles vont toutes mourir...",U.S.A.,1971,-,Long métrage,Anglais,-,,Couleur,-,,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=210195.html
