semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
1971-04-28,446,Le Souffle au coeur,,28 avril 1971,1h 59min,Drame,Louis Malle,Louis Malle,"Lea Massari, Benoit Ferreux, Daniel Gélin","Dijon 1954. Une famille bourgeoise. Laurent, 15 ans, vit avec son père, ses deux frères et sa mère, Clara. Sa vie se déroule en une suite de faits plus ou moins notables jusqu'au jour où il est atteint d'un souffle au coeur. Il part en compagnie de sa mère faire une cure dans le Morvan. Un tendre marivaudage s'instaure alors entre eux.","France, Italie, Allemagne de l'Ouest",1971,Malavida Films,Long métrage,"Français, Italien",-,,Couleur,37423,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=446.html
1971-04-28,185712,Chacun pour soi,Ognuno per sé,28 avril 1971,1h 40min,Western,Giorgio Capitani,"Augusto Caminito, Fernando Di Leo","Van Heflin, Gilbert Roland, Klaus Kinski",Quatre hommes se lancent dans une mission pour déterrer une fortune en or dans une mine.,"Italie, Allemagne de l'Ouest",1968,-,Long métrage,Italien,-,,Couleur,-,,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=185712.html
1971-04-28,1210,La Nouvelle Babylone,Novyy Vavilon,30 avril 1971,1h 10min,"Drame, Historique","Grigoriy Kozintsev, Leonid Trauberg","Grigoriy Kozintsev, Leonid Trauberg","Sergey Gerasimov, Yanina Zheymo, Vsevolod Pudovkin",La Commune de Paris racontée par l'employé d'un grand magasin.,Russie,1929,-,Long métrage,Russe,-,,N&B,-,,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=1210.html
