semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url
2026-04-08,1000012412,Cocorico 2,,8 avril 2026,1h 31min,Comédie,Julien Hervé,Julien Hervé,"Christian Clavier, Didier Bourdon, Sylvie Testud","Après avoir découvert la vérité sur leurs origines, grâce à des tests ADN aux résultats pour le moins surprenants, les Bouvier-Sauvage et les Martin décident d’enterrer la hache de guerre, pour organiser le mariage de leurs enfants. Mais c’était sans compter sur un imprévu de taille : un cousin de Frédéric a été retrouvé grâce aux tests… Révélant que les résultats étaient erronés. Les deux familles vont découvrir que leurs ancêtres n’ont pas fini de les surprendre !",France,2026,SND,Long métrage,Français,-,662 347 entrées,Couleur,165388,2.5,2,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000012412.html
2026-04-08,1000023671,L'Enfant Du Désert,,8 avril 2026,1h 32min,"Aventure, Famille",Gilles de Maistre,"Gilles de Maistre, Prune de Maistre","Nahel Tran, Zayn Sekkat, Nahïl Bouazzaoui","Sun, âgée de 14 ans, a publié un livre inspiré d'une histoire que son grand-père lui racontait : l'incroyable histoire d'Hadara, un enfant nomade perdu par sa famille à l’âge de 2 ans dans une tempête de sable dans le désert, qui a ensuite été recueilli et élevé par un couple d’autruches. Mais lorsque Sun est invitée à visiter le Sahara, elle se rend compte qu'Hadara est peut-être plus qu'une simple histoire pour s'endormir.",France,2026,StudioCanal,Long métrage,Français,-,360 966 entrées,Couleur,161691,2.4,3.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000023671.html
2026-04-08,1000017983,La Femme de,,8 avril 2026,1h 33min,Drame,David Roux,"David Roux, Gaëlle Macé","Mélanie Thierry, Eric Caravaca, Arnaud Valois","Voilà Marianne aujourd’hui : femme d’un riche industriel, enviée et admirée, épouse modèle et mère de famille dévouée. Elle va avoir 40 ans et le confort de la vaste demeure familiale a lentement refermé sur elle son piège impitoyable. Prisonnière d’un inextricable réseau d’obligations sociales, familiales et conjugales, complice de son propre effacement, elle a, sans même s’en apercevoir, renoncé à elle-même. Alors, quand resurgit l’ombre de son passé, une brèche s’ouvre. Une autre vie serait-elle possible ? Et à quel prix ?","France, Belgique",2025,Jour2fête,Long métrage,Français,-,94 304 entrées,Couleur,150312,3,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000017983.html
2026-04-08,304130,Romería,,8 avril 2026,1h 55min,Drame,Carla Simón,Carla Simón,"Llúcia Garcia, Mitch, Tristán Ulloa","Afin d’obtenir un document d’état civil pour ses études supérieures, Marina, adoptée depuis l’enfance, doit renouer avec une partie de sa véritable famille. Guidée par le journal intime de sa mère qui ne l’a jamais quittée, elle se rend sur la côte atlantique et rencontre tout un pan de sa famille paternelle qu’elle ne connait pas. L’arrivée de Marina va faire ressurgir le passé. En ravivant le souvenir de ses parents, elle va découvrir les secrets de cette famille, les non-dits et les hontes…","Espagne, Allemagne",2025,Ad Vitam,Long métrage,Catalan,-,119 867 entrées,Couleur,166193,3.8,3.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=304130.html
2026-04-08,1000007389,Sauvage,,8 avril 2026,1h 41min,Drame,Camille Ponsin,"Camille Ponsin, Jean-Baptiste Delafon","Céline Sallette, Lou Lampros, Bertrand Belin","Au cœur des Cévennes, Anja décide de vivre à l'écart des autres, au milieu des bois. Insaisissable et sauvage, elle bouleverse peu à peu l'équilibre de la vallée et de ses habitants. Sa mère reste son seul lien avec le monde extérieur... D'après une histoire vraie.",France,2025,Memento,Long métrage,Français,-,24 067 entrées,Couleur,156082,3.2,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000007389.html
2026-04-08,1000001305,Wedding Nightmare : deuxième partie,Ready or Not 2: Here I Come,8 avril 2026,1h 48min,"Epouvante-horreur, Thriller","Matt Bettinelli-Olpin, Tyler Gillett","Guy Busick, Ryan Murphy","Samara Weaving, Kathryn Newton, Sarah Michelle Gellar","Peu après avoir échappé à l’attaque sans merci de la famille Le Domas, Grace découvre qu’elle vient d’atteindre un nouveau niveau dans ce jeu cauchemardesque – et elle aura à ses côtés sa sœur dont elle s’était éloignée, Faith. Elle n’aura qu’une seule chance pour à la fois survivre, protéger sa sœur et revendiquer le Haut Siège du Conseil qui gouverne le monde. Cette fois, quatre familles rivales la traquent pour s’emparer du trône, et celle qui l’emportera aura le pouvoir absolu.",U.S.A.,2026,The Walt Disney Company France,Long métrage,Anglais,-,191 423 entrées,Couleur,166938,3.1,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001305.html
2026-04-08,1000022829,Le dernier pour la route,Le Città Di Pianura,8 avril 2026,1h 40min,Comédie dramatique,Francesco Sossai,"Francesco Sossai, Adriano Candiago","Filippo Scotti, Sergio Romano, Pierpaolo Capovilla","Carlobianchi et Doriano, deux cinquantenaires fauchés, errent la nuit en voiture de bar en bar, obsédés par l’idée d’un dernier verre, lorsqu’ils croisent la route de Giulio, un étudiant en architecture aussi timide que naïf. Entre confidences et gueule de bois, cette rencontre inattendue avec ces deux mentors improbables va bouleverser la vision que Giulio porte sur le monde, l’amour… et son avenir.","Italie, Allemagne",2025,New Story,Long métrage,Italien,-,19 818 entrées,Couleur,-,3.3,3.2,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000022829.html
2026-04-08,325350,Bisons,,8 avril 2026,1h 45min,Drame,Pierre Monnard,"Yves Patrick Delachaux, Emmanuelle Fournier-Lorentz","Maxime Valvini, Karim Barras, India Hair",Un jeune paysan champion de lutte suisse est entraîné par son frère dans une série de combats clandestins susceptibles de leur procurer l’argent qui permettrait de sauver la ferme familiale.,"Suisse, France",2024,Factoris Films,Long métrage,"Français, Allemand",-,,Couleur,158672,,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=325350.html
2026-04-08,327653,Le Cri des gardes,The Fence,8 avril 2026,1h 49min,Drame,Claire Denis,"Claire Denis, Suzanne Lindon","Isaach de Bankolé, Matt Dillon, Mia McKenna-Bruce","Un vaste chantier de travaux publics en Afrique de l’Ouest. Horn, le patron, et Cal, un jeune ingénieur, partagent une habitation provisoire derrière les doubles grilles de l’enceinte réservée aux blancs. Leone, future épouse de Horn, arrive d’Europe le soir même où un homme qui s’est introduit par effraction surgit derrière les grilles. Il s’appelle Alboury. Il ne quittera pas les lieux tant qu’on ne lui aura pas rendu le corps de son frère, mort sur le chantier.","France, Sénégal",2026,Les Films du Losange,Long métrage,"Anglais, Français",-,19 184 entrées,Couleur,163860,3.3,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=327653.html
2026-04-08,1000035658,L’Affaire Abdallah,,8 avril 2026,1h 41min,Documentaire,Pierre Carles,Pierre Carles,,"Le militant libanais Georges Abdallah a été incarcéré près de 41 ans en France. Ce résistant communiste pro-palestinien s'est vu affubler de l'étiquette ''terroriste''. À tort. Une incroyable fake news et de fortes pressions exercées par les États-Unis sur la France sont à l'origine de cette durée de détention hors-norme. À 74 ans, il a réussi à sortir de prison, debout, ses convictions politiques intactes.",France,2026,ASC Distribution,Long métrage,Français,-,,Couleur,157518,3.4,3.7,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000035658.html
