"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1989-12-06,5209,"Valmont",NA,"6 décembre 1989","2h 17min","Drame, Historique, Romance","Milos Forman","Jean-Claude Carrière","Colin Firth, Annette Bening, Meg Tilly","Rien ne résiste aux entreprises de séduction de la Marquise de Merteuil et du Vicomte de Valmont. Ni la jeune vertu de Cécile de Volanges, ni la pruderie de la présidente de Tourvel, ni les purs sentiments du Chevalier Danceny. Sous les lustres de l’Opéra et sous les frondaisons des parcs, dans le secret des alcôves et dans les lettres remises en cachette, la comédie de l’amour déploie ses jeux, ses masques et ses pièges. Mais au-delà de l’échiquier des stratégies libertines se tisse un réseau de tendresses et de désirs plus profonds.

Unis par leurs complots et leurs secrets, Merteuil et Valmont règnent sur les salons et les boudoirs de cette aristocratie qui ignore que sa fin approche. Tels deux seigneurs sur le même territoire, ces virtuoses de l’intrigue amoureuse finiront par s’affronter. Et dans ce duel sans merci, un sentiment sincère est une faille mortelle.","U.S.A., France","1989","Pathé Films","Long métrage","Anglais","-",NA,"Couleur","69080",NA,3.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=5209.html"
1989-12-06,28210,"Black Rain",NA,"6 décembre 1989","2h 05min","Action, Drame, Policier","Ridley Scott","Warren Lewis, Craig Bolotin","Michael Douglas, Andy Garcia, Ken Takakura","Un policier new-yorkais est chargé d'ecorter à Osaka un criminel japonais. Rapidement, ce dernier s'échappe. Le représentant de l'ordre va alors avoir beaucoup de mal à le retrouver dans un pays dont il ignore les us et coutumes.","U.S.A.","1989","United International Pictures (UIP)","Long métrage","Anglais, Japonais","45 645 000 USD",NA,"Couleur","70589",NA,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=28210.html"
1989-12-06,30695,"La Loi criminelle","Criminal Law","8 décembre 1989","1h 53min","Thriller","Martin Campbell","Mark Kasdan","Gary Oldman, Kevin Bacon, Tess Harper","Si l’avocat Ben Chase réussit à faire acquitter son client, Martin Thiel, un riche playboy accusé de plusieurs meurtres, il découvre au lendemain du verdict qu’il est vraiment coupable des abominations qu’on lui reprochait. Rongé par la culpabilité, il entreprend alors de le confondre. Il y a urgence car Thiel risque fort de repasser très prochainement à l’acte…","U.S.A.","1989","20th Century Studios","Long métrage","Anglais","-",NA,"Couleur","-",NA,2.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=30695.html"
1989-12-06,40376,"Rouge","Yim ji kau","6 décembre 1989","1h 37min","Drame, Fantastique, Romance","Stanley Kwan","Tai An-Ping Chiu, Lilian Lee","Leslie Cheung, Anita Mui, Alex Man","Hong Kong, 1934. Fleur est courtisane dans une maison close fréquentée par la haute société. Lorsqu’elle rencontre un séduisant client du nom de Chan Chen-Pang, le coup de foudre est immédiat. Alors qu’ils souhaitent officialiser leur union, les parents du jeune homme s’y opposent formellement. Les amants décident alors de se suicider ensemble, se promettant de se retrouver dans l’autre monde. Cinquante ans plus tard, en 1987, le fantôme de Fleur revient hanter Hong Kong à la recherche de son amour perdu, aidé dans sa quête par un couple de journalistes...","Hong-Kong","1987","Carlotta Films","Long métrage","Cantonais","-",NA,"Couleur","72174",NA,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=40376.html"
1989-12-06,284458,"Mission d'enfer","Act of Gangs","6 décembre 1989","1h 31min","Action, Guerre","Godfrey Ho","Godfrey Ho","Pat Carver, Tao Chiang, Mark Coston","Deux hommes s'évadent de prison, avec deux otages, pour tenter de retrouver un trésor. Ils sont poursuivis par deux groupes de soldats...","Hong-Kong","1988","-","Long métrage","Anglais","-",NA,"Couleur","-",NA,2.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=284458.html"
