"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
1990-10-10,29625,"Promotion canapé",NA,"10 octobre 1990","1h 32min","Comédie","Didier Kaminka","Claude Zidi, Didier Kaminka","Margot Abascal, Grace De Capitani, Thierry Lhermitte","Catherine et Françoise arrivent à Paris pour travailler dans l'administration des Postes. Au fur et à mesure de leur formation, elles découvrent que leur patrons utilisent le harcèlement sexuel pour accorder des faveurs et des postes plus intéressants à leurs salariées. Loin de s'en formaliser, Catherine et Françoise décident de se plier aux jeu et ainsi profiter de tous les avantages.","France","1990","Artistes Auteurs Associés (A.A.A.)","Long métrage","Français","-",NA,"Couleur","72850",NA,1.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=29625.html"
1990-10-10,6003,"Présumé innocent","Presumed Innocent","10 octobre 1990","2h 07min","Drame, Thriller","Alan J. Pakula","Frank Pierson, Alan J. Pakula","Harrison Ford, Brian Dennehy, Raúl Julia","Un brillant procureur se retrouve tout à coup accusé du meurtre d'une jeune et ambitieuse collègue avec laquelle il vient d'avoir une liaison orageuse.","U.S.A.","1990","Warner Bros. France","Long métrage","Anglais","-",NA,"Couleur","74775",NA,3.3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=6003.html"
1990-10-10,67231,"Metropolitan",NA,"10 octobre 1990","1h 38min","Comédie dramatique","Whit Stillman","Whit Stillman","Carolyn Farina, Edward Clements, Chris Eigeman","Manhattan, il n’y a pas si longtemps, à Noël...

Tom Townsend, un gauchiste des bas quartiers de New-York, s’introduit dans le cercle restreint de « la bande de Sally Fowler » (cinq filles et deux garçons) - des jeunes gens strictly Park Avenue, mais en manque cruel de chevaliers servants pour accompagner les débutantes aux bals du Plaza.

Bourgeois et cultivés, ceux-ci se réunissent lors d’after-parties pour tromper l’ennui, parler politique ou de Jane Austen, deviser sur leurs histoires d’amour ou sur l’inévitable déclin de leur classe.

Ou encore de l’avantage du col de chemise amovible.

Bienvenue dans la « Urban Haute Bourgeoisie ».","U.S.A.","1990","A3 Distribution","Long métrage","Anglais","225 000 USD",NA,"Couleur","74911",NA,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=67231.html"
1990-10-10,6053,"Henry & June",NA,"10 octobre 1990","2h 14min","Drame","Philip Kaufman","Philip Kaufman, Rose Kaufman","Fred Ward, Uma Thurman, Maria de Medeiros","Paris, 1931. Anaïs Nin vit une relation stable avec son mari Hugo. Seul son journal intime connaît ses pensées les plus secrètes, ses désirs les plus inavouables. Elle rencontre alors Henry Miller, écrivain encore inconnu, et sa femme June. Ce couple représente le style de vie libérée dont elle rêve depuis toujours. Elle va alors entraîner le couple dans une relation tourmentée, en ayant une aventure avec Henry Miller, mais également en séduisant June…","Grande-Bretagne","1990","-","Long métrage","Anglais","-",NA,"Couleur","-",NA,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=6053.html"
1990-10-10,41149,"La Semaine du sphinx","La Settimana della sfinge","12 octobre 1990","1h 42min","Divers","Daniele Luchetti",NA,"Margherita Buy, Paolo Hendel, Silvio Orlando","","inconnue","1989","-","Long métrage","-","-",NA,"Couleur","-",NA,3,"https://www.allocine.fr/film/fichefilm_gen_cfilm=41149.html"
