"semaine","allocine_id","titre","titre_original","date_sortie","duree","genres","realisateur","scenaristes","cast","synopsis","nationalite","annee_production","distributeur","type_film","langues","budget","boxoffice_france","couleur","visa","note_presse","note_spectateurs","url"
2005-01-26,48371,"Aviator","The Aviator","26 janvier 2005","2h 45min","Biopic, Drame, Historique","Martin Scorsese","John Logan","Leonardo DiCaprio, Cate Blanchett, John C. Reilly","Aviator couvre près de vingt ans de la vie tumultueuse d'Howard Hughes, industriel, milliardaire, casse-cou, pionnier de l'aviation civile, inventeur, producteur, réalisateur, directeur de studio et séducteur insatiable. Cet excentrique et flamboyant aventurier devint un leader de l'industrie aéronautique en même temps qu'une figure mythique, auréolée de glamour et de mystère.","U.S.A., Allemagne","2004","TFM Distribution","Long métrage","Anglais","100 000 000 USD","1 626 510 entrées","Couleur et N&B","112 043",4,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=48371.html"
2005-01-26,55567,"Lolita malgré moi","Mean Girls","26 janvier 2005","1h 38min","Comédie","Mark Waters","Tina Fey","Lindsay Lohan, Rachel McAdams, Amanda Seyfried","Après avoir passé son enfance en Afrique, Cady Heron atterrit un beau jour dans un lycée de l'Illinois, où elle découvre un univers encore plus exotique, plus mystérieux et plus dangereux que toutes les jungles : le monde des filles... Des cliques de lolitas branchées, friquées et assoiffées de pouvoir se disputent âprement ce terrain, où chaque jour est un combat pour être la fille la plus belle, la plus populaire et la plus prestigieuse.

Au sommet de la hiérarchie : Regina George, leader du trio des ""Plastiques"". Les jeux de pouvoir n'ont plus de secret pour cette manipulatrice. Au premier coup d'oeil, elle voit en l'innocente Cady une rivale potentielle et se pose aussitôt en amie pour mieux la contrôler. C'est alors que Cady commet l'erreur fatale de tomber amoureuse du bel Aaron, l'ancien petit ami de Regina...","U.S.A.","2003","United International Pictures (UIP)","Long métrage","Anglais","17 000 000 USD","282 979 entrées","Couleur","110485",2.9,2.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=55567.html"
2005-01-26,41236,"Rencontre à Wicker Park","Wicker Park","26 janvier 2005","1h 54min","Drame, Thriller","Paul McGuigan","Brandon Boyce, Gilles Mimouni","Josh Hartnett, Diane Kruger, Rose Byrne","Entre Matthew et Lisa, le coup de foudre est immédiat et absolu : plus rien ne compte alors à leurs yeux que leur passion dévorante. Mais, un jour, Lisa disparaît mystérieusement, sans laisser de traces ni d'explications...

Deux ans plus tard, alors qu'il a enfin trouvé la force de surmonter sa douleur et s'apprête à épouser une autre femme, Matthew croit apercevoir Lisa dans un bar. Hanté par cette réapparition et par le souvenir intact du grand amour de sa vie, Matthew n'a plus qu'une obsession : retrouver Lisa...à tout prix !","U.S.A.","2004","SND","Long métrage","Anglais","30 000 000 USD","27 062 entrées","Couleur","112051",2.4,3.2,"https://www.allocine.fr/film/fichefilm_gen_cfilm=41236.html"
2005-01-26,57423,"Les Bouchers verts","De Gronne slagtere","26 janvier 2005","1h 35min","Comédie, Drame","Anders Thomas Jensen","Anders Thomas Jensen","Nikolaj Lie Kaas, Mads Mikkelsen, Line Kruse","Deux amis, l'ambitieux Svend et Bjarne le rêveur, décident de monter leur propre boucherie afin d'échapper à un patron étouffant. La clientèle se fait rare jusqu'à ce que leur ancien employeur les mette à l'épreuve en leur offrant d'organiser le dîner du Rotary Club.

La chance tourne à la suite d'un malencontreux accident qui permettra à Svend d'offrir, une recette ""sauce maison"", une viande à la saveur très originale mais à l'approvisionnement plus que délicat...","Danemark","2003","EuropaCorp Distribution","Long métrage","Danois","3 000 000 USD",NA,"Couleur","111533",3.3,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=57423.html"
2005-01-26,57615,"La Marche de l'Empereur",NA,"26 janvier 2005","1h 25min","Documentaire","Luc Jacquet","Luc Jacquet, Michel Fessler","Romane Bohringer, Charles Berling, Jules Sitruk","L'histoire des manchots empereurs et de leur cycle de reproduction est unique au monde. Elle mêle amour, drame, courage et aventure au coeur de l'Antarctique, région la plus isolée et inhospitalière de la planète.

Un scénario offert par la nature, qui se perpétue depuis des millénaires et que les hommes n'ont découvert qu'au début du XXème siècle.

La Marche de l'empereur raconte cette histoire extraordinaire...","France","2005","The Walt Disney Company France","Long métrage","Français","8 000 000 USD","1 741 821 entrées","Couleur","110977",4,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=57615.html"
2005-01-26,58348,"Prendre femme","Ve'Lakhta Lehe Isha","26 janvier 2005","1h 37min","Drame, Romance","Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Simon Abkarian, Gilbert Melki","Haïfa, juin 1979 : l'histoire se déroule en Israël durant les 3 jours qui précèdent l'entrée du Shabbat.

Une fois encore, Viviane est sur le point de quitter Eliahou, son époux.

Une fois encore, ses frères réussissent à la persuader que sa place est auprès de son mari, ses enfants et sa famille.

Fatiguée de cette existence qui dénie ses rêves et ses droits, lasse de cet époux qui privilégie les traditions au détriment de leur vie de couple, Viviane reste, mais elle est à bout.

Au même moment, Albert, un homme qu'elle a aimé, ressurgit dans sa vie. Un homme ayant su, l'espace d'un trop bref moment, lui offrir ce que tous les autres hommes de sa vie lui avaient toujours refusé : la liberté d'être elle-même.","France, Israël","2004","Dulac Distribution","Long métrage","Arabe, Français, Hébreu","660 000 EUR",NA,"Couleur","108 975",4.2,3.9,"https://www.allocine.fr/film/fichefilm_gen_cfilm=58348.html"
2005-01-26,872,"La Rage du tigre","Xin du bi dao","26 janvier 2005","1h 42min","Action, Arts Martiaux, Aventure","Chang Cheh","Ni Kuang","David Chiang, Ti Lung, Feng Ku","Dans une Chine ensanglantée par les guerres de clans, Lei Li se fait une réputation de justicier en prenant la défense des faibles. Voyant en lui un rival possible, Maître Long organise le vol du trésor du clan du Tigre et lance une rumeur accusant le chevalier.

Attaqué par le Tigre et ses hommes, qui le croient coupable, Lei Li les met en déroute. Mais Long, que tous prennent pour un homme sage, surgit et propose à Lei Li un combat loyal, dont l'issue décidera de l'innocence ou non du jeune homme. De plus, le perdant aura le bras droit tranché...","Chine","1971","Pan Européenne Edition","Long métrage","Chinois","-",NA,"Couleur","41 341",4.8,3.6,"https://www.allocine.fr/film/fichefilm_gen_cfilm=872.html"
2005-01-26,58063,"Bukowski","Bukowski : Born Into This","26 janvier 2005","1h 30min","Documentaire","John Dullaghan","Marco Ferreri (Contes de la folie ordinaire), Barbet Schroeder ( Barfly, dont Bukowski écrivit le scénario, et dans lequel il fait une apparition), Patrick Bouchitey (Lune froide), Dominique Deruddere (L' Amour est un chien de l'enfer) entre autres... Sean Penn dédiera pour sa part son second film (Crossing Guard) à la mémoire de l'écrivain, dé Lire plus","Charles Bukowski, Linda Bukowski, Pam Miller","Le destin de Charles Bukowski : romancier alcoolique, poète regretté et figure culte des années 60.","U.S.A.","2004","Pretty Pictures","Long métrage","Anglais","-",NA,"Couleur","111840",3.6,3.8,"https://www.allocine.fr/film/fichefilm_gen_cfilm=58063.html"
2005-01-26,54124,"Lila dit ça",NA,"26 janvier 2005","1h 29min","Drame","Ziad Doueiri","Ziad Doueiri","Vahina Giocante, Moa Khouas, Karim Ben Haddou","Il n'a encore jamais parlé de ""ça"", comme ça, avec personne.

Elle n'a encore jamais trouvé personne à qui parler.

Elle ne pense qu'à ce garçon-là, il faut parler de ça pour s'en faire aimer.

Elle a 16 ans et lui 19.","France","2004","Pyramide Distribution","Long métrage","Français","-",NA,"Couleur","107393",3.1,3.1,"https://www.allocine.fr/film/fichefilm_gen_cfilm=54124.html"
2005-01-26,54646,"Matrubhoomi un monde sans femmes","Matrubhoomi","26 janvier 2005","1h 38min","Drame","Manish Jha","Manish Jha","Tulip Joshi, Sudhir Pardey, Piyush Mishra","Dans une région rurale de l'Inde où depuis des années la population féminine est décimée,Ramcharan essaie désespérément de marier ses cinq fils.

Non loin de là, un pauvre paysan cache son bien le plus précieux : Kalki, sa fille de 16 ans, véritable beauté.

Alerté par un de ses amis, Ramcharan achète Kalki à prix d'or et la destine officiellement àl'aîné de ses fils. La noce célébrée, la jeune fille se retrouve livrée au désir des cinq frères et de leur père.","France, Inde","2003","Diaphana Distribution","Long métrage","Hindi","-",NA,"Couleur","107731",3.4,3.5,"https://www.allocine.fr/film/fichefilm_gen_cfilm=54646.html"
